,ids,Land,map_tiles
302,302,1,water
303,303,1,water
304,304,1,water
305,305,1,water
306,306,1,water
307,307,1,water
308,308,1,water
309,309,1,water
310,310,1,water
311,311,1,water
312,312,1,water
313,313,1,water
314,314,1,water
315,315,1,water
316,316,1,water
317,317,1,water
318,318,1,water
319,319,1,water
320,320,1,water
321,321,1,water
322,322,1,water
323,323,1,water
324,324,1,water
325,325,1,water
326,326,1,water
327,327,1,water
328,328,1,water
329,329,1,water
330,330,1,water
331,331,1,water
332,332,1,water
333,333,1,water
334,334,1,water
335,335,1,water
336,336,1,water
337,337,1,water
338,338,1,water
339,339,1,water
340,340,1,water
341,341,1,water
342,342,1,water
343,343,1,water
344,344,1,water
345,345,1,water
346,346,1,water
347,347,2,land
348,348,2,land
349,349,2,land
350,350,2,land
351,351,2,land
352,352,2,land
353,353,2,land
354,354,2,land
355,355,2,land
356,356,2,land
357,357,2,land
358,358,2,land
359,359,2,land
360,360,1,water
361,361,1,water
362,362,1,water
363,363,1,water
364,364,1,water
365,365,1,water
366,366,1,water
367,367,1,water
368,368,1,water
369,369,1,water
370,370,1,water
371,371,1,water
372,372,1,water
373,373,1,water
374,374,1,water
375,375,1,water
376,376,1,water
377,377,1,water
378,378,1,water
379,379,1,water
380,380,1,water
381,381,1,water
382,382,1,water
383,383,1,water
384,384,1,water
385,385,1,water
386,386,1,water
387,387,1,water
388,388,1,water
389,389,1,water
390,390,1,water
391,391,1,water
392,392,1,water
393,393,1,water
394,394,1,water
395,395,1,water
396,396,1,water
397,397,1,water
398,398,1,water
399,399,1,water
400,400,1,water
401,401,1,water
402,402,1,water
403,403,1,water
404,404,1,water
405,405,1,water
406,406,1,water
407,407,1,water
408,408,1,water
409,409,1,water
410,410,1,water
411,411,1,water
412,412,1,water
413,413,1,water
414,414,1,water
415,415,1,water
416,416,1,water
417,417,1,water
418,418,2,land
419,419,2,land
420,420,2,land
421,421,2,land
422,422,2,land
423,423,2,land
424,424,2,land
425,425,2,land
426,426,2,land
427,427,2,land
428,428,2,land
429,429,2,land
430,430,2,land
431,431,2,land
432,432,1,water
433,433,1,water
434,434,1,water
435,435,1,water
436,436,1,water
437,437,1,water
438,438,1,water
439,439,1,water
440,440,1,water
441,441,1,water
442,442,1,water
443,443,1,water
444,444,1,water
445,445,1,water
446,446,1,water
447,447,1,water
448,448,1,water
449,449,1,water
450,450,1,water
451,451,1,water
452,452,1,water
453,453,1,water
454,454,1,water
455,455,1,water
456,456,1,water
457,457,1,water
458,458,1,water
459,459,1,water
460,460,1,water
461,461,1,water
462,462,1,water
463,463,1,water
464,464,1,water
465,465,1,water
466,466,1,water
467,467,1,water
468,468,1,water
469,469,1,water
470,470,1,water
471,471,1,water
472,472,1,water
473,473,1,water
474,474,1,water
475,475,1,water
476,476,1,water
477,477,1,water
478,478,1,water
479,479,1,water
480,480,1,water
481,481,1,water
482,482,1,water
483,483,1,water
484,484,1,water
485,485,1,water
486,486,1,water
487,487,1,water
488,488,1,water
489,489,2,land
490,490,2,land
491,491,2,land
492,492,2,land
493,493,2,land
494,494,2,land
495,495,2,land
496,496,2,land
497,497,2,land
498,498,2,land
499,499,2,land
500,500,2,land
501,501,2,land
502,502,2,land
503,503,2,land
504,504,1,water
505,505,1,water
506,506,1,water
507,507,1,water
508,508,1,water
509,509,1,water
510,510,1,water
511,511,1,water
512,512,1,water
513,513,1,water
514,514,1,water
515,515,1,water
516,516,1,water
517,517,1,water
518,518,1,water
519,519,1,water
520,520,1,water
521,521,1,water
522,522,1,water
523,523,1,water
524,524,1,water
525,525,1,water
526,526,1,water
527,527,1,water
528,528,1,water
529,529,1,water
530,530,1,water
531,531,1,water
532,532,1,water
533,533,1,water
534,534,1,water
535,535,1,water
536,536,1,water
537,537,1,water
538,538,1,water
539,539,1,water
540,540,1,water
541,541,1,water
542,542,1,water
543,543,1,water
544,544,1,water
545,545,1,water
546,546,1,water
547,547,1,water
548,548,1,water
549,549,1,water
550,550,1,water
551,551,1,water
552,552,1,water
553,553,1,water
554,554,1,water
555,555,1,water
556,556,1,water
557,557,1,water
558,558,1,water
559,559,1,water
560,560,2,land
561,561,2,land
562,562,2,land
563,563,2,land
564,564,2,land
565,565,2,land
566,566,2,land
567,567,2,land
568,568,2,land
569,569,2,land
570,570,2,land
571,571,2,land
572,572,2,land
573,573,2,land
574,574,2,land
575,575,2,land
576,576,2,land
577,577,1,water
578,578,1,water
579,579,1,water
580,580,1,water
581,581,1,water
582,582,1,water
583,583,1,water
584,584,1,water
585,585,1,water
586,586,1,water
587,587,1,water
588,588,1,water
589,589,1,water
590,590,1,water
591,591,1,water
592,592,1,water
593,593,1,water
594,594,1,water
595,595,1,water
596,596,1,water
597,597,1,water
598,598,1,water
599,599,1,water
600,600,1,water
601,601,1,water
602,602,1,water
603,603,1,water
604,604,1,water
605,605,1,water
606,606,1,water
607,607,1,water
608,608,1,water
609,609,1,water
610,610,1,water
611,611,1,water
612,612,1,water
613,613,1,water
614,614,1,water
615,615,1,water
616,616,1,water
617,617,1,water
618,618,1,water
619,619,1,water
620,620,1,water
621,621,1,water
622,622,1,water
623,623,1,water
624,624,1,water
625,625,1,water
626,626,1,water
627,627,1,water
628,628,1,water
629,629,1,water
630,630,1,water
631,631,1,water
632,632,2,land
633,633,2,land
634,634,2,land
635,635,2,land
636,636,2,land
637,637,2,land
638,638,2,land
639,639,2,land
640,640,2,land
641,641,2,land
642,642,2,land
643,643,2,land
644,644,2,land
645,645,2,land
646,646,2,land
647,647,2,land
648,648,1,water
649,649,1,water
650,650,1,water
651,651,1,water
652,652,1,water
653,653,1,water
654,654,1,water
655,655,1,water
656,656,1,water
657,657,1,water
658,658,1,water
659,659,1,water
660,660,1,water
661,661,1,water
662,662,1,water
663,663,1,water
664,664,1,water
665,665,1,water
666,666,1,water
667,667,1,water
668,668,1,water
669,669,1,water
670,670,1,water
671,671,1,water
672,672,1,water
673,673,1,water
674,674,1,water
675,675,1,water
676,676,1,water
677,677,1,water
678,678,1,water
679,679,1,water
680,680,1,water
681,681,1,water
682,682,1,water
683,683,1,water
684,684,1,water
685,685,1,water
686,686,1,water
687,687,1,water
688,688,1,water
689,689,1,water
690,690,1,water
691,691,1,water
692,692,1,water
693,693,1,water
694,694,1,water
695,695,1,water
696,696,1,water
697,697,1,water
698,698,1,water
699,699,1,water
700,700,1,water
701,701,1,water
702,702,1,water
703,703,1,water
704,704,2,land
705,705,2,land
706,706,2,land
707,707,2,land
708,708,2,land
709,709,2,land
710,710,2,land
711,711,2,land
712,712,2,land
713,713,2,land
714,714,2,land
715,715,2,land
716,716,2,land
717,717,2,land
718,718,2,land
719,719,2,land
720,720,1,water
721,721,1,water
722,722,1,water
723,723,1,water
724,724,1,water
725,725,1,water
726,726,1,water
727,727,1,water
728,728,1,water
729,729,1,water
730,730,1,water
731,731,1,water
732,732,1,water
733,733,1,water
734,734,1,water
735,735,1,water
736,736,1,water
737,737,1,water
738,738,1,water
739,739,1,water
740,740,1,water
741,741,1,water
742,742,1,water
743,743,1,water
744,744,1,water
745,745,1,water
746,746,1,water
747,747,1,water
748,748,1,water
749,749,1,water
750,750,1,water
751,751,1,water
752,752,1,water
753,753,1,water
754,754,1,water
755,755,1,water
756,756,1,water
757,757,1,water
758,758,1,water
759,759,1,water
760,760,1,water
761,761,1,water
762,762,1,water
763,763,1,water
764,764,1,water
765,765,1,water
766,766,1,water
767,767,1,water
768,768,1,water
769,769,1,water
770,770,1,water
771,771,1,water
772,772,1,water
773,773,1,water
774,774,1,water
775,775,1,water
776,776,2,land
777,777,2,land
778,778,2,land
779,779,2,land
780,780,2,land
781,781,2,land
782,782,2,land
783,783,2,land
784,784,2,land
785,785,2,land
786,786,2,land
787,787,2,land
788,788,2,land
789,789,2,land
790,790,2,land
791,791,2,land
792,792,1,water
793,793,1,water
794,794,1,water
795,795,1,water
796,796,1,water
797,797,1,water
798,798,1,water
799,799,1,water
800,800,1,water
801,801,1,water
802,802,1,water
803,803,1,water
804,804,1,water
805,805,1,water
806,806,1,water
807,807,1,water
808,808,1,water
809,809,1,water
810,810,1,water
811,811,1,water
812,812,1,water
813,813,1,water
814,814,1,water
815,815,1,water
816,816,1,water
817,817,1,water
818,818,1,water
819,819,1,water
820,820,1,water
821,821,1,water
822,822,1,water
823,823,1,water
824,824,1,water
825,825,1,water
826,826,1,water
827,827,1,water
828,828,1,water
829,829,1,water
830,830,1,water
831,831,1,water
832,832,1,water
833,833,1,water
834,834,1,water
835,835,1,water
836,836,1,water
837,837,1,water
838,838,1,water
839,839,1,water
840,840,1,water
841,841,1,water
842,842,1,water
843,843,1,water
844,844,1,water
845,845,1,water
846,846,1,water
847,847,1,water
848,848,2,land
849,849,2,land
850,850,2,land
851,851,2,land
852,852,2,land
853,853,2,land
854,854,2,land
855,855,2,land
856,856,2,land
857,857,2,land
858,858,2,land
859,859,2,land
860,860,2,land
861,861,2,land
862,862,2,land
863,863,2,land
864,864,1,water
865,865,1,water
866,866,1,water
867,867,1,water
868,868,1,water
869,869,1,water
870,870,1,water
871,871,1,water
872,872,1,water
873,873,1,water
874,874,1,water
875,875,1,water
876,876,1,water
877,877,1,water
878,878,1,water
879,879,1,water
880,880,1,water
881,881,1,water
882,882,1,water
883,883,1,water
884,884,1,water
885,885,1,water
886,886,1,water
887,887,1,water
888,888,1,water
889,889,1,water
890,890,1,water
891,891,1,water
892,892,1,water
893,893,1,water
894,894,1,water
895,895,1,water
896,896,1,water
897,897,1,water
898,898,1,water
899,899,1,water
900,900,1,water
901,901,1,water
902,902,1,water
903,903,1,water
904,904,1,water
905,905,1,water
906,906,1,water
907,907,1,water
908,908,1,water
909,909,1,water
910,910,1,water
911,911,1,water
912,912,1,water
913,913,1,water
914,914,1,water
915,915,1,water
916,916,1,water
917,917,1,water
918,918,1,water
919,919,2,land
920,920,2,land
921,921,2,land
922,922,2,land
923,923,2,land
924,924,2,land
925,925,2,land
926,926,2,land
927,927,2,land
928,928,2,land
929,929,2,land
930,930,2,land
931,931,2,land
932,932,2,land
933,933,2,land
934,934,2,land
935,935,2,land
936,936,1,water
937,937,1,water
938,938,1,water
939,939,1,water
940,940,1,water
941,941,1,water
942,942,1,water
943,943,1,water
944,944,1,water
945,945,1,water
946,946,1,water
947,947,1,water
948,948,1,water
949,949,1,water
950,950,1,water
951,951,1,water
952,952,1,water
953,953,1,water
954,954,1,water
955,955,1,water
956,956,1,water
957,957,1,water
958,958,1,water
959,959,1,water
960,960,1,water
961,961,1,water
962,962,1,water
963,963,1,water
964,964,1,water
965,965,1,water
966,966,1,water
967,967,1,water
968,968,1,water
969,969,1,water
970,970,1,water
971,971,1,water
972,972,1,water
973,973,1,water
974,974,1,water
975,975,1,water
976,976,1,water
977,977,1,water
978,978,1,water
979,979,1,water
980,980,1,water
981,981,1,water
982,982,1,water
983,983,1,water
984,984,1,water
985,985,1,water
986,986,1,water
987,987,1,water
988,988,1,water
989,989,1,water
990,990,1,water
991,991,2,land
992,992,2,land
993,993,2,land
994,994,2,land
995,995,2,land
996,996,2,land
997,997,2,land
998,998,2,land
999,999,2,land
1000,1000,2,land
1001,1001,2,land
1002,1002,2,land
1003,1003,2,land
1004,1004,2,land
1005,1005,2,land
1006,1006,2,land
1007,1007,2,land
1008,1008,1,water
1009,1009,1,water
1010,1010,1,water
1011,1011,1,water
1012,1012,1,water
1013,1013,1,water
1014,1014,1,water
1015,1015,1,water
1016,1016,1,water
1017,1017,1,water
1018,1018,1,water
1019,1019,1,water
1020,1020,1,water
1021,1021,1,water
1022,1022,1,water
1023,1023,1,water
1024,1024,1,water
1025,1025,1,water
1026,1026,1,water
1027,1027,1,water
1028,1028,1,water
1029,1029,1,water
1030,1030,1,water
1031,1031,1,water
1032,1032,1,water
1033,1033,1,water
1034,1034,1,water
1035,1035,1,water
1036,1036,1,water
1037,1037,1,water
1038,1038,1,water
1039,1039,1,water
1040,1040,1,water
1041,1041,1,water
1042,1042,1,water
1043,1043,1,water
1044,1044,1,water
1045,1045,1,water
1046,1046,1,water
1047,1047,1,water
1048,1048,1,water
1049,1049,1,water
1050,1050,1,water
1051,1051,1,water
1052,1052,1,water
1053,1053,1,water
1054,1054,1,water
1055,1055,1,water
1056,1056,1,water
1057,1057,1,water
1058,1058,1,water
1059,1059,1,water
1060,1060,1,water
1061,1061,1,water
1062,1062,2,land
1063,1063,2,land
1064,1064,2,land
1065,1065,2,land
1066,1066,2,land
1067,1067,2,land
1068,1068,2,land
1069,1069,2,land
1070,1070,2,land
1071,1071,2,land
1072,1072,2,land
1073,1073,2,land
1074,1074,2,land
1075,1075,2,land
1076,1076,2,land
1077,1077,2,land
1078,1078,2,land
1079,1079,2,land
1080,1080,1,water
1081,1081,1,water
1082,1082,1,water
1083,1083,1,water
1084,1084,1,water
1085,1085,1,water
1086,1086,1,water
1087,1087,1,water
1088,1088,1,water
1089,1089,1,water
1090,1090,1,water
1091,1091,1,water
1092,1092,1,water
1093,1093,1,water
1094,1094,1,water
1095,1095,1,water
1096,1096,1,water
1097,1097,1,water
1098,1098,1,water
1099,1099,1,water
1100,1100,1,water
1101,1101,1,water
1102,1102,1,water
1103,1103,1,water
1104,1104,1,water
1105,1105,1,water
1106,1106,1,water
1107,1107,1,water
1108,1108,1,water
1109,1109,1,water
1110,1110,1,water
1111,1111,1,water
1112,1112,1,water
1113,1113,1,water
1114,1114,1,water
1115,1115,1,water
1116,1116,1,water
1117,1117,1,water
1118,1118,1,water
1119,1119,1,water
1120,1120,1,water
1121,1121,1,water
1122,1122,1,water
1123,1123,1,water
1124,1124,1,water
1125,1125,1,water
1126,1126,1,water
1127,1127,1,water
1128,1128,1,water
1129,1129,1,water
1130,1130,1,water
1131,1131,1,water
1132,1132,1,water
1133,1133,1,water
1134,1134,2,land
1135,1135,2,land
1136,1136,2,land
1137,1137,2,land
1138,1138,2,land
1139,1139,2,land
1140,1140,2,land
1141,1141,2,land
1142,1142,2,land
1143,1143,2,land
1144,1144,2,land
1145,1145,2,land
1146,1146,2,land
1147,1147,2,land
1148,1148,2,land
1149,1149,2,land
1150,1150,2,land
1151,1151,2,land
1152,1152,1,water
1153,1153,1,water
1154,1154,1,water
1155,1155,1,water
1156,1156,1,water
1157,1157,1,water
1158,1158,1,water
1159,1159,1,water
1160,1160,1,water
1161,1161,1,water
1162,1162,1,water
1163,1163,1,water
1164,1164,1,water
1165,1165,1,water
1166,1166,1,water
1167,1167,1,water
1168,1168,1,water
1169,1169,1,water
1170,1170,1,water
1171,1171,1,water
1172,1172,1,water
1173,1173,1,water
1174,1174,1,water
1175,1175,1,water
1176,1176,1,water
1177,1177,1,water
1178,1178,1,water
1179,1179,1,water
1180,1180,1,water
1181,1181,1,water
1182,1182,1,water
1183,1183,1,water
1184,1184,1,water
1185,1185,1,water
1186,1186,1,water
1187,1187,1,water
1188,1188,1,water
1189,1189,1,water
1190,1190,1,water
1191,1191,1,water
1192,1192,1,water
1193,1193,1,water
1194,1194,1,water
1195,1195,1,water
1196,1196,1,water
1197,1197,1,water
1198,1198,1,water
1199,1199,1,water
1200,1200,1,water
1201,1201,1,water
1202,1202,1,water
1203,1203,1,water
1204,1204,1,water
1205,1205,1,water
1206,1206,2,land
1207,1207,2,land
1208,1208,2,land
1209,1209,2,land
1210,1210,2,land
1211,1211,2,land
1212,1212,2,land
1213,1213,2,land
1214,1214,2,land
1215,1215,2,land
1216,1216,2,land
1217,1217,2,land
1218,1218,2,land
1219,1219,2,land
1220,1220,2,land
1221,1221,2,land
1222,1222,2,land
1223,1223,2,land
1224,1224,1,water
1225,1225,1,water
1226,1226,1,water
1227,1227,1,water
1228,1228,1,water
1229,1229,1,water
1230,1230,1,water
1231,1231,1,water
1232,1232,1,water
1233,1233,1,water
1234,1234,1,water
1235,1235,1,water
1236,1236,1,water
1237,1237,1,water
1238,1238,1,water
1239,1239,1,water
1240,1240,1,water
1241,1241,1,water
1242,1242,1,water
1243,1243,1,water
1244,1244,1,water
1245,1245,1,water
1246,1246,1,water
1247,1247,1,water
1248,1248,1,water
1249,1249,1,water
1250,1250,1,water
1251,1251,1,water
1252,1252,1,water
1253,1253,1,water
1254,1254,1,water
1255,1255,1,water
1256,1256,1,water
1257,1257,1,water
1258,1258,1,water
1259,1259,1,water
1260,1260,1,water
1261,1261,1,water
1262,1262,1,water
1263,1263,1,water
1264,1264,1,water
1265,1265,1,water
1266,1266,1,water
1267,1267,1,water
1268,1268,1,water
1269,1269,1,water
1270,1270,1,water
1271,1271,1,water
1272,1272,1,water
1273,1273,1,water
1274,1274,1,water
1275,1275,1,water
1276,1276,1,water
1277,1277,1,water
1278,1278,2,land
1279,1279,2,land
1280,1280,2,land
1281,1281,2,land
1282,1282,2,land
1283,1283,2,land
1284,1284,2,land
1285,1285,2,land
1286,1286,2,land
1287,1287,2,land
1288,1288,2,land
1289,1289,2,land
1290,1290,2,land
1291,1291,2,land
1292,1292,2,land
1293,1293,2,land
1294,1294,2,land
1295,1295,2,land
1296,1296,1,water
1297,1297,1,water
1298,1298,1,water
1299,1299,1,water
1300,1300,1,water
1301,1301,1,water
1302,1302,1,water
1303,1303,1,water
1304,1304,1,water
1305,1305,1,water
1306,1306,1,water
1307,1307,1,water
1308,1308,1,water
1309,1309,1,water
1310,1310,1,water
1311,1311,1,water
1312,1312,1,water
1313,1313,1,water
1314,1314,1,water
1315,1315,1,water
1316,1316,1,water
1317,1317,1,water
1318,1318,1,water
1319,1319,1,water
1320,1320,1,water
1321,1321,1,water
1322,1322,1,water
1323,1323,1,water
1324,1324,1,water
1325,1325,1,water
1326,1326,1,water
1327,1327,1,water
1328,1328,1,water
1329,1329,1,water
1330,1330,1,water
1331,1331,1,water
1332,1332,1,water
1333,1333,1,water
1334,1334,1,water
1335,1335,1,water
1336,1336,1,water
1337,1337,1,water
1338,1338,1,water
1339,1339,1,water
1340,1340,1,water
1341,1341,1,water
1342,1342,1,water
1343,1343,1,water
1344,1344,1,water
1345,1345,1,water
1346,1346,1,water
1347,1347,1,water
1348,1348,1,water
1349,1349,2,land
1350,1350,2,land
1351,1351,2,land
1352,1352,2,land
1353,1353,2,land
1354,1354,2,land
1355,1355,2,land
1356,1356,2,land
1357,1357,2,land
1358,1358,2,land
1359,1359,2,land
1360,1360,2,land
1361,1361,2,land
1362,1362,2,land
1363,1363,2,land
1364,1364,2,land
1365,1365,2,land
1366,1366,2,land
1367,1367,2,land
1368,1368,1,water
1369,1369,1,water
1370,1370,1,water
1371,1371,1,water
1372,1372,1,water
1373,1373,1,water
1374,1374,1,water
1375,1375,1,water
1376,1376,1,water
1377,1377,1,water
1378,1378,1,water
1379,1379,1,water
1380,1380,1,water
1381,1381,1,water
1382,1382,1,water
1383,1383,1,water
1384,1384,1,water
1385,1385,1,water
1386,1386,1,water
1387,1387,1,water
1388,1388,1,water
1389,1389,1,water
1390,1390,1,water
1391,1391,1,water
1392,1392,1,water
1393,1393,1,water
1394,1394,1,water
1395,1395,1,water
1396,1396,1,water
1397,1397,1,water
1398,1398,1,water
1399,1399,1,water
1400,1400,1,water
1401,1401,1,water
1402,1402,1,water
1403,1403,1,water
1404,1404,1,water
1405,1405,1,water
1406,1406,1,water
1407,1407,1,water
1408,1408,1,water
1409,1409,1,water
1410,1410,1,water
1411,1411,1,water
1412,1412,1,water
1413,1413,1,water
1414,1414,1,water
1415,1415,1,water
1416,1416,1,water
1417,1417,1,water
1418,1418,1,water
1419,1419,1,water
1420,1420,1,water
1421,1421,2,land
1422,1422,2,land
1423,1423,2,land
1424,1424,2,land
1425,1425,2,land
1426,1426,2,land
1427,1427,2,land
1428,1428,2,land
1429,1429,2,land
1430,1430,2,land
1431,1431,1,water
1432,1432,1,water
1433,1433,2,land
1434,1434,2,land
1435,1435,2,land
1436,1436,2,land
1437,1437,2,land
1438,1438,2,land
1439,1439,2,land
1440,1440,1,water
1441,1441,1,water
1442,1442,1,water
1443,1443,1,water
1444,1444,1,water
1445,1445,1,water
1446,1446,1,water
1447,1447,1,water
1448,1448,1,water
1449,1449,1,water
1450,1450,1,water
1451,1451,1,water
1452,1452,1,water
1453,1453,1,water
1454,1454,1,water
1455,1455,1,water
1456,1456,1,water
1457,1457,1,water
1458,1458,1,water
1459,1459,1,water
1460,1460,1,water
1461,1461,1,water
1462,1462,1,water
1463,1463,1,water
1464,1464,1,water
1465,1465,1,water
1466,1466,1,water
1467,1467,1,water
1468,1468,1,water
1469,1469,1,water
1470,1470,1,water
1471,1471,1,water
1472,1472,1,water
1473,1473,1,water
1474,1474,1,water
1475,1475,1,water
1476,1476,1,water
1477,1477,1,water
1478,1478,1,water
1479,1479,1,water
1480,1480,1,water
1481,1481,1,water
1482,1482,1,water
1483,1483,1,water
1484,1484,1,water
1485,1485,1,water
1486,1486,1,water
1487,1487,1,water
1488,1488,1,water
1489,1489,1,water
1490,1490,1,water
1491,1491,1,water
1492,1492,1,water
1493,1493,2,land
1494,1494,2,land
1495,1495,2,land
1496,1496,2,land
1497,1497,2,land
1498,1498,2,land
1499,1499,2,land
1500,1500,2,land
1501,1501,2,land
1502,1502,2,land
1503,1503,1,water
1504,1504,1,water
1505,1505,1,water
1506,1506,2,land
1507,1507,2,land
1508,1508,2,land
1509,1509,2,land
1510,1510,2,land
1511,1511,2,land
1512,1512,1,water
1513,1513,1,water
1514,1514,1,water
1515,1515,1,water
1516,1516,1,water
1517,1517,1,water
1518,1518,1,water
1519,1519,1,water
1520,1520,1,water
1521,1521,1,water
1522,1522,1,water
1523,1523,1,water
1524,1524,1,water
1525,1525,1,water
1526,1526,1,water
1527,1527,1,water
1528,1528,1,water
1529,1529,1,water
1530,1530,1,water
1531,1531,1,water
1532,1532,1,water
1533,1533,1,water
1534,1534,1,water
1535,1535,1,water
1536,1536,1,water
1537,1537,1,water
1538,1538,1,water
1539,1539,1,water
1540,1540,1,water
1541,1541,1,water
1542,1542,1,water
1543,1543,1,water
1544,1544,1,water
1545,1545,1,water
1546,1546,1,water
1547,1547,1,water
1548,1548,1,water
1549,1549,1,water
1550,1550,1,water
1551,1551,1,water
1552,1552,1,water
1553,1553,1,water
1554,1554,1,water
1555,1555,1,water
1556,1556,1,water
1557,1557,1,water
1558,1558,1,water
1559,1559,1,water
1560,1560,1,water
1561,1561,1,water
1562,1562,1,water
1563,1563,1,water
1564,1564,1,water
1565,1565,2,land
1566,1566,2,land
1567,1567,2,land
1568,1568,2,land
1569,1569,2,land
1570,1570,2,land
1571,1571,2,land
1572,1572,2,land
1573,1573,2,land
1574,1574,2,land
1575,1575,1,water
1576,1576,1,water
1577,1577,1,water
1578,1578,1,water
1579,1579,1,water
1580,1580,1,water
1581,1581,1,water
1582,1582,1,water
1583,1583,1,water
1584,1584,1,water
1585,1585,1,water
1586,1586,1,water
1587,1587,1,water
1588,1588,1,water
1589,1589,1,water
1590,1590,1,water
1591,1591,1,water
1592,1592,1,water
1593,1593,1,water
1594,1594,1,water
1595,1595,1,water
1596,1596,1,water
