,ids,Land,map_tiles
663,663,0,border
664,664,0,border
665,665,0,border
666,666,0,border
667,667,0,border
668,668,0,border
669,669,0,border
670,670,0,border
671,671,0,border
672,672,0,border
673,673,0,border
674,674,0,border
675,675,0,border
