,ids,waves,height,text
165,165,40.61749958992009,40.62,Wave Height: 40.62
166,166,40.36937427520755,40.37,Wave Height: 40.37
167,167,40.0231237411499,40.02,Wave Height: 40.02
168,168,39.5868740081787,39.59,Wave Height: 39.59
169,169,39.06062507629394,39.06,Wave Height: 39.06
170,170,38.288749933242784,38.29,Wave Height: 38.29
171,171,37.27124857902524,37.27,Wave Height: 37.27
172,172,36.552498102188046,36.55,Wave Height: 36.55
173,173,36.13249850273123,36.13,Wave Height: 36.13
174,174,36.65187358856192,36.65,Wave Height: 36.65
175,175,38.11062335968013,38.11,Wave Height: 38.11
176,176,40.06437349319456,40.06,Wave Height: 40.06
177,177,42.513123989105196,42.51,Wave Height: 42.51
178,178,43.989999532699564,43.99,Wave Height: 43.99
179,179,44.49500012397766,44.5,Wave Height: 44.5
180,180,45.858124971389785,45.86,Wave Height: 45.86
181,181,48.07937407493593,48.08,Wave Height: 48.08
182,182,50.93999862670899,50.94,Wave Height: 50.94
183,183,54.43999862670897,54.44,Wave Height: 54.44
184,184,55.74124884605406,55.74,Wave Height: 55.74
185,185,54.84374928474429,54.84,Wave Height: 54.84
186,186,52.91937446594243,52.92,Wave Height: 52.92
187,187,49.968124389648516,49.97,Wave Height: 49.97
188,188,46.843749284744334,46.84,Wave Height: 46.84
189,189,43.546249151229894,43.55,Wave Height: 43.55
190,190,38.993749260902455,38.99,Wave Height: 38.99
191,191,33.18624961376196,33.19,Wave Height: 33.19
192,192,29.543124556541464,29.54,Wave Height: 29.54
193,193,28.064374089241046,28.06,Wave Height: 28.06
194,194,27.094999074935924,27.09,Wave Height: 27.09
195,195,26.63499951362611,26.63,Wave Height: 26.63
196,196,26.406249642372142,26.41,Wave Height: 26.41
197,197,26.408749461174025,26.41,Wave Height: 26.41
198,198,26.284374356269847,26.28,Wave Height: 26.28
199,199,26.033124327659614,26.03,Wave Height: 26.03
200,200,25.766874313354492,25.77,Wave Height: 25.77
201,201,25.485624313354485,25.49,Wave Height: 25.49
202,202,23.268749356269694,23.27,Wave Height: 23.27
203,203,19.116249442100063,19.12,Wave Height: 19.12
204,204,12.779999613761477,12.78,Wave Height: 12.78
205,205,4.259999871253866,4.26,Wave Height: 4.26
206,206,0.0,0.0,Wave Height: 0.0
207,207,0.0,0.0,Wave Height: 0.0
208,208,0.0,0.0,Wave Height: 0.0
209,209,0.0,0.0,Wave Height: 0.0
210,210,0.0,0.0,Wave Height: 0.0
211,211,0.0,0.0,Wave Height: 0.0
212,212,0.0,0.0,Wave Height: 0.0
213,213,0.0,0.0,Wave Height: 0.0
214,214,0.0,0.0,Wave Height: 0.0
215,215,0.0,0.0,Wave Height: 0.0
216,216,37.133124113082864,37.13,Wave Height: 37.13
217,217,35.3093740940093,35.31,Wave Height: 35.31
218,218,34.55249929428086,34.55,Wave Height: 34.55
219,219,34.86249971389755,34.86,Wave Height: 34.86
220,220,34.72562503814684,34.73,Wave Height: 34.73
221,221,34.141875267028716,34.14,Wave Height: 34.14
222,222,34.13937544822687,34.14,Wave Height: 34.14
223,223,34.7181255817413,34.72,Wave Height: 34.72
224,224,35.493749856948845,35.49,Wave Height: 35.49
225,225,36.46624827384952,36.47,Wave Height: 36.47
226,226,36.72312307357792,36.72,Wave Height: 36.72
227,227,36.26437425613403,36.26,Wave Height: 36.26
228,228,36.37874960899351,36.38,Wave Height: 36.38
229,229,37.06624913215636,37.07,Wave Height: 37.07
230,230,37.993124008178725,37.99,Wave Height: 37.99
231,231,39.15937423706062,39.16,Wave Height: 39.16
232,232,39.69999957084664,39.7,Wave Height: 39.7
233,233,39.61500000953679,39.62,Wave Height: 39.62
234,234,40.07125020027164,40.07,Wave Height: 40.07
235,235,41.06875014305119,41.07,Wave Height: 41.07
236,236,41.47750020027165,41.48,Wave Height: 41.48
237,237,41.297500371933026,41.3,Wave Height: 41.3
238,238,40.788125038147,40.79,Wave Height: 40.79
239,239,39.949374198913574,39.95,Wave Height: 39.95
240,240,39.31562423706053,39.32,Wave Height: 39.32
241,241,38.886875152587876,38.89,Wave Height: 38.89
242,242,37.99124979972838,37.99,Wave Height: 37.99
243,243,36.62874817848203,36.63,Wave Height: 36.63
244,244,35.432497739791806,35.43,Wave Height: 35.43
245,245,34.40249848365774,34.4,Wave Height: 34.4
246,246,35.06062412261953,35.06,Wave Height: 35.06
247,247,37.4068746566772,37.41,Wave Height: 37.41
248,248,39.74812459945677,39.75,Wave Height: 39.75
249,249,42.08437395095822,42.08,Wave Height: 42.08
250,250,43.65999913215635,43.66,Wave Height: 43.66
251,251,44.47500014305115,44.48,Wave Height: 44.48
252,252,46.05937552452089,46.06,Wave Height: 46.06
253,253,48.413125276565566,48.41,Wave Height: 48.41
254,254,51.07999992370606,51.08,Wave Height: 51.08
255,255,54.05999946594236,54.06,Wave Height: 54.06
256,256,55.45874905586241,55.46,Wave Height: 55.46
257,257,55.276248693466215,55.28,Wave Height: 55.28
258,258,53.80312347412115,53.8,Wave Height: 53.8
259,259,51.03937339782722,51.04,Wave Height: 51.04
260,260,47.75624823570259,47.76,Wave Height: 47.76
261,261,43.95374798774724,43.95,Wave Height: 43.95
262,262,39.16624820232396,39.17,Wave Height: 39.17
263,263,33.393748879432735,33.39,Wave Height: 33.39
264,264,29.734374165534994,29.73,Wave Height: 29.73
265,265,28.18812406063082,28.19,Wave Height: 28.19
266,266,27.19999909400941,27.2,Wave Height: 27.2
267,267,26.769999265670787,26.77,Wave Height: 26.77
268,268,26.568749308586128,26.57,Wave Height: 26.57
269,269,26.596249222755446,26.6,Wave Height: 26.6
270,270,26.43812406063081,26.44,Wave Height: 26.44
271,271,26.094373822212226,26.09,Wave Height: 26.09
272,272,25.715623855590817,25.72,Wave Height: 25.72
273,273,25.301874160766594,25.3,Wave Height: 25.3
274,274,20.241249442100422,20.24,Wave Height: 20.24
275,275,10.533749699592171,10.53,Wave Height: 10.53
276,276,4.259999871253503,4.26,Wave Height: 4.26
277,277,1.4199999570845145,1.42,Wave Height: 1.42
278,278,0.0,0.0,Wave Height: 0.0
279,279,0.0,0.0,Wave Height: 0.0
280,280,0.0,0.0,Wave Height: 0.0
281,281,0.0,0.0,Wave Height: 0.0
282,282,0.0,0.0,Wave Height: 0.0
283,283,0.0,0.0,Wave Height: 0.0
284,284,0.0,0.0,Wave Height: 0.0
285,285,0.0,0.0,Wave Height: 0.0
286,286,0.0,0.0,Wave Height: 0.0
287,287,0.0,0.0,Wave Height: 0.0
288,288,36.061249017715355,36.06,Wave Height: 36.06
289,289,34.26374888420103,34.26,Wave Height: 34.26
290,290,33.39562416076662,33.4,Wave Height: 33.4
291,291,33.4568748474121,33.46,Wave Height: 33.46
292,292,33.548750162124634,33.55,Wave Height: 33.55
293,293,33.67125010490421,33.67,Wave Height: 33.67
294,294,34.17125010490423,34.17,Wave Height: 34.17
295,295,35.04875016212471,35.05,Wave Height: 35.05
296,296,35.95249962806707,35.95,Wave Height: 35.95
297,297,36.88249850273134,36.88,Wave Height: 36.88
298,298,37.100623369216926,37.1,Wave Height: 37.1
299,299,36.606874227523846,36.61,Wave Height: 36.61
300,300,36.779999494552676,36.78,Wave Height: 36.78
301,301,37.61999917030342,37.62,Wave Height: 37.62
302,302,38.752499103546214,38.75,Wave Height: 38.75
303,303,40.17749929428105,40.18,Wave Height: 40.18
304,304,40.76187467575077,40.76,Wave Height: 40.76
305,305,40.50562524795538,40.51,Wave Height: 40.51
306,306,40.71812534332279,40.72,Wave Height: 40.72
307,307,41.39937496185303,41.4,Wave Height: 41.4
308,308,41.86374998092652,41.86,Wave Height: 41.86
309,309,42.11125040054327,42.11,Wave Height: 42.11
310,310,41.67812514305123,41.68,Wave Height: 41.68
311,311,40.564374208450396,40.56,Wave Height: 40.56
312,312,39.66499900817877,39.66,Wave Height: 39.66
313,313,38.97999954223635,38.98,Wave Height: 38.98
314,314,37.87499928474428,37.87,Wave Height: 37.87
315,315,36.34999823570253,36.35,Wave Height: 36.35
316,316,34.80562305450439,34.81,Wave Height: 34.81
317,317,33.241873741149874,33.24,Wave Height: 33.24
318,318,33.88999938964839,33.89,Wave Height: 33.89
319,319,36.74999999999996,36.75,Wave Height: 36.75
320,320,39.35374975204465,39.35,Wave Height: 39.35
321,321,41.70124864578246,41.7,Wave Height: 41.7
322,322,43.36562371253966,43.37,Wave Height: 43.37
323,323,44.34687495231627,44.35,Wave Height: 44.35
324,324,46.0881254673004,46.09,Wave Height: 46.09
325,325,48.589375257492065,48.59,Wave Height: 48.59
326,326,51.22874999046327,51.23,Wave Height: 51.23
327,327,54.006249666214,54.01,Wave Height: 54.01
328,328,55.48999929428102,55.49,Wave Height: 55.49
329,329,55.67999887466433,55.68,Wave Height: 55.68
330,330,54.50124859809879,54.5,Wave Height: 54.5
331,331,51.95374846458441,51.95,Wave Height: 51.95
332,332,48.57562327384955,48.58,Wave Height: 48.58
333,333,44.366873025894215,44.37,Wave Height: 44.37
334,334,39.36687314510351,39.37,Wave Height: 39.37
335,335,33.575623631477406,33.58,Wave Height: 33.58
336,336,29.897498965263388,29.9,Wave Height: 29.9
337,337,28.332499146461505,28.33,Wave Height: 28.33
338,338,27.370624184608474,27.37,Wave Height: 27.37
339,339,27.01187407970431,27.01,Wave Height: 27.01
340,340,26.79062402248384,26.79,Wave Height: 26.79
341,341,26.706874012947083,26.71,Wave Height: 26.71
342,342,26.45562386512756,26.46,Wave Height: 26.46
343,343,26.036873579025265,26.04,Wave Height: 26.04
344,344,24.052498698234395,24.05,Wave Height: 24.05
345,345,20.50249922275492,20.5,Wave Height: 20.5
346,346,14.045624613761435,14.05,Wave Height: 14.05
347,347,4.681874871253856,4.68,Wave Height: 4.68
348,348,0.0,0.0,Wave Height: 0.0
349,349,0.0,0.0,Wave Height: 0.0
350,350,0.0,0.0,Wave Height: 0.0
351,351,0.0,0.0,Wave Height: 0.0
352,352,0.0,0.0,Wave Height: 0.0
353,353,0.0,0.0,Wave Height: 0.0
354,354,0.0,0.0,Wave Height: 0.0
355,355,0.0,0.0,Wave Height: 0.0
356,356,0.0,0.0,Wave Height: 0.0
357,357,0.0,0.0,Wave Height: 0.0
358,358,0.0,0.0,Wave Height: 0.0
359,359,0.0,0.0,Wave Height: 0.0
360,360,34.33874964714041,34.34,Wave Height: 34.34
361,361,34.016248941421495,34.02,Wave Height: 34.02
362,362,33.701873779296896,33.7,Wave Height: 33.7
363,363,33.3956241607666,33.4,Wave Height: 33.4
364,364,33.59624934196473,33.6,Wave Height: 33.6
365,365,34.30374932289127,34.3,Wave Height: 34.3
366,366,35.22374939918524,35.22,Wave Height: 35.22
367,367,36.35624957084663,36.36,Wave Height: 36.36
368,368,36.96749949455267,36.97,Wave Height: 36.97
369,369,37.05749917030336,37.06,Wave Height: 37.06
370,370,37.186874151229866,37.19,Wave Height: 37.19
371,371,37.355624437332196,37.36,Wave Height: 37.36
372,372,37.96999955177314,37.97,Wave Height: 37.97
373,373,39.0299994945527,39.03,Wave Height: 39.03
374,374,40.017499446868975,40.02,Wave Height: 40.02
375,375,40.93249940872197,40.93,Wave Height: 40.93
376,376,41.38562440872196,41.39,Wave Height: 41.39
377,377,41.376874446868946,41.38,Wave Height: 41.38
378,378,41.369374275207555,41.37,Wave Height: 41.37
379,379,41.36312389373779,41.36,Wave Height: 41.36
380,380,41.9262490272522,41.93,Wave Height: 41.93
381,381,43.05874967575078,43.06,Wave Height: 43.06
382,382,43.03937458992012,43.04,Wave Height: 43.04
383,383,41.86812376976021,41.87,Wave Height: 41.87
384,384,40.63499832153326,40.63,Wave Height: 40.63
385,385,39.339998245239286,39.34,Wave Height: 39.34
386,386,37.93999838829041,37.94,Wave Height: 37.94
387,387,36.43499875068666,36.43,Wave Height: 36.43
388,388,34.671874046325684,34.67,Wave Height: 34.67
389,389,32.65062427520749,32.65,Wave Height: 32.65
390,390,33.13999938964839,33.14,Wave Height: 33.14
391,391,36.1399993896484,36.14,Wave Height: 36.14
392,392,38.88124895095822,38.88,Wave Height: 38.88
393,393,41.36374807357787,41.36,Wave Height: 41.36
394,394,43.10687327384947,43.11,Wave Height: 43.11
395,395,44.11062455177306,44.11,Wave Height: 44.11
396,396,45.94437479972839,45.94,Wave Height: 45.94
397,397,48.608124017715454,48.61,Wave Height: 48.61
398,398,51.3862488269806,51.39,Wave Height: 51.39
399,399,54.27874922752382,54.28,Wave Height: 54.28
400,400,55.834999561309836,55.83,Wave Height: 55.83
401,401,56.054999828338644,56.05,Wave Height: 56.05
402,402,55.013749837875395,55.01,Wave Height: 55.01
403,403,52.7112495899201,52.71,Wave Height: 52.71
404,404,49.30187439918526,49.3,Wave Height: 49.3
405,405,44.78562426567083,44.79,Wave Height: 44.79
406,406,39.59562408924108,39.6,Wave Height: 39.6
407,407,33.731873869895985,33.73,Wave Height: 33.73
408,408,30.03249895572664,30.03,Wave Height: 30.03
409,409,28.497499346733115,28.5,Wave Height: 28.5
410,410,27.606874346733107,27.61,Wave Height: 27.61
411,411,27.360623955726645,27.36,Wave Height: 27.36
412,412,27.071873784065264,27.07,Wave Height: 27.07
413,413,26.740623831748966,26.74,Wave Height: 26.74
414,414,26.33687376976013,26.34,Wave Height: 26.34
415,415,25.860623598098748,25.86,Wave Height: 25.86
416,416,20.777498841285585,20.78,Wave Height: 20.78
417,417,11.087499499320518,11.09,Wave Height: 11.09
418,418,4.6818748712534575,4.68,Wave Height: 4.68
419,419,1.5606249570845006,1.56,Wave Height: 1.56
420,420,0.0,0.0,Wave Height: 0.0
421,421,0.0,0.0,Wave Height: 0.0
422,422,0.0,0.0,Wave Height: 0.0
423,423,0.0,0.0,Wave Height: 0.0
424,424,0.0,0.0,Wave Height: 0.0
425,425,0.0,0.0,Wave Height: 0.0
426,426,0.0,0.0,Wave Height: 0.0
427,427,0.0,0.0,Wave Height: 0.0
428,428,0.0,0.0,Wave Height: 0.0
429,429,0.0,0.0,Wave Height: 0.0
430,430,0.0,0.0,Wave Height: 0.0
431,431,0.0,0.0,Wave Height: 0.0
432,432,30.53937482833829,30.54,Wave Height: 30.54
433,433,30.813124179839736,30.81,Wave Height: 30.81
434,434,30.894373893737455,30.89,Wave Height: 30.89
435,435,30.783123970031447,30.78,Wave Height: 30.78
436,436,31.669999122619405,31.67,Wave Height: 31.67
437,437,33.554999351501344,33.55,Wave Height: 33.55
438,438,35.216874361038144,35.22,Wave Height: 35.22
439,439,36.655624151229816,36.66,Wave Height: 36.66
440,440,37.3881242275238,37.39,Wave Height: 37.39
441,441,37.41437458992007,37.41,Wave Height: 37.41
442,442,37.73062467575079,37.73,Wave Height: 37.73
443,443,38.33687448501593,38.34,Wave Height: 38.34
444,444,39.143124341964786,39.14,Wave Height: 39.14
445,445,40.14937424659733,40.15,Wave Height: 40.15
446,446,40.93999934196475,40.94,Wave Height: 40.94
447,447,41.51499962806704,41.51,Wave Height: 41.51
448,448,41.85874962806703,41.86,Wave Height: 41.86
449,449,41.971249341964736,41.97,Wave Height: 41.97
450,450,41.915623903274565,41.92,Wave Height: 41.92
451,451,41.6918733119965,41.69,Wave Height: 41.69
452,452,42.21437335014346,42.21,Wave Height: 42.21
453,453,43.483124017715454,43.48,Wave Height: 43.48
454,454,43.67124915122986,43.67,Wave Height: 43.67
455,455,42.77874875068668,42.78,Wave Height: 42.78
456,456,41.28562331199649,41.29,Wave Height: 41.29
457,457,39.19187283515927,39.19,Wave Height: 39.19
458,458,37.44499802589411,37.44,Wave Height: 37.44
459,459,36.044998884201,36.04,Wave Height: 36.04
460,460,34.227499365806544,34.23,Wave Height: 34.23
461,461,31.992499470710722,31.99,Wave Height: 31.99
462,462,32.37374937534327,32.37,Wave Height: 32.37
463,463,35.37124907970423,35.37,Wave Height: 35.37
464,464,38.159998655319164,38.16,Wave Height: 38.16
465,465,40.73999810218805,40.74,Wave Height: 40.74
466,466,42.72562336921689,42.73,Wave Height: 42.73
467,467,44.116874456405654,44.12,Wave Height: 44.12
468,468,46.32749962806706,46.33,Wave Height: 46.33
469,469,49.357498884201135,49.36,Wave Height: 49.36
470,470,52.24687361717233,52.25,Wave Height: 52.25
471,471,54.99562382698066,55.0,Wave Height: 55.0
472,472,56.463124275207576,56.46,Wave Height: 56.46
473,473,56.64937496185307,56.65,Wave Height: 56.65
474,474,55.58187508583074,55.58,Wave Height: 55.58
475,475,53.26062464714053,53.26,Wave Height: 53.26
476,476,49.89437460899359,49.89,Wave Height: 49.89
477,477,45.48312497138986,45.48,Wave Height: 45.48
478,478,40.24249982833872,40.24,Wave Height: 40.24
479,479,34.17249917984017,34.17,Wave Height: 34.17
480,480,30.30562400817875,30.31,Wave Height: 30.31
481,481,28.641874313354514,28.64,Wave Height: 28.64
482,482,27.72124934196472,27.72,Wave Height: 27.72
483,483,27.5437490940094,27.54,Wave Height: 27.54
484,484,27.207498908042908,27.21,Wave Height: 27.21
485,485,26.712498784065243,26.71,Wave Height: 26.71
486,486,25.81999874114986,25.82,Wave Height: 25.82
487,487,24.529998779296744,24.53,Wave Height: 24.53
488,488,17.913749098777714,17.91,Wave Height: 17.91
489,489,5.971249699592629,5.97,Wave Height: 5.97
490,490,0.0,0.0,Wave Height: 0.0
491,491,0.0,0.0,Wave Height: 0.0
492,492,0.0,0.0,Wave Height: 0.0
493,493,0.0,0.0,Wave Height: 0.0
494,494,0.0,0.0,Wave Height: 0.0
495,495,0.0,0.0,Wave Height: 0.0
496,496,0.0,0.0,Wave Height: 0.0
497,497,0.0,0.0,Wave Height: 0.0
498,498,0.0,0.0,Wave Height: 0.0
499,499,0.0,0.0,Wave Height: 0.0
500,500,0.0,0.0,Wave Height: 0.0
501,501,0.0,0.0,Wave Height: 0.0
502,502,0.0,0.0,Wave Height: 0.0
503,503,0.0,0.0,Wave Height: 0.0
504,504,24.663124561309477,24.66,Wave Height: 24.66
505,505,24.65437459945644,24.65,Wave Height: 24.65
506,506,24.973124504089018,24.97,Wave Height: 24.97
507,507,25.619374275207225,25.62,Wave Height: 25.62
508,508,27.769999504089128,27.77,Wave Height: 27.77
509,509,31.42500019073474,31.43,Wave Height: 31.43
510,510,34.15062499046319,34.15,Wave Height: 34.15
511,511,35.94687390327449,35.95,Wave Height: 35.95
512,512,37.214373826980584,37.21,Wave Height: 37.21
513,513,37.95312476158145,37.95,Wave Height: 37.95
514,514,38.7318749427796,38.73,Wave Height: 38.73
515,515,39.55062437057502,39.55,Wave Height: 39.55
516,516,40.29937386512763,40.3,Wave Height: 40.3
517,517,40.97812342643742,40.98,Wave Height: 40.98
518,518,41.519998788833654,41.52,Wave Height: 41.52
519,519,41.92499995231631,41.92,Wave Height: 41.92
520,520,42.181250333786025,42.18,Wave Height: 42.18
521,521,42.28874993324281,42.29,Wave Height: 42.29
522,522,42.35687422752383,42.36,Wave Height: 42.36
523,523,42.385623216629064,42.39,Wave Height: 42.39
524,524,42.72812294960025,42.73,Wave Height: 42.73
525,525,43.38437342643737,43.38,Wave Height: 43.38
526,526,43.573748826980584,43.57,Wave Height: 43.57
527,527,43.29624915122989,43.3,Wave Height: 43.3
