,ids,Wave Height,height,text
76,76,1.5541356801986694,1.55,Wave Height: 1.55
77,77,1.5399999618530273,1.54,Wave Height: 1.54
78,78,1.5757085084915161,1.58,Wave Height: 1.58
79,79,2.704014539718628,2.7,Wave Height: 2.7
80,80,3.0390877723693848,3.04,Wave Height: 3.04
81,81,3.065368890762329,3.07,Wave Height: 3.07
82,82,3.0556623935699463,3.06,Wave Height: 3.06
83,83,3.1094412803649902,3.11,Wave Height: 3.11
84,84,3.0846590995788574,3.08,Wave Height: 3.08
85,85,3.1235482692718506,3.12,Wave Height: 3.12
86,86,2.9319100379943848,2.93,Wave Height: 2.93
87,87,2.1068785190582275,2.11,Wave Height: 2.11
88,88,2.574381113052368,2.57,Wave Height: 2.57
89,89,3.3490264415740967,3.35,Wave Height: 3.35
90,90,2.67922306060791,2.68,Wave Height: 2.68
91,91,1.955795168876648,1.96,Wave Height: 1.96
92,92,1.9893096685409546,1.99,Wave Height: 1.99
93,93,1.3505043983459473,1.35,Wave Height: 1.35
94,94,0.0,0.0,Wave Height: 0.0
95,95,0.0,0.0,Wave Height: 0.0
96,96,1.7660542726516724,1.77,Wave Height: 1.77
97,97,1.7035102844238281,1.7,Wave Height: 1.7
98,98,1.6430566310882568,1.64,Wave Height: 1.64
99,99,1.5890597105026245,1.59,Wave Height: 1.59
100,100,1.5500861406326294,1.55,Wave Height: 1.55
101,101,1.5293656587600708,1.53,Wave Height: 1.53
102,102,1.5468071699142456,1.55,Wave Height: 1.55
103,103,1.8530133962631226,1.85,Wave Height: 1.85
104,104,2.88550066947937,2.89,Wave Height: 2.89
105,105,2.9116532802581787,2.91,Wave Height: 2.91
106,106,2.933846950531006,2.93,Wave Height: 2.93
107,107,2.966991901397705,2.97,Wave Height: 2.97
108,108,2.7168526649475098,2.72,Wave Height: 2.72
109,109,2.094586133956909,2.09,Wave Height: 2.09
110,110,2.005754232406616,2.01,Wave Height: 2.01
111,111,2.0218710899353027,2.02,Wave Height: 2.02
112,112,2.8397390842437744,2.84,Wave Height: 2.84
113,113,2.0595803260803223,2.06,Wave Height: 2.06
114,114,1.7452352046966553,1.75,Wave Height: 1.75
115,115,2.4248898029327393,2.42,Wave Height: 2.42
116,116,1.380493402481079,1.38,Wave Height: 1.38
117,117,0.8293027877807617,0.83,Wave Height: 0.83
118,118,0.0,0.0,Wave Height: 0.0
119,119,0.0,0.0,Wave Height: 0.0
120,120,1.7696256637573242,1.77,Wave Height: 1.77
121,121,1.69450843334198,1.69,Wave Height: 1.69
122,122,1.6341221332550049,1.63,Wave Height: 1.63
123,123,1.5711219310760498,1.57,Wave Height: 1.57
124,124,1.5250437259674072,1.53,Wave Height: 1.53
125,125,1.5096547603607178,1.51,Wave Height: 1.51
126,126,1.516289472579956,1.52,Wave Height: 1.52
127,127,1.5621978044509888,1.56,Wave Height: 1.56
128,128,2.7628872394561768,2.76,Wave Height: 2.76
129,129,2.7667605876922607,2.77,Wave Height: 2.77
130,130,2.8345143795013428,2.83,Wave Height: 2.83
131,131,2.8671963214874268,2.87,Wave Height: 2.87
132,132,2.651820182800293,2.65,Wave Height: 2.65
133,133,1.7865090370178223,1.79,Wave Height: 1.79
134,134,1.8490006923675537,1.85,Wave Height: 1.85
135,135,1.8855681419372559,1.89,Wave Height: 1.89
136,136,2.101685047149658,2.1,Wave Height: 2.1
137,137,2.385002613067627,2.39,Wave Height: 2.39
138,138,2.414285182952881,2.41,Wave Height: 2.41
139,139,2.0844006538391113,2.08,Wave Height: 2.08
140,140,1.4643950462341309,1.46,Wave Height: 1.46
141,141,1.0059404373168945,1.01,Wave Height: 1.01
142,142,0.0,0.0,Wave Height: 0.0
143,143,0.0,0.0,Wave Height: 0.0
144,144,1.7638888359069824,1.76,Wave Height: 1.76
145,145,1.6959201097488403,1.7,Wave Height: 1.7
146,146,1.6213598251342773,1.62,Wave Height: 1.62
147,147,1.539023756980896,1.54,Wave Height: 1.54
148,148,1.4745903015136719,1.47,Wave Height: 1.47
149,149,1.4221129417419434,1.42,Wave Height: 1.42
150,150,1.4046090841293335,1.4,Wave Height: 1.4
151,151,1.5936540365219116,1.59,Wave Height: 1.59
152,152,2.6003761291503906,2.6,Wave Height: 2.6
153,153,2.483613967895508,2.48,Wave Height: 2.48
154,154,2.600288152694702,2.6,Wave Height: 2.6
155,155,2.7034711837768555,2.7,Wave Height: 2.7
156,156,1.9177050590515137,1.92,Wave Height: 1.92
157,157,1.6745284795761108,1.67,Wave Height: 1.67
158,158,1.6840630769729614,1.68,Wave Height: 1.68
159,159,1.732367992401123,1.73,Wave Height: 1.73
160,160,2.035688877105713,2.04,Wave Height: 2.04
161,161,1.7197448015213013,1.72,Wave Height: 1.72
162,162,1.9668917655944824,1.97,Wave Height: 1.97
163,163,1.9818575382232666,1.98,Wave Height: 1.98
164,164,1.2848989963531494,1.28,Wave Height: 1.28
165,165,0.3529181182384491,0.35,Wave Height: 0.35
166,166,0.0,0.0,Wave Height: 0.0
167,167,0.0,0.0,Wave Height: 0.0
168,168,1.7471133470535278,1.75,Wave Height: 1.75
169,169,1.6871286630630493,1.69,Wave Height: 1.69
170,170,1.593105435371399,1.59,Wave Height: 1.59
171,171,1.4599473476409912,1.46,Wave Height: 1.46
172,172,1.407432198524475,1.41,Wave Height: 1.41
173,173,1.3319162130355835,1.33,Wave Height: 1.33
174,174,1.2393615245819092,1.24,Wave Height: 1.24
175,175,1.9282981157302856,1.93,Wave Height: 1.93
176,176,2.3967199325561523,2.4,Wave Height: 2.4
177,177,2.353991746902466,2.35,Wave Height: 2.35
178,178,2.402111530303955,2.4,Wave Height: 2.4
179,179,2.437042474746704,2.44,Wave Height: 2.44
180,180,1.5675150156021118,1.57,Wave Height: 1.57
181,181,1.5429060459136963,1.54,Wave Height: 1.54
182,182,1.5822547674179077,1.58,Wave Height: 1.58
183,183,1.6304653882980347,1.63,Wave Height: 1.63
184,184,1.6379293203353882,1.64,Wave Height: 1.64
185,185,1.5966095924377441,1.6,Wave Height: 1.6
186,186,1.5112675428390503,1.51,Wave Height: 1.51
187,187,1.3943012952804565,1.39,Wave Height: 1.39
188,188,0.36391040682792664,0.36,Wave Height: 0.36
189,189,0.0,0.0,Wave Height: 0.0
190,190,0.0,0.0,Wave Height: 0.0
191,191,0.0,0.0,Wave Height: 0.0
192,192,1.7290987968444824,1.73,Wave Height: 1.73
193,193,1.6507859230041504,1.65,Wave Height: 1.65
194,194,1.5280944108963013,1.53,Wave Height: 1.53
195,195,0.9437820911407471,0.94,Wave Height: 0.94
196,196,0.8671944737434387,0.87,Wave Height: 0.87
197,197,0.9248201847076416,0.92,Wave Height: 0.92
198,198,1.5895715951919556,1.59,Wave Height: 1.59
199,199,2.0747766494750977,2.07,Wave Height: 2.07
200,200,1.9881415367126465,1.99,Wave Height: 1.99
201,201,2.12795090675354,2.13,Wave Height: 2.13
202,202,2.1984307765960693,2.2,Wave Height: 2.2
203,203,2.1173837184906006,2.12,Wave Height: 2.12
204,204,1.9162908792495728,1.92,Wave Height: 1.92
205,205,1.2460273504257202,1.25,Wave Height: 1.25
206,206,1.3125520944595337,1.31,Wave Height: 1.31
207,207,1.5365874767303467,1.54,Wave Height: 1.54
208,208,1.5245537757873535,1.52,Wave Height: 1.52
209,209,1.4781254529953003,1.48,Wave Height: 1.48
210,210,1.4365030527114868,1.44,Wave Height: 1.44
211,211,1.0345009565353394,1.03,Wave Height: 1.03
212,212,0.0,0.0,Wave Height: 0.0
213,213,0.0,0.0,Wave Height: 0.0
214,214,0.0,0.0,Wave Height: 0.0
215,215,0.0,0.0,Wave Height: 0.0
216,216,1.7114681005477905,1.71,Wave Height: 1.71
217,217,1.6418607234954834,1.64,Wave Height: 1.64
218,218,1.4492381811141968,1.45,Wave Height: 1.45
219,219,1.49256432056427,1.49,Wave Height: 1.49
220,220,0.9435317516326904,0.94,Wave Height: 0.94
221,221,0.8639251589775085,0.86,Wave Height: 0.86
222,222,1.444657325744629,1.44,Wave Height: 1.44
223,223,1.8572542667388916,1.86,Wave Height: 1.86
224,224,1.7491618394851685,1.75,Wave Height: 1.75
225,225,1.922465443611145,1.92,Wave Height: 1.92
226,226,2.0527608394622803,2.05,Wave Height: 2.05
227,227,2.089249610900879,2.09,Wave Height: 2.09
228,228,2.0033011436462402,2.0,Wave Height: 2.0
229,229,1.2933247089385986,1.29,Wave Height: 1.29
230,230,1.2314780950546265,1.23,Wave Height: 1.23
231,231,1.3279249668121338,1.33,Wave Height: 1.33
232,232,1.5086896419525146,1.51,Wave Height: 1.51
233,233,1.4611889123916626,1.46,Wave Height: 1.46
234,234,1.410248041152954,1.41,Wave Height: 1.41
235,235,0.28418493270874023,0.28,Wave Height: 0.28
236,236,0.0,0.0,Wave Height: 0.0
237,237,0.0,0.0,Wave Height: 0.0
238,238,0.0,0.0,Wave Height: 0.0
239,239,0.0,0.0,Wave Height: 0.0
240,240,1.6881123781204224,1.69,Wave Height: 1.69
241,241,1.6238447427749634,1.62,Wave Height: 1.62
242,242,1.2615388631820679,1.26,Wave Height: 1.26
243,243,0.7571330666542053,0.76,Wave Height: 0.76
244,244,1.0145260095596313,1.01,Wave Height: 1.01
245,245,1.1493314504623413,1.15,Wave Height: 1.15
246,246,1.2251102924346924,1.23,Wave Height: 1.23
247,247,1.4300577640533447,1.43,Wave Height: 1.43
248,248,2.014427661895752,2.01,Wave Height: 2.01
249,249,1.81545889377594,1.82,Wave Height: 1.82
250,250,2.0107014179229736,2.01,Wave Height: 2.01
251,251,2.0086615085601807,2.01,Wave Height: 2.01
252,252,2.105153799057007,2.11,Wave Height: 2.11
253,253,2.2958695888519287,2.3,Wave Height: 2.3
254,254,1.1661903858184814,1.17,Wave Height: 1.17
255,255,1.150970697402954,1.15,Wave Height: 1.15
256,256,1.2145017385482788,1.21,Wave Height: 1.21
257,257,1.457173228263855,1.46,Wave Height: 1.46
258,258,1.4116891622543335,1.41,Wave Height: 1.41
259,259,0.05650273337960243,0.06,Wave Height: 0.06
260,260,0.0,0.0,Wave Height: 0.0
261,261,0.0,0.0,Wave Height: 0.0
262,262,0.0,0.0,Wave Height: 0.0
263,263,0.0,0.0,Wave Height: 0.0
264,264,1.6690688133239746,1.67,Wave Height: 1.67
265,265,1.600531816482544,1.6,Wave Height: 1.6
266,266,1.5154001712799072,1.52,Wave Height: 1.52
267,267,1.4311325550079346,1.43,Wave Height: 1.43
268,268,1.3896905183792114,1.39,Wave Height: 1.39
269,269,1.3661351203918457,1.37,Wave Height: 1.37
270,270,1.3650017976760864,1.37,Wave Height: 1.37
271,271,1.683854103088379,1.68,Wave Height: 1.68
272,272,1.9165618419647217,1.92,Wave Height: 1.92
273,273,1.9913725852966309,1.99,Wave Height: 1.99
274,274,2.080324172973633,2.08,Wave Height: 2.08
275,275,2.1058900356292725,2.11,Wave Height: 2.11
276,276,2.257366180419922,2.26,Wave Height: 2.26
277,277,1.1910154819488525,1.19,Wave Height: 1.19
278,278,1.177405834197998,1.18,Wave Height: 1.18
279,279,1.1422715187072754,1.14,Wave Height: 1.14
280,280,1.1374812126159668,1.14,Wave Height: 1.14
281,281,1.4582176208496094,1.46,Wave Height: 1.46
282,282,1.29293954372406,1.29,Wave Height: 1.29
283,283,0.0,0.0,Wave Height: 0.0
284,284,0.0,0.0,Wave Height: 0.0
285,285,0.0795113816857338,0.08,Wave Height: 0.08
286,286,0.0,0.0,Wave Height: 0.0
287,287,0.0,0.0,Wave Height: 0.0
288,288,1.634047508239746,1.63,Wave Height: 1.63
289,289,1.573081374168396,1.57,Wave Height: 1.57
290,290,1.5301017761230469,1.53,Wave Height: 1.53
291,291,1.4950814247131348,1.5,Wave Height: 1.5
292,292,1.4670677185058594,1.47,Wave Height: 1.47
293,293,1.4461220502853394,1.45,Wave Height: 1.45
294,294,1.434999942779541,1.43,Wave Height: 1.43
295,295,1.6699999570846558,1.67,Wave Height: 1.67
296,296,1.9515198469161987,1.95,Wave Height: 1.95
297,297,1.9978642463684082,2.0,Wave Height: 2.0
298,298,2.0189850330352783,2.02,Wave Height: 2.02
299,299,2.123778820037842,2.12,Wave Height: 2.12
300,300,2.2218234539031982,2.22,Wave Height: 2.22
301,301,1.1754196882247925,1.18,Wave Height: 1.18
302,302,1.6927964687347412,1.69,Wave Height: 1.69
303,303,1.3805335760116577,1.38,Wave Height: 1.38
304,304,1.4293808937072754,1.43,Wave Height: 1.43
305,305,1.3366401195526123,1.34,Wave Height: 1.34
306,306,0.5272719264030457,0.53,Wave Height: 0.53
307,307,0.0,0.0,Wave Height: 0.0
308,308,0.0,0.0,Wave Height: 0.0
309,309,0.13695573806762695,0.14,Wave Height: 0.14
310,310,0.5310992002487183,0.53,Wave Height: 0.53
311,311,0.7510924339294434,0.75,Wave Height: 0.75
312,312,1.5960116386413574,1.6,Wave Height: 1.6
313,313,1.5450804233551025,1.55,Wave Height: 1.55
314,314,1.5064220428466797,1.51,Wave Height: 1.51
315,315,1.484134316444397,1.48,Wave Height: 1.48
316,316,1.4670130014419556,1.47,Wave Height: 1.47
317,317,1.4563289880752563,1.46,Wave Height: 1.46
318,318,1.4465429782867432,1.45,Wave Height: 1.45
319,319,1.5258773565292358,1.53,Wave Height: 1.53
320,320,1.9478784799575806,1.95,Wave Height: 1.95
321,321,2.0493178367614746,2.05,Wave Height: 2.05
322,322,2.141719102859497,2.14,Wave Height: 2.14
323,323,2.187269449234009,2.19,Wave Height: 2.19
324,324,2.245368003845215,2.25,Wave Height: 2.25
325,325,2.185176134109497,2.19,Wave Height: 2.19
326,326,1.3877876996994019,1.39,Wave Height: 1.39
327,327,1.1964937448501587,1.2,Wave Height: 1.2
328,328,1.7416856288909912,1.74,Wave Height: 1.74
329,329,0.6752926707267761,0.68,Wave Height: 0.68
330,330,0.0,0.0,Wave Height: 0.0
331,331,0.0,0.0,Wave Height: 0.0
332,332,0.0,0.0,Wave Height: 0.0
333,333,0.0948614776134491,0.09,Wave Height: 0.09
334,334,0.7177847623825073,0.72,Wave Height: 0.72
335,335,0.8297112584114075,0.83,Wave Height: 0.83
336,336,1.5710115432739258,1.57,Wave Height: 1.57
337,337,1.5310523509979248,1.53,Wave Height: 1.53
338,338,1.4858887195587158,1.49,Wave Height: 1.49
339,339,1.4491342306137085,1.45,Wave Height: 1.45
340,340,1.4380525350570679,1.44,Wave Height: 1.44
341,341,1.4074546098709106,1.41,Wave Height: 1.41
342,342,1.4393261671066284,1.44,Wave Height: 1.44
343,343,1.5736812353134155,1.57,Wave Height: 1.57
344,344,1.514035940170288,1.51,Wave Height: 1.51
345,345,1.5909806489944458,1.59,Wave Height: 1.59
346,346,2.137205123901367,2.14,Wave Height: 2.14
347,347,2.18574595451355,2.19,Wave Height: 2.19
348,348,2.2542319297790527,2.25,Wave Height: 2.25
349,349,2.2476370334625244,2.25,Wave Height: 2.25
350,350,1.3525168895721436,1.35,Wave Height: 1.35
351,351,0.7604438066482544,0.76,Wave Height: 0.76
352,352,0.446362167596817,0.45,Wave Height: 0.45
353,353,0.0,0.0,Wave Height: 0.0
354,354,0.0,0.0,Wave Height: 0.0
355,355,0.0,0.0,Wave Height: 0.0
356,356,0.0,0.0,Wave Height: 0.0
357,357,0.15936580300331116,0.16,Wave Height: 0.16
358,358,0.7475442886352539,0.75,Wave Height: 0.75
359,359,0.9087302684783936,0.91,Wave Height: 0.91
360,360,1.5403237342834473,1.54,Wave Height: 1.54
361,361,1.5076252222061157,1.51,Wave Height: 1.51
362,362,1.4769052267074585,1.48,Wave Height: 1.48
363,363,1.4311957359313965,1.43,Wave Height: 1.43
364,364,1.3646875619888306,1.36,Wave Height: 1.36
365,365,1.3730945587158203,1.37,Wave Height: 1.37
366,366,1.4068403244018555,1.41,Wave Height: 1.41
367,367,1.5523672103881836,1.55,Wave Height: 1.55
368,368,1.9802916049957275,1.98,Wave Height: 1.98
369,369,2.1233866214752197,2.12,Wave Height: 2.12
370,370,2.179093360900879,2.18,Wave Height: 2.18
371,371,2.239086389541626,2.24,Wave Height: 2.24
372,372,1.9947898387908936,1.99,Wave Height: 1.99
373,373,1.887045979499817,1.89,Wave Height: 1.89
374,374,1.082200527191162,1.08,Wave Height: 1.08
375,375,0.0,0.0,Wave Height: 0.0
376,376,0.0,0.0,Wave Height: 0.0
377,377,0.0,0.0,Wave Height: 0.0
378,378,0.0,0.0,Wave Height: 0.0
379,379,0.0,0.0,Wave Height: 0.0
380,380,0.0,0.0,Wave Height: 0.0
381,381,0.18739914894104004,0.19,Wave Height: 0.19
382,382,0.7980109453201294,0.8,Wave Height: 0.8
383,383,0.9612430930137634,0.96,Wave Height: 0.96
384,384,1.520969033241272,1.52,Wave Height: 1.52
385,385,1.493860125541687,1.49,Wave Height: 1.49
386,386,1.4566755294799805,1.46,Wave Height: 1.46
387,387,1.394163727760315,1.39,Wave Height: 1.39
388,388,1.3588042259216309,1.36,Wave Height: 1.36
389,389,1.350000023841858,1.35,Wave Height: 1.35
390,390,1.3838129043579102,1.38,Wave Height: 1.38
391,391,1.4396812915802002,1.44,Wave Height: 1.44
392,392,1.4755139350891113,1.48,Wave Height: 1.48
393,393,1.9022119045257568,1.9,Wave Height: 1.9
394,394,2.2258923053741455,2.23,Wave Height: 2.23
395,395,2.1716578006744385,2.17,Wave Height: 2.17
396,396,1.8867393732070923,1.89,Wave Height: 1.89
397,397,1.1443718671798706,1.14,Wave Height: 1.14
398,398,0.3290677070617676,0.33,Wave Height: 0.33
399,399,0.0,0.0,Wave Height: 0.0
400,400,0.0,0.0,Wave Height: 0.0
401,401,0.0,0.0,Wave Height: 0.0
402,402,0.0,0.0,Wave Height: 0.0
403,403,0.0,0.0,Wave Height: 0.0
404,404,0.0,0.0,Wave Height: 0.0
405,405,0.513279914855957,0.51,Wave Height: 0.51
406,406,0.8858908414840698,0.89,Wave Height: 0.89
407,407,0.9508817791938782,0.95,Wave Height: 0.95
408,408,1.5039552450180054,1.5,Wave Height: 1.5
409,409,2.4199154376983643,2.42,Wave Height: 2.42
410,410,1.4322606325149536,1.43,Wave Height: 1.43
411,411,1.3554376363754272,1.36,Wave Height: 1.36
412,412,1.3054187297821045,1.31,Wave Height: 1.31
413,413,1.3731350898742676,1.37,Wave Height: 1.37
414,414,1.3467167615890503,1.35,Wave Height: 1.35
415,415,1.4969961643218994,1.5,Wave Height: 1.5
416,416,1.8016777038574219,1.8,Wave Height: 1.8
417,417,1.8577429056167603,1.86,Wave Height: 1.86
418,418,2.1447913646698,2.14,Wave Height: 2.14
419,419,2.00016188621521,2.0,Wave Height: 2.0
420,420,1.8367501497268677,1.84,Wave Height: 1.84
421,421,0.39351972937583923,0.39,Wave Height: 0.39
422,422,0.0,0.0,Wave Height: 0.0
423,423,0.8133623003959656,0.81,Wave Height: 0.81
424,424,1.2900735139846802,1.29,Wave Height: 1.29
425,425,1.0600385665893555,1.06,Wave Height: 1.06
426,426,0.8431655764579773,0.84,Wave Height: 0.84
427,427,0.6023570895195007,0.6,Wave Height: 0.6
428,428,0.2884393334388733,0.29,Wave Height: 0.29
429,429,0.6511455178260803,0.65,Wave Height: 0.65
430,430,1.1785308122634888,1.18,Wave Height: 1.18
431,431,1.0017750263214111,1.0,Wave Height: 1.0
432,432,2.625607967376709,2.63,Wave Height: 2.63
433,433,2.5536766052246094,2.55,Wave Height: 2.55
434,434,1.3379082679748535,1.34,Wave Height: 1.34
435,435,1.279710292816162,1.28,Wave Height: 1.28
436,436,1.2312428951263428,1.23,Wave Height: 1.23
437,437,1.3862099647521973,1.39,Wave Height: 1.39
438,438,1.457808017730713,1.46,Wave Height: 1.46
439,439,1.525511384010315,1.53,Wave Height: 1.53
440,440,1.9158430099487305,1.92,Wave Height: 1.92
441,441,2.068598985671997,2.07,Wave Height: 2.07
442,442,2.036959409713745,2.04,Wave Height: 2.04
443,443,2.051717519760132,2.05,Wave Height: 2.05
444,444,1.6030911207199097,1.6,Wave Height: 1.6
445,445,0.02257148176431656,0.02,Wave Height: 0.02
446,446,0.7515727281570435,0.75,Wave Height: 0.75
447,447,1.3225529193878174,1.32,Wave Height: 1.32
448,448,1.3524988889694214,1.35,Wave Height: 1.35
449,449,1.319706678390503,1.32,Wave Height: 1.32
450,450,1.260410189628601,1.26,Wave Height: 1.26
451,451,1.1037201881408691,1.1,Wave Height: 1.1
452,452,0.9536280035972595,0.95,Wave Height: 0.95
453,453,1.027037501335144,1.03,Wave Height: 1.03
454,454,1.142220377922058,1.14,Wave Height: 1.14
455,455,1.0328916311264038,1.03,Wave Height: 1.03
456,456,2.335359573364258,2.34,Wave Height: 2.34
457,457,1.8629465103149414,1.86,Wave Height: 1.86
458,458,1.1308670043945312,1.13,Wave Height: 1.13
459,459,1.1019456386566162,1.1,Wave Height: 1.1
460,460,1.0930612087249756,1.09,Wave Height: 1.09
461,461,1.6330060958862305,1.63,Wave Height: 1.63
462,462,1.9070321321487427,1.91,Wave Height: 1.91
463,463,1.9602512121200562,1.96,Wave Height: 1.96
464,464,1.9683173894882202,1.97,Wave Height: 1.97
465,465,1.8636776208877563,1.86,Wave Height: 1.86
466,466,1.8866336345672607,1.89,Wave Height: 1.89
467,467,1.7337074279785156,1.73,Wave Height: 1.73
468,468,0.7637783885002136,0.76,Wave Height: 0.76
469,469,0.0,0.0,Wave Height: 0.0
470,470,1.1745736598968506,1.17,Wave Height: 1.17
471,471,1.350016474723816,1.35,Wave Height: 1.35
472,472,1.3908355236053467,1.39,Wave Height: 1.39
473,473,1.401232361793518,1.4,Wave Height: 1.4
474,474,1.3758925199508667,1.38,Wave Height: 1.38
475,475,1.3707890510559082,1.37,Wave Height: 1.37
476,476,1.2911747694015503,1.29,Wave Height: 1.29
477,477,1.190840244293213,1.19,Wave Height: 1.19
478,478,1.0921730995178223,1.09,Wave Height: 1.09
479,479,0.9978496432304382,1.0,Wave Height: 1.0
480,480,1.0857617855072021,1.09,Wave Height: 1.09
481,481,0.170633926987648,0.17,Wave Height: 0.17
482,482,0.09267264604568481,0.09,Wave Height: 0.09
483,483,0.48196491599082947,0.48,Wave Height: 0.48
484,484,0.6885111331939697,0.69,Wave Height: 0.69
485,485,1.6224939823150635,1.62,Wave Height: 1.62
486,486,1.7028765678405762,1.7,Wave Height: 1.7
487,487,1.9092085361480713,1.91,Wave Height: 1.91
488,488,2.0528900623321533,2.05,Wave Height: 2.05
489,489,1.9894078969955444,1.99,Wave Height: 1.99
490,490,1.9584463834762573,1.96,Wave Height: 1.96
491,491,1.5340867042541504,1.53,Wave Height: 1.53
492,492,0.019931288436055183,0.02,Wave Height: 0.02
493,493,0.00036921154242008924,0.0,Wave Height: 0.0
494,494,0.7813960909843445,0.78,Wave Height: 0.78
495,495,1.3316867351531982,1.33,Wave Height: 1.33
496,496,1.401940941810608,1.4,Wave Height: 1.4
497,497,1.4464422464370728,1.45,Wave Height: 1.45
498,498,1.4580061435699463,1.46,Wave Height: 1.46
499,499,1.4319418668746948,1.43,Wave Height: 1.43
500,500,1.3618707656860352,1.36,Wave Height: 1.36
501,501,1.2361637353897095,1.24,Wave Height: 1.24
502,502,1.1287328004837036,1.13,Wave Height: 1.13
503,503,0.9943827986717224,0.99,Wave Height: 0.99
504,504,0.07214042544364929,0.07,Wave Height: 0.07
505,505,0.043271586298942566,0.04,Wave Height: 0.04
506,506,0.0,0.0,Wave Height: 0.0
507,507,0.0,0.0,Wave Height: 0.0
508,508,0.0,0.0,Wave Height: 0.0
509,509,0.7632878422737122,0.76,Wave Height: 0.76
510,510,1.4236823320388794,1.42,Wave Height: 1.42
511,511,1.6583659648895264,1.66,Wave Height: 1.66
512,512,1.7749395370483398,1.77,Wave Height: 1.77
