,time,crumb_id,geometry,Longitude,Latitude
76,76,76,POINT (-80.08487 3.8630395),-80.08487,3.8630395
77,77,77,POINT (-80.08487 2.9830395),-80.08487,2.9830395
78,78,78,POINT (-81.01487 2.9830395),-81.01487,2.9830395
79,79,79,POINT (-81.01487 2.1030395),-81.01487,2.1030395
80,80,80,POINT (-81.94486999999999 2.1030395),-81.94487,2.1030395
81,81,81,POINT (-82.87487 2.1030395),-82.87487,2.1030395
82,82,82,POINT (-82.87487 1.2230395),-82.87487,1.2230395
83,83,83,POINT (-82.87487 0.3430395),-82.87487,0.3430395
84,84,84,POINT (-82.87487 -0.5369605),-82.87487,-0.5369605
85,85,85,POINT (-81.94486999999999 -0.5369605),-81.94487,-0.5369605
86,86,86,POINT (-81.01487 -0.5369605),-81.01487,-0.5369605
87,87,87,POINT (-81.01487 0.3430395),-81.01487,0.3430395
88,88,88,POINT (-81.01487 1.2230395),-81.01487,1.2230395
89,89,89,POINT (-81.01487 0.3430395),-81.01487,0.3430395
90,90,90,POINT (-81.94486999999999 0.3430395),-81.94487,0.3430395
91,91,91,POINT (-81.01487 0.3430395),-81.01487,0.3430395
92,92,92,POINT (-81.01487 -0.5369605),-81.01487,-0.5369605
93,93,93,POINT (-81.94486999999999 -0.5369605),-81.94487,-0.5369605
94,94,94,POINT (-81.94486999999999 -1.4169605),-81.94487,-1.4169605
95,95,95,POINT (-81.94486999999999 -2.2969605),-81.94487,-2.2969605
96,96,96,POINT (-81.94486999999999 -3.1769605),-81.94487,-3.1769605
97,97,97,POINT (-82.87487 -3.1769605),-82.87487,-3.1769605
98,98,98,POINT (-82.87487 -3.1769605),-82.87487,-3.1769605
99,99,99,POINT (-81.94486999999999 -3.1769605),-81.94487,-3.1769605
100,100,100,POINT (-82.87487 -3.1769605),-82.87487,-3.1769605
101,101,101,POINT (-82.87487 -2.2969605),-82.87487,-2.2969605
102,102,102,POINT (-82.87487 -3.1769605),-82.87487,-3.1769605
103,103,103,POINT (-82.87487 -3.1769605),-82.87487,-3.1769605
104,104,104,POINT (-82.87487 -2.2969605),-82.87487,-2.2969605
105,105,105,POINT (-82.87487 -1.4169605),-82.87487,-1.4169605
106,106,106,POINT (-82.87487 -0.5369605),-82.87487,-0.5369605
107,107,107,POINT (-81.94486999999999 -0.5369605),-81.94487,-0.5369605
108,108,108,POINT (-81.94486999999999 -1.4169605),-81.94487,-1.4169605
109,109,109,POINT (-81.94486999999999 -0.5369605),-81.94487,-0.5369605
110,110,110,POINT (-81.94486999999999 -1.4169605),-81.94487,-1.4169605
111,111,111,POINT (-82.87487 -1.4169605),-82.87487,-1.4169605
112,112,112,POINT (-82.87487 -2.2969605),-82.87487,-2.2969605
113,113,113,POINT (-83.80486999999999 -2.2969605),-83.80487,-2.2969605
114,114,114,POINT (-84.73487 -2.2969605),-84.73487,-2.2969605
115,115,115,POINT (-85.66486999999999 -2.2969605),-85.66487,-2.2969605
116,116,116,POINT (-85.66486999999999 -1.4169605),-85.66487,-1.4169605
117,117,117,POINT (-84.73487 -1.4169605),-84.73487,-1.4169605
118,118,118,POINT (-84.73487 -0.5369605),-84.73487,-0.5369605
119,119,119,POINT (-84.73487 -1.4169605),-84.73487,-1.4169605
120,120,120,POINT (-84.73487 -2.2969605),-84.73487,-2.2969605
121,121,121,POINT (-84.73487 -3.1769605),-84.73487,-3.1769605
122,122,122,POINT (-83.80486999999999 -3.1769605),-83.80487,-3.1769605
123,123,123,POINT (-83.80486999999999 -3.1769605),-83.80487,-3.1769605
124,124,124,POINT (-83.80486999999999 -3.1769605),-83.80487,-3.1769605
125,125,125,POINT (-83.80486999999999 -2.2969605),-83.80487,-2.2969605
126,126,126,POINT (-82.87487 -2.2969605),-82.87487,-2.2969605
127,127,127,POINT (-83.80486999999999 -2.2969605),-83.80487,-2.2969605
128,128,128,POINT (-83.80486999999999 -3.1769605),-83.80487,-3.1769605
129,129,129,POINT (-84.73487 -3.1769605),-84.73487,-3.1769605
130,130,130,POINT (-84.73487 -2.2969605),-84.73487,-2.2969605
131,131,131,POINT (-84.73487 -3.1769605),-84.73487,-3.1769605
132,132,132,POINT (-83.80486999999999 -3.1769605),-83.80487,-3.1769605
133,133,133,POINT (-83.80486999999999 -3.1769605),-83.80487,-3.1769605
134,134,134,POINT (-82.87487 -3.1769605),-82.87487,-3.1769605
135,135,135,POINT (-83.80486999999999 -3.1769605),-83.80487,-3.1769605
136,136,136,POINT (-83.80486999999999 -2.2969605),-83.80487,-2.2969605
137,137,137,POINT (-82.87487 -2.2969605),-82.87487,-2.2969605
138,138,138,POINT (-81.94486999999999 -2.2969605),-81.94487,-2.2969605
139,139,139,POINT (-81.94486999999999 -3.1769605),-81.94487,-3.1769605
140,140,140,POINT (-81.01487 -3.1769605),-81.01487,-3.1769605
141,141,141,POINT (-81.94486999999999 -3.1769605),-81.94487,-3.1769605
142,142,142,POINT (-81.94486999999999 -3.1769605),-81.94487,-3.1769605
143,143,143,POINT (-81.94486999999999 -2.2969605),-81.94487,-2.2969605
144,144,144,POINT (-81.94486999999999 -1.4169605),-81.94487,-1.4169605
145,145,145,POINT (-81.94486999999999 -0.5369605),-81.94487,-0.5369605
146,146,146,POINT (-82.87487 -0.5369605),-82.87487,-0.5369605
147,147,147,POINT (-81.94486999999999 -0.5369605),-81.94487,-0.5369605
148,148,148,POINT (-81.94486999999999 -1.4169605),-81.94487,-1.4169605
149,149,149,POINT (-81.94486999999999 -0.5369605),-81.94487,-0.5369605
150,150,150,POINT (-81.94486999999999 -1.4169605),-81.94487,-1.4169605
151,151,151,POINT (-81.94486999999999 -0.5369605),-81.94487,-0.5369605
152,152,152,POINT (-81.94486999999999 0.3430395),-81.94487,0.3430395
153,153,153,POINT (-81.94486999999999 -0.5369605),-81.94487,-0.5369605
154,154,154,POINT (-81.01487 -0.5369605),-81.01487,-0.5369605
155,155,155,POINT (-80.08487 -0.5369605),-80.08487,-0.5369605
156,156,156,POINT (-80.08487 0.3430395),-80.08487,0.3430395
157,157,157,POINT (-80.08487 1.2230395),-80.08487,1.2230395
158,158,158,POINT (-80.08487 0.3430395),-80.08487,0.3430395
159,159,159,POINT (-80.08487 -0.5369605),-80.08487,-0.5369605
160,160,160,POINT (-81.01487 -0.5369605),-81.01487,-0.5369605
161,161,161,POINT (-81.94486999999999 -0.5369605),-81.94487,-0.5369605
162,162,162,POINT (-81.94486999999999 0.3430395),-81.94487,0.3430395
163,163,163,POINT (-81.01487 0.3430395),-81.01487,0.3430395
164,164,164,POINT (-81.94486999999999 0.3430395),-81.94487,0.3430395
165,165,165,POINT (-81.01487 0.3430395),-81.01487,0.3430395
166,166,166,POINT (-81.94486999999999 0.3430395),-81.94487,0.3430395
167,167,167,POINT (-81.01487 0.3430395),-81.01487,0.3430395
168,168,168,POINT (-81.01487 1.2230395),-81.01487,1.2230395
169,169,169,POINT (-81.94486999999999 1.2230395),-81.94487,1.2230395
170,170,170,POINT (-81.94486999999999 0.3430395),-81.94487,0.3430395
171,171,171,POINT (-81.94486999999999 1.2230395),-81.94487,1.2230395
172,172,172,POINT (-81.01487 1.2230395),-81.01487,1.2230395
173,173,173,POINT (-80.08487 1.2230395),-80.08487,1.2230395
174,174,174,POINT (-81.01487 1.2230395),-81.01487,1.2230395
175,175,175,POINT (-81.01487 2.1030395),-81.01487,2.1030395
176,176,176,POINT (-80.08487 2.1030395),-80.08487,2.1030395
177,177,177,POINT (-81.01487 2.1030395),-81.01487,2.1030395
178,178,178,POINT (-81.01487 2.9830395),-81.01487,2.9830395
179,179,179,POINT (-80.08487 2.9830395),-80.08487,2.9830395
180,180,180,POINT (-80.08487 3.8630395),-80.08487,3.8630395
181,181,181,POINT (-81.01487 3.8630395),-81.01487,3.8630395
182,182,182,POINT (-81.01487 2.9830395),-81.01487,2.9830395
183,183,183,POINT (-81.01487 2.1030395),-81.01487,2.1030395
184,184,184,POINT (-81.01487 1.2230395),-81.01487,1.2230395
185,185,185,POINT (-80.08487 1.2230395),-80.08487,1.2230395
186,186,186,POINT (-81.01487 1.2230395),-81.01487,1.2230395
187,187,187,POINT (-80.08487 1.2230395),-80.08487,1.2230395
188,188,188,POINT (-79.15487 1.2230395),-79.15487,1.2230395
189,189,189,POINT (-79.15487 2.1030395),-79.15487,2.1030395
190,190,190,POINT (-80.08487 2.1030395),-80.08487,2.1030395
191,191,191,POINT (-79.15487 2.1030395),-79.15487,2.1030395
192,192,192,POINT (-80.08487 2.1030395),-80.08487,2.1030395
193,193,193,POINT (-80.08487 2.9830395),-80.08487,2.9830395
194,194,194,POINT (-80.08487 3.8630395),-80.08487,3.8630395
195,195,195,POINT (-80.08487 2.9830395),-80.08487,2.9830395
196,196,196,POINT (-80.08487 3.8630395),-80.08487,3.8630395
197,197,197,POINT (-80.08487 4.7430395),-80.08487,4.7430395
198,198,198,POINT (-81.01487 4.7430395),-81.01487,4.7430395
199,199,199,POINT (-80.08487 4.7430395),-80.08487,4.7430395
200,200,200,POINT (-81.01487 4.7430395),-81.01487,4.7430395
201,201,201,POINT (-81.94486999999999 4.7430395),-81.94487,4.7430395
202,202,202,POINT (-81.01487 4.7430395),-81.01487,4.7430395
203,203,203,POINT (-81.01487 3.8630395),-81.01487,3.8630395
204,204,204,POINT (-81.94486999999999 3.8630395),-81.94487,3.8630395
205,205,205,POINT (-81.94486999999999 2.9830395),-81.94487,2.9830395
206,206,206,POINT (-81.94486999999999 2.1030395),-81.94487,2.1030395
207,207,207,POINT (-82.87487 2.1030395),-82.87487,2.1030395
208,208,208,POINT (-82.87487 2.9830395),-82.87487,2.9830395
209,209,209,POINT (-82.87487 2.1030395),-82.87487,2.1030395
210,210,210,POINT (-83.80486999999999 2.1030395),-83.80487,2.1030395
211,211,211,POINT (-83.80486999999999 2.9830395),-83.80487,2.9830395
212,212,212,POINT (-83.80486999999999 2.1030395),-83.80487,2.1030395
213,213,213,POINT (-84.73487 2.1030395),-84.73487,2.1030395
214,214,214,POINT (-83.80486999999999 2.1030395),-83.80487,2.1030395
215,215,215,POINT (-84.73487 2.1030395),-84.73487,2.1030395
216,216,216,POINT (-84.73487 1.2230395),-84.73487,1.2230395
217,217,217,POINT (-85.66486999999999 1.2230395),-85.66487,1.2230395
218,218,218,POINT (-84.73487 1.2230395),-84.73487,1.2230395
219,219,219,POINT (-84.73487 2.1030395),-84.73487,2.1030395
220,220,220,POINT (-83.80486999999999 2.1030395),-83.80487,2.1030395
221,221,221,POINT (-82.87487 2.1030395),-82.87487,2.1030395
222,222,222,POINT (-83.80486999999999 2.1030395),-83.80487,2.1030395
223,223,223,POINT (-83.80486999999999 1.2230395),-83.80487,1.2230395
224,224,224,POINT (-82.87487 1.2230395),-82.87487,1.2230395
225,225,225,POINT (-82.87487 2.1030395),-82.87487,2.1030395
226,226,226,POINT (-81.94486999999999 2.1030395),-81.94487,2.1030395
227,227,227,POINT (-82.87487 2.1030395),-82.87487,2.1030395
228,228,228,POINT (-82.87487 1.2230395),-82.87487,1.2230395
229,229,229,POINT (-83.80486999999999 1.2230395),-83.80487,1.2230395
230,230,230,POINT (-83.80486999999999 2.1030395),-83.80487,2.1030395
231,231,231,POINT (-82.87487 2.1030395),-82.87487,2.1030395
232,232,232,POINT (-82.87487 1.2230395),-82.87487,1.2230395
233,233,233,POINT (-81.94486999999999 1.2230395),-81.94487,1.2230395
234,234,234,POINT (-81.94486999999999 2.1030395),-81.94487,2.1030395
235,235,235,POINT (-81.94486999999999 1.2230395),-81.94487,1.2230395
236,236,236,POINT (-81.94486999999999 2.1030395),-81.94487,2.1030395
237,237,237,POINT (-82.87487 2.1030395),-82.87487,2.1030395
238,238,238,POINT (-83.80486999999999 2.1030395),-83.80487,2.1030395
239,239,239,POINT (-82.87487 2.1030395),-82.87487,2.1030395
240,240,240,POINT (-81.94486999999999 2.1030395),-81.94487,2.1030395
241,241,241,POINT (-81.94486999999999 1.2230395),-81.94487,1.2230395
242,242,242,POINT (-82.87487 1.2230395),-82.87487,1.2230395
243,243,243,POINT (-83.80486999999999 1.2230395),-83.80487,1.2230395
244,244,244,POINT (-82.87487 1.2230395),-82.87487,1.2230395
245,245,245,POINT (-82.87487 2.1030395),-82.87487,2.1030395
246,246,246,POINT (-81.94486999999999 2.1030395),-81.94487,2.1030395
247,247,247,POINT (-82.87487 2.1030395),-82.87487,2.1030395
248,248,248,POINT (-81.94486999999999 2.1030395),-81.94487,2.1030395
249,249,249,POINT (-81.94486999999999 2.9830395),-81.94487,2.9830395
250,250,250,POINT (-81.94486999999999 3.8630395),-81.94487,3.8630395
251,251,251,POINT (-81.94486999999999 2.9830395),-81.94487,2.9830395
252,252,252,POINT (-81.01487 2.9830395),-81.01487,2.9830395
253,253,253,POINT (-81.01487 2.1030395),-81.01487,2.1030395
254,254,254,POINT (-81.01487 1.2230395),-81.01487,1.2230395
255,255,255,POINT (-80.08487 1.2230395),-80.08487,1.2230395
256,256,256,POINT (-80.08487 2.1030395),-80.08487,2.1030395
257,257,257,POINT (-81.01487 2.1030395),-81.01487,2.1030395
258,258,258,POINT (-81.94486999999999 2.1030395),-81.94487,2.1030395
259,259,259,POINT (-81.94486999999999 1.2230395),-81.94487,1.2230395
260,260,260,POINT (-82.87487 1.2230395),-82.87487,1.2230395
261,261,261,POINT (-83.80486999999999 1.2230395),-83.80487,1.2230395
262,262,262,POINT (-84.73487 1.2230395),-84.73487,1.2230395
263,263,263,POINT (-84.73487 0.3430395),-84.73487,0.3430395
264,264,264,POINT (-84.73487 1.2230395),-84.73487,1.2230395
265,265,265,POINT (-84.73487 0.3430395),-84.73487,0.3430395
266,266,266,POINT (-84.73487 -0.5369605),-84.73487,-0.5369605
267,267,267,POINT (-84.73487 0.3430395),-84.73487,0.3430395
268,268,268,POINT (-85.66486999999999 0.3430395),-85.66487,0.3430395
269,269,269,POINT (-84.73487 0.3430395),-84.73487,0.3430395
270,270,270,POINT (-84.73487 1.2230395),-84.73487,1.2230395
271,271,271,POINT (-83.80486999999999 1.2230395),-83.80487,1.2230395
272,272,272,POINT (-83.80486999999999 2.1030395),-83.80487,2.1030395
273,273,273,POINT (-82.87487 2.1030395),-82.87487,2.1030395
274,274,274,POINT (-83.80486999999999 2.1030395),-83.80487,2.1030395
275,275,275,POINT (-83.80486999999999 1.2230395),-83.80487,1.2230395
276,276,276,POINT (-83.80486999999999 0.3430395),-83.80487,0.3430395
277,277,277,POINT (-83.80486999999999 -0.5369605),-83.80487,-0.5369605
278,278,278,POINT (-83.80486999999999 -1.4169605),-83.80487,-1.4169605
279,279,279,POINT (-83.80486999999999 -0.5369605),-83.80487,-0.5369605
280,280,280,POINT (-82.87487 -0.5369605),-82.87487,-0.5369605
281,281,281,POINT (-81.94486999999999 -0.5369605),-81.94487,-0.5369605
282,282,282,POINT (-81.01487 -0.5369605),-81.01487,-0.5369605
283,283,283,POINT (-81.01487 -1.4169605),-81.01487,-1.4169605
284,284,284,POINT (-80.08487 -1.4169605),-80.08487,-1.4169605
285,285,285,POINT (-80.08487 -2.2969605),-80.08487,-2.2969605
286,286,286,POINT (-80.08487 -1.4169605),-80.08487,-1.4169605
287,287,287,POINT (-81.01487 -1.4169605),-81.01487,-1.4169605
288,288,288,POINT (-81.01487 -2.2969605),-81.01487,-2.2969605
289,289,289,POINT (-81.01487 -3.1769605),-81.01487,-3.1769605
290,290,290,POINT (-81.01487 -3.1769605),-81.01487,-3.1769605
291,291,291,POINT (-81.94486999999999 -3.1769605),-81.94487,-3.1769605
292,292,292,POINT (-81.01487 -3.1769605),-81.01487,-3.1769605
293,293,293,POINT (-81.01487 -2.2969605),-81.01487,-2.2969605
294,294,294,POINT (-80.08487 -2.2969605),-80.08487,-2.2969605
295,295,295,POINT (-79.15487 -2.2969605),-79.15487,-2.2969605
296,296,296,POINT (-79.15487 -1.4169605),-79.15487,-1.4169605
297,297,297,POINT (-79.15487 -2.2969605),-79.15487,-2.2969605
298,298,298,POINT (-78.22487 -2.2969605),-78.22487,-2.2969605
299,299,299,POINT (-78.22487 -3.1769605),-78.22487,-3.1769605
300,300,300,POINT (-78.22487 -3.1769605),-78.22487,-3.1769605
301,301,301,POINT (-77.29487 -3.1769605),-77.29487,-3.1769605
302,302,302,POINT (-77.29487 -3.1769605),-77.29487,-3.1769605
303,303,303,POINT (-78.22487 -3.1769605),-78.22487,-3.1769605
304,304,304,POINT (-79.15487 -3.1769605),-79.15487,-3.1769605
305,305,305,POINT (-78.22487 -3.1769605),-78.22487,-3.1769605
306,306,306,POINT (-78.22487 -2.2969605),-78.22487,-2.2969605
307,307,307,POINT (-77.29487 -2.2969605),-77.29487,-2.2969605
308,308,308,POINT (-77.29487 -2.2969605),-77.29487,-2.2969605
309,309,309,POINT (-78.22487 -2.2969605),-78.22487,-2.2969605
310,310,310,POINT (-79.15487 -2.2969605),-79.15487,-2.2969605
311,311,311,POINT (-79.15487 -3.1769605),-79.15487,-3.1769605
312,312,312,POINT (-79.15487 -2.2969605),-79.15487,-2.2969605
313,313,313,POINT (-80.08487 -2.2969605),-80.08487,-2.2969605
314,314,314,POINT (-81.01487 -2.2969605),-81.01487,-2.2969605
315,315,315,POINT (-81.01487 -3.1769605),-81.01487,-3.1769605
316,316,316,POINT (-81.94486999999999 -3.1769605),-81.94487,-3.1769605
317,317,317,POINT (-81.01487 -3.1769605),-81.01487,-3.1769605
318,318,318,POINT (-81.01487 -3.1769605),-81.01487,-3.1769605
319,319,319,POINT (-81.94486999999999 -3.1769605),-81.94487,-3.1769605
320,320,320,POINT (-81.94486999999999 -2.2969605),-81.94487,-2.2969605
321,321,321,POINT (-81.01487 -2.2969605),-81.01487,-2.2969605
322,322,322,POINT (-81.01487 -3.1769605),-81.01487,-3.1769605
323,323,323,POINT (-81.94486999999999 -3.1769605),-81.94487,-3.1769605
324,324,324,POINT (-81.94486999999999 -2.2969605),-81.94487,-2.2969605
325,325,325,POINT (-81.94486999999999 -3.1769605),-81.94487,-3.1769605
326,326,326,POINT (-81.94486999999999 -3.1769605),-81.94487,-3.1769605
327,327,327,POINT (-82.87487 -3.1769605),-82.87487,-3.1769605
328,328,328,POINT (-81.94486999999999 -3.1769605),-81.94487,-3.1769605
329,329,329,POINT (-81.94486999999999 -2.2969605),-81.94487,-2.2969605
330,330,330,POINT (-81.01487 -2.2969605),-81.01487,-2.2969605
331,331,331,POINT (-81.01487 -1.4169605),-81.01487,-1.4169605
332,332,332,POINT (-81.01487 -0.5369605),-81.01487,-0.5369605
333,333,333,POINT (-81.01487 0.3430395),-81.01487,0.3430395
334,334,334,POINT (-81.01487 1.2230395),-81.01487,1.2230395
335,335,335,POINT (-81.01487 0.3430395),-81.01487,0.3430395
336,336,336,POINT (-81.01487 1.2230395),-81.01487,1.2230395
337,337,337,POINT (-81.94486999999999 1.2230395),-81.94487,1.2230395
338,338,338,POINT (-82.87487 1.2230395),-82.87487,1.2230395
339,339,339,POINT (-82.87487 0.3430395),-82.87487,0.3430395
340,340,340,POINT (-81.94486999999999 0.3430395),-81.94487,0.3430395
341,341,341,POINT (-81.01487 0.3430395),-81.01487,0.3430395
342,342,342,POINT (-81.01487 1.2230395),-81.01487,1.2230395
343,343,343,POINT (-81.01487 2.1030395),-81.01487,2.1030395
344,344,344,POINT (-81.01487 1.2230395),-81.01487,1.2230395
345,345,345,POINT (-80.08487 1.2230395),-80.08487,1.2230395
346,346,346,POINT (-80.08487 2.1030395),-80.08487,2.1030395
347,347,347,POINT (-80.08487 2.9830395),-80.08487,2.9830395
348,348,348,POINT (-80.08487 2.1030395),-80.08487,2.1030395
349,349,349,POINT (-81.01487 2.1030395),-81.01487,2.1030395
350,350,350,POINT (-81.94486999999999 2.1030395),-81.94487,2.1030395
351,351,351,POINT (-81.01487 2.1030395),-81.01487,2.1030395
352,352,352,POINT (-81.01487 1.2230395),-81.01487,1.2230395
353,353,353,POINT (-81.01487 2.1030395),-81.01487,2.1030395
354,354,354,POINT (-81.01487 2.9830395),-81.01487,2.9830395
355,355,355,POINT (-81.01487 2.1030395),-81.01487,2.1030395
356,356,356,POINT (-81.94486999999999 2.1030395),-81.94487,2.1030395
357,357,357,POINT (-81.94486999999999 2.9830395),-81.94487,2.9830395
358,358,358,POINT (-81.01487 2.9830395),-81.01487,2.9830395
359,359,359,POINT (-81.94486999999999 2.9830395),-81.94487,2.9830395
360,360,360,POINT (-81.94486999999999 3.8630395),-81.94487,3.8630395
361,361,361,POINT (-82.87487 3.8630395),-82.87487,3.8630395
362,362,362,POINT (-81.94486999999999 3.8630395),-81.94487,3.8630395
363,363,363,POINT (-81.01487 3.8630395),-81.01487,3.8630395
364,364,364,POINT (-81.94486999999999 3.8630395),-81.94487,3.8630395
365,365,365,POINT (-81.94486999999999 4.7430395),-81.94487,4.7430395
366,366,366,POINT (-81.94486999999999 5.6230395),-81.94487,5.6230395
367,367,367,POINT (-82.87487 5.6230395),-82.87487,5.6230395
368,368,368,POINT (-82.87487 6.5030395),-82.87487,6.5030395
369,369,369,POINT (-83.80486999999999 6.5030395),-83.80487,6.5030395
370,370,370,POINT (-83.80486999999999 5.6230395),-83.80487,5.6230395
371,371,371,POINT (-84.73487 5.6230395),-84.73487,5.6230395
372,372,372,POINT (-84.73487 4.7430395),-84.73487,4.7430395
373,373,373,POINT (-85.66486999999999 4.7430395),-85.66487,4.7430395
374,374,374,POINT (-86.59487 4.7430395),-86.59487,4.7430395
375,375,375,POINT (-86.59487 5.6230395),-86.59487,5.6230395
376,376,376,POINT (-87.52487000000001 5.6230395),-87.52487,5.6230395
377,377,377,POINT (-87.52487000000001 4.7430395),-87.52487,4.7430395
378,378,378,POINT (-87.52487000000001 3.8630395),-87.52487,3.8630395
379,379,379,POINT (-86.59487 3.8630395),-86.59487,3.8630395
380,380,380,POINT (-85.66486999999999 3.8630395),-85.66487,3.8630395
381,381,381,POINT (-85.66486999999999 4.7430395),-85.66487,4.7430395
382,382,382,POINT (-85.66486999999999 3.8630395),-85.66487,3.8630395
383,383,383,POINT (-84.73487 3.8630395),-84.73487,3.8630395
384,384,384,POINT (-83.80486999999999 3.8630395),-83.80487,3.8630395
385,385,385,POINT (-84.73487 3.8630395),-84.73487,3.8630395
386,386,386,POINT (-85.66486999999999 3.8630395),-85.66487,3.8630395
387,387,387,POINT (-85.66486999999999 2.9830395),-85.66487,2.9830395
388,388,388,POINT (-85.66486999999999 3.8630395),-85.66487,3.8630395
