,Time,Latitude,Longitude
84,21,10.25,-89.79331184
85,21.25,10.25,-89.89310265
86,21.5,11.25,-89.99289346
87,21.75,11.25,-90.09268428
88,22,11.25,-90.19247509
89,22.25,11.25,-90.2922659
90,22.5,11.25,-90.39205671
91,22.75,11.25,-90.49184753
92,23,11.25,-90.59163834
93,23.25,11.25,-90.69142915
94,23.5,11.25,-90.79121996
95,23.75,11.25,-90.89101077
96,24,11.25,-90.99080159
97,24.25,11.23531751,-91.03199682
98,24.5,11.21113664,-91.03528542
99,24.75,11.18695577,-91.03857402
100,25,11.16277489,-91.04186261
101,25.25,11.13859402,-91.04515121
102,25.5,11.11441315,-91.04843981
103,25.75,11.09023227,-91.05172841
104,26,11.0660514,-91.05501701
105,26.25,11.04187052,-91.05830561
106,26.5,11.01768965,-91.06159421
107,26.75,10.99350878,-91.06488281
108,27,10.9693279,-91.06817141
109,27.25,10.94514703,-91.07146
110,27.5,10.92096616,-91.0747486
111,27.75,10.89678528,-91.0780372
112,28,10.87260441,-91.0813258
113,28.25,10.84842353,-91.0846144
114,28.5,10.82424266,-91.087903
115,28.75,10.80006179,-91.0911916
116,29,10.77588091,-91.0944802
117,29.25,10.75170004,-91.09776879
118,29.5,10.72751916,-91.10105739
119,29.75,10.70333829,-91.10434599
120,30,10.67915742,-91.10763459
121,30.25,10.65497654,-91.11092319
122,30.5,10.63079567,-91.11421179
123,30.75,10.6066148,-91.11750039
124,31,10.58243392,-91.12078899
125,31.25,10.55825305,-91.12407759
126,31.5,10.53407217,-91.12736618
127,31.75,10.5098913,-91.13065478
128,32,10.48571043,-91.13394338
129,32.25,10.46152955,-91.13723198
130,32.5,11.43734868,-91.14052058
131,32.75,11.41316781,-91.14380918
132,33,11.38898693,-91.14709778
133,33.25,11.36480606,-91.15038638
134,33.5,11.34062518,-91.15367498
135,33.75,11.31644431,-91.15696357
136,34,11.29226344,-91.16025217
137,34.25,11.26808256,-91.16354077
138,34.5,10.24390169,-90.16682937
139,34.75,9.219720815,-91.17011797
140,35,9.195539941,-91.17340657
141,35.25,9.171359067,-91.17669517
142,35.5,9.147178193,-91.17998377
143,35.75,9.122997319,-91.18327236
144,36,9.098816446,-91.18656096
145,36.25,10.07463557,-91.18984956
146,36.5,10.0504547,-91.19313816
147,36.75,10.02627382,-91.19642676
148,37,10.00209295,-91.19971536
149,37.25,10,-91.10860031
150,37.5,10,-91.00854
151,37.75,10,-90.90847969
152,38,10,-90.80841938
153,38.25,10,-90.70835907
154,38.5,10,-90.60829876
155,38.75,10,-90.50823845
156,39,10,-90.40817814
157,39.25,10,-90.30811784
158,39.5,10,-90.20805753
159,39.75,10,-90.10799722
160,40,10,-90.00793691
161,40.25,10,-89.9078766
162,40.5,10,-89.80781629
163,40.75,10,-89.70775598
164,41,10,-89.60769567
165,41.25,10,-89.50763536
166,41.5,10,-89.40757506
167,41.75,10,-89.30751475
168,42,10,-89.20745444
169,42.25,10,-89.10739413
170,42.5,10,-89.00733382
171,42.75,10,-88.90727351
172,43,10,-88.8072132
173,43.25,10,-88.70715289
174,43.5,10,-88.60709258
175,43.75,10,-88.50703228
176,44,10,-88.40697197
177,44.25,10,-88.30691166
178,44.5,10,-88.20685135
179,44.75,10,-88.10679104
180,45,10,-88.00673073
181,45.25,10,-87.90667042
182,45.5,10,-87.80661011
183,45.75,10,-87.7065498
184,46,10,-87.60648949
185,46.25,10,-87.50642919
186,46.5,10,-87.40636888
187,46.75,10,-87.30630857
188,47,10,-87.20624826
189,47.25,10,-87.10618795
190,47.5,10,-87.00612764
191,47.75,10,-86.90606733
192,48,10,-86.80600702
193,48.25,10,-86.70594671
194,48.5,10.98253367,-86.66358165
195,48.75,10.95895249,-86.64141534
196,49,10.93537131,-86.61924904
197,49.25,10.91179013,-86.59708273
198,49.5,10.88820896,-86.57491642
199,49.75,10.86462778,-86.55275011
200,50,10.8410466,-86.5305838
201,50.25,10.81746542,-86.50841749
202,50.5,9.793884236,-85.48625118
203,50.75,8.770303057,-86.46408487
204,51,8.746721877,-86.44191856
205,51.25,8.723140697,-86.41975226
206,51.5,8.699559518,-86.39758595
207,51.75,8.675978338,-86.37541964
208,52,8.652397158,-86.35325333
209,52.25,9.628815978,-86.33108702
210,52.5,9.605234799,-86.30892071
211,52.75,9.581653619,-86.2867544
212,53,9.558072439,-86.26458809
213,53.25,9.53449126,-86.24242178
214,53.5,9.51091008,-86.22025548
215,53.75,9.4873289,-86.19808917
216,54,9.463747721,-86.17592286
217,54.25,9.440166541,-86.15375655
218,54.5,9.416585361,-86.13159024
219,54.75,9.393004181,-86.10942393
220,55,9.369423002,-86.08725762
221,55.25,9.345841822,-86.06509131
222,55.5,9.322260642,-86.042925
223,55.75,9.298679463,-86.02075869
224,56,9.275098283,-85.99859239
225,56.25,9.251517103,-85.97642608
226,56.5,9.227935924,-85.95425977
227,56.75,9.204354744,-85.93209346
228,57,9.180773564,-85.90992715
229,57.25,9.157192384,-85.88776084
230,57.5,9.133611205,-85.86559453
231,57.75,9.110030025,-85.84342822
232,58,9.086448845,-85.82126191
233,58.25,9.062867666,-85.79909561
234,58.5,9.039286486,-85.7769293
235,58.75,9.015705306,-85.75476299
236,59,9,-85.77337592
237,59.25,9,-85.87330689
238,59.5,9,-85.97323786
239,59.75,9,-86.07316883
240,60,9,-86.1730998
241,60.25,9,-86.27303076
242,60.5,9,-86.37296173
243,60.75,9,-86.4728927
244,61,9,-86.57282367
245,61.25,9,-86.67275463
246,61.5,9,-86.7726856
247,61.75,9,-86.87261657
248,62,9,-86.97254754
249,62.25,9,-87.0724785
250,62.5,9,-87.17240947
251,62.75,9,-87.27234044
252,63,9,-87.37227141
253,63.25,9,-87.47220238
254,63.5,9,-87.57213334
255,63.75,9,-87.67206431
256,64,10,-87.77199528
257,64.25,10,-87.87192625
258,64.5,10,-87.97185721
259,64.75,10,-88.07178818
260,65,10,-88.17171915
261,65.25,10,-88.27165012
262,65.5,10,-88.37158109
263,65.75,10,-88.47151205
264,66,9,-87.57144302
265,66.25,8,-88.67137399
266,66.5,8,-88.77130496
267,66.75,8,-88.87123592
268,67,8,-88.97116689
269,67.25,8,-89.07109786
270,67.5,8,-89.17102883
271,67.75,9,-89.2709598
272,68,9,-89.37089076
273,68.25,9,-89.47082173
274,68.5,9,-89.5707527
275,68.75,9,-89.67068367
276,69,9,-89.77061463
277,69.25,9,-89.8705456
278,69.5,9,-89.97047657
279,69.75,9,-90.07040754
280,70,9,-90.17033851
281,70.25,9,-90.27026947
282,70.5,9,-90.37020044
283,70.75,9,-90.47013141
284,71,9,-90.57006238
285,71.25,9,-90.66999334
286,71.5,8.983109533,-90.69527067
287,71.75,8.958970852,-90.68851184
288,72,8.934832171,-90.68175301
