Time,Latitude,Longitude
27.25,8.837898206,-87.60401888
27.5,8.810363109,-87.56939039
27.75,8.782828012,-87.53476191
28,8.755292915,-87.50013342
28.25,8.727757818,-87.46550494
28.5,8.700222721,-87.43087645
28.75,8.672687624,-87.39624797
29,8.645152527,-87.36161948
29.25,8.61761743,-87.32699099
29.5,8.590082333,-87.29236251
29.75,8.562547236,-87.25773402
30,8.535012138,-87.22310554
30.25,8.507477041,-87.18847705
30.5,8.479941944,-87.15384857
30.75,8.452406847,-87.11922008
31,8.42487175,-87.08459159
31.25,8.397336653,-87.04996311
31.5,8.369801556,-87.01533462
31.75,8.342266459,-86.98070614
32,8.314731362,-86.94607765
32.25,8.287196265,-86.91144916
32.5,8.259661168,-86.87682068
32.75,8.232126071,-86.84219219
33,8.204590974,-86.80756371
33.25,8.177055877,-86.77293522
33.5,8.149520779,-86.73830674
33.75,8.121985682,-86.70367825
34,8.094450585,-86.66904976
34.25,8.066915488,-86.63442128
34.5,8.039380391,-86.59979279
34.75,8.011845294,-86.56516431
35,7.984310197,-86.53053582
35.25,7.9567751,-86.49590734
35.5,7.929240003,-86.46127885
35.75,7.901704906,-86.42665036
36,7.874169809,-86.39202188
36.25,7.846634712,-86.35739339
36.5,7.819099615,-86.32276491
36.75,7.791564518,-86.28813642
37,7.764029421,-86.25350794
37.25,7.736494323,-86.21887945
37.5,7.708959226,-86.18425096
37.75,7.681424129,-86.14962248
38,7.653889032,-86.11499399
38.25,7.626353935,-86.08036551
38.5,7.598818838,-86.04573702
38.75,7.571283741,-86.01110854
39,7.543748644,-85.97648005
39.25,7.516213547,-85.94185156
39.5,7.48867845,-85.90722308
39.75,7.461143353,-85.87259459
40,7.433608256,-85.83796611
40.25,7.406073159,-85.80333762
40.5,7.378538062,-85.76870914
40.75,7.351002964,-85.73408065
41,7.323467867,-85.69945216
41.25,7.29593277,-85.66482368
41.5,7.268397673,-85.63019519
41.75,7.240862576,-85.59556671
42,7.213327479,-85.56093822
42.25,7.185792382,-85.52630973
42.5,7.158257285,-85.49168125
42.75,7.130722188,-85.45705276
43,7.103187091,-85.42242428
43.25,7.075651994,-85.38779579
43.5,7.048116897,-85.35316731
43.75,7.0205818,-85.31853882
44,6.993046703,-85.28391033
44.25,6.965511605,-85.24928185
44.5,6.937976508,-85.21465336
44.75,6.910441411,-85.18002488
45,6.882906314,-85.14539639
45.25,6.855371217,-85.11076791
45.5,6.82783612,-85.07613942
45.75,6.800301023,-85.04151093
46,6.772765926,-85.00688245
46.25,6.745230829,-84.97225396
46.5,6.717695732,-84.93762548
46.75,6.690160635,-84.90299699
47,6.662625538,-84.86836851
47.25,6.635090441,-84.83374002
47.5,6.607555344,-84.79911153
47.75,6.580020247,-84.76448305
48,6.552485149,-84.72985456
48.25,6.524950052,-84.69522608
48.5,6.497414955,-84.66059759
48.75,6.469879858,-84.62596911
49,6.442344761,-84.59134062
49.25,6.414809664,-84.55671213
49.5,6.387274567,-84.52208365
49.75,6.35973947,-84.48745516
50,6.332204373,-84.45282668
50.25,6.304669276,-84.41819819
50.5,6.277134179,-84.38356971
50.75,6.249599082,-84.34894122
51,6.222063985,-84.31431273
51.25,6.194528888,-84.27968425
51.5,6.16699379,-84.24505576
51.75,6.139458693,-84.21042728
52,6.111923596,-84.17579879
52.25,6.084388499,-84.1411703
52.5,6.056853402,-84.10654182
52.75,6.029318305,-84.07191333
53,6.001783208,-84.03728485
53.25,5.974248111,-84.00265636
53.5,5.946713014,-83.96802788
53.75,5.919177917,-83.93339939
54,5.89164282,-83.8987709
54.25,5.864107723,-83.86414242
54.5,5.836572626,-83.82951393
54.75,5.809037529,-83.79488545
55,5.781502432,-83.76025696
55.25,5.753967334,-83.72562848
55.5,5.726432237,-83.69099999
55.75,5.69889714,-83.6563715
56,5.671362043,-83.62174302
56.25,5.643826946,-83.58711453
56.5,5.616291849,-83.55248605
56.75,5.588756752,-83.51785756
57,5.561221655,-83.48322908
57.25,5.533686558,-83.44860059
57.5,5.506151461,-83.4139721
57.75,5.478616364,-83.37934362
58,5.451081267,-83.34471513
58.25,5.42354617,-83.31008665
58.5,5.396011073,-83.27545816
58.75,5.368475975,-83.24082968
59,5.340940878,-83.20620119
59.25,5.313405781,-83.1715727
59.5,5.285870684,-83.13694422
59.75,5.258335587,-83.10231573
60,5.23080049,-83.06768725
60.25,5.203265393,-83.03305876
60.5,5.175730296,-82.99843028
60.75,5.148195199,-82.96380179
61,5.120660102,-82.9291733
61.25,5.093125005,-82.89454482
61.5,5.065589908,-82.85991633
61.75,5.038054811,-82.82528785
62,5.010519714,-82.79065936
62.25,4.982984617,-82.75603087
62.5,4.955449519,-82.72140239
62.75,4.927914422,-82.6867739
63,4.900379325,-82.65214542
63.25,4.872844228,-82.61751693
63.5,4.845309131,-82.58288845
63.75,4.817774034,-82.54825996
64,4.790238937,-82.51363147
64.25,4.76270384,-82.47900299
64.5,4.735168743,-82.4443745
64.75,4.707633646,-82.40974602
65,4.680098549,-82.37511753
65.25,4.652563452,-82.34048905
65.5,4.625028355,-82.30586056
65.75,4.597493258,-82.27123207
66,4.56995816,-82.23660359
66.25,4.542423063,-82.2019751
66.5,4.514887966,-82.16734662
66.75,4.487352869,-82.13271813
67,4.459817772,-82.09808965
67.25,4.432282675,-82.06346116
67.5,4.404747578,-82.02883267
67.75,4.377212481,-81.99420419
68,4.349677384,-81.9595757
68.25,4.322142287,-81.92494722
68.5,4.29460719,-81.89031873
68.75,4.267072093,-81.85569025
69,4.239536996,-81.82106176
69.25,4.212001899,-81.78643327
69.5,4.184466802,-81.75180479
69.75,4.156931704,-81.7171763
70,4.129396607,-81.68254782
70.25,4.10186151,-81.64791933
70.5,4.074326413,-81.61329085
70.75,4.046791316,-81.57866236
71,4.019256219,-81.54403387
71.25,3.991721122,-81.50940539
71.5,3.964186025,-81.4747769
71.75,3.936650928,-81.44014842
72,3.909115831,-81.40551993
