,time,crumb_id,geometry,Longitude,Latitude,Iteration,rank
106,106,106,POINT (-90.72 2.15),-90.72,2.15,track_0,0
107,107,107,POINT (-90.72 2.97),-90.72,2.97,track_0,0
108,108,108,POINT (-91.59999999999999 2.97),-91.6,2.97,track_0,0
109,109,109,POINT (-91.59999999999999 3.79),-91.6,3.79,track_0,0
110,110,110,POINT (-91.59999999999999 4.61),-91.6,4.61,track_0,0
111,111,111,POINT (-91.59999999999999 3.79),-91.6,3.79,track_0,0
112,112,112,POINT (-92.48 3.79),-92.48,3.79,track_0,0
113,113,113,POINT (-92.48 4.61),-92.48,4.61,track_0,0
114,114,114,POINT (-92.48 3.79),-92.48,3.79,track_0,0
115,115,115,POINT (-92.48 2.97),-92.48,2.97,track_0,0
116,116,116,POINT (-92.48 2.15),-92.48,2.15,track_0,0
117,117,117,POINT (-92.48 1.33),-92.48,1.33,track_0,0
118,118,118,POINT (-92.48 2.15),-92.48,2.15,track_0,0
119,119,119,POINT (-92.48 1.33),-92.48,1.33,track_0,0
120,120,120,POINT (-92.48 0.51),-92.48,0.51,track_0,0
121,121,121,POINT (-91.59999999999999 0.51),-91.6,0.51,track_0,0
122,122,122,POINT (-90.72 0.51),-90.72,0.51,track_0,0
123,123,123,POINT (-90.72 1.33),-90.72,1.33,track_0,0
124,124,124,POINT (-91.59999999999999 1.33),-91.6,1.33,track_0,0
125,125,125,POINT (-92.48 1.33),-92.48,1.33,track_0,0
126,126,126,POINT (-91.59999999999999 1.33),-91.6,1.33,track_0,0
127,127,127,POINT (-91.59999999999999 2.15),-91.6,2.15,track_0,0
128,128,128,POINT (-91.59999999999999 1.33),-91.6,1.33,track_0,0
129,129,129,POINT (-90.72 1.33),-90.72,1.33,track_0,0
130,130,130,POINT (-90.72 0.51),-90.72,0.51,track_0,0
131,131,131,POINT (-90.72 1.33),-90.72,1.33,track_0,0
132,132,132,POINT (-90.72 2.15),-90.72,2.15,track_0,0
133,133,133,POINT (-90.72 1.33),-90.72,1.33,track_0,0
134,134,134,POINT (-89.84 1.33),-89.84,1.33,track_0,0
135,135,135,POINT (-88.95999999999999 1.33),-88.96,1.33,track_0,0
136,136,136,POINT (-88.95999999999999 0.51),-88.96,0.51,track_0,0
137,137,137,POINT (-89.84 0.51),-89.84,0.51,track_0,0
138,138,138,POINT (-89.84 -0.31),-89.84,-0.31,track_0,0
139,139,139,POINT (-89.84 -1.13),-89.84,-1.13,track_0,0
140,140,140,POINT (-90.72 -1.13),-90.72,-1.13,track_0,0
141,141,141,POINT (-90.72 -1.95),-90.72,-1.95,track_0,0
142,142,142,POINT (-89.84 -1.95),-89.84,-1.95,track_0,0
143,143,143,POINT (-88.95999999999999 -1.95),-88.96,-1.95,track_0,0
144,144,144,POINT (-88.08 -1.95),-88.08,-1.95,track_0,0
145,145,145,POINT (-88.08 -2.77),-88.08,-2.77,track_0,0
146,146,146,POINT (-88.08 -1.95),-88.08,-1.95,track_0,0
147,147,147,POINT (-87.2 -1.95),-87.2,-1.95,track_0,0
148,148,148,POINT (-87.2 -1.13),-87.2,-1.13,track_0,0
149,149,149,POINT (-88.08 -1.13),-88.08,-1.13,track_0,0
150,150,150,POINT (-88.08 -0.31),-88.08,-0.31,track_0,0
151,151,151,POINT (-87.2 -0.31),-87.2,-0.31,track_0,0
152,152,152,POINT (-88.08 -0.31),-88.08,-0.31,track_0,0
153,153,153,POINT (-88.95999999999999 -0.31),-88.96,-0.31,track_0,0
154,154,154,POINT (-89.84 -0.31),-89.84,-0.31,track_0,0
155,155,155,POINT (-89.84 0.51),-89.84,0.51,track_0,0
156,156,156,POINT (-89.84 1.33),-89.84,1.33,track_0,0
157,157,157,POINT (-89.84 0.51),-89.84,0.51,track_0,0
158,158,158,POINT (-89.84 -0.31),-89.84,-0.31,track_0,0
159,159,159,POINT (-90.72 -0.31),-90.72,-0.31,track_0,0
160,160,160,POINT (-91.59999999999999 -0.31),-91.6,-0.31,track_0,0
161,161,161,POINT (-91.59999999999999 -1.13),-91.6,-1.13,track_0,0
162,162,162,POINT (-91.59999999999999 -0.31),-91.6,-0.31,track_0,0
163,163,163,POINT (-91.59999999999999 -1.13),-91.6,-1.13,track_0,0
164,164,164,POINT (-92.48 -1.13),-92.48,-1.13,track_0,0
165,165,165,POINT (-91.59999999999999 -1.13),-91.6,-1.13,track_0,0
166,166,166,POINT (-92.48 -1.13),-92.48,-1.13,track_0,0
167,167,167,POINT (-92.48 -0.31),-92.48,-0.31,track_0,0
168,168,168,POINT (-92.48 0.51),-92.48,0.51,track_0,0
169,169,169,POINT (-92.48 -0.31),-92.48,-0.31,track_0,0
170,170,170,POINT (-92.48 0.51),-92.48,0.51,track_0,0
171,171,171,POINT (-92.48 1.33),-92.48,1.33,track_0,0
172,172,172,POINT (-92.48 0.51),-92.48,0.51,track_0,0
173,173,173,POINT (-93.36 0.51),-93.36,0.51,track_0,0
174,174,174,POINT (-93.36 -0.31),-93.36,-0.31,track_0,0
175,175,175,POINT (-94.23999999999999 -0.31),-94.24,-0.31,track_0,0
176,176,176,POINT (-93.36 -0.31),-93.36,-0.31,track_0,0
177,177,177,POINT (-94.23999999999999 -0.31),-94.24,-0.31,track_0,0
178,178,178,POINT (-94.23999999999999 0.51),-94.24,0.51,track_0,0
179,179,179,POINT (-94.23999999999999 -0.31),-94.24,-0.31,track_0,0
180,180,180,POINT (-94.23999999999999 -1.13),-94.24,-1.13,track_0,0
181,181,181,POINT (-94.23999999999999 -1.95),-94.24,-1.95,track_0,0
182,182,182,POINT (-94.23999999999999 -1.13),-94.24,-1.13,track_0,0
183,183,183,POINT (-94.23999999999999 -0.31),-94.24,-0.31,track_0,0
184,184,184,POINT (-95.12 -0.31),-95.12,-0.31,track_0,0
185,185,185,POINT (-95.12 -1.13),-95.12,-1.13,track_0,0
186,186,186,POINT (-94.23999999999999 -1.13),-94.24,-1.13,track_0,0
187,187,187,POINT (-95.12 -1.13),-95.12,-1.13,track_0,0
188,188,188,POINT (-95.12 -1.95),-95.12,-1.95,track_0,0
189,189,189,POINT (-95.12 -1.13),-95.12,-1.13,track_0,0
190,190,190,POINT (-94.23999999999999 -1.13),-94.24,-1.13,track_0,0
191,191,191,POINT (-94.23999999999999 -0.31),-94.24,-0.31,track_0,0
192,192,192,POINT (-94.23999999999999 0.51),-94.24,0.51,track_0,0
193,193,193,POINT (-93.36 0.51),-93.36,0.51,track_0,0
194,194,194,POINT (-92.48 0.51),-92.48,0.51,track_0,0
195,195,195,POINT (-92.48 1.33),-92.48,1.33,track_0,0
196,196,196,POINT (-93.36 1.33),-93.36,1.33,track_0,0
197,197,197,POINT (-93.36 0.51),-93.36,0.51,track_0,0
198,198,198,POINT (-93.36 -0.31),-93.36,-0.31,track_0,0
199,199,199,POINT (-92.48 -0.31),-92.48,-0.31,track_0,0
200,200,200,POINT (-93.36 -0.31),-93.36,-0.31,track_0,0
201,201,201,POINT (-93.36 0.51),-93.36,0.51,track_0,0
202,202,202,POINT (-92.48 0.51),-92.48,0.51,track_0,0
203,203,203,POINT (-92.48 -0.31),-92.48,-0.31,track_0,0
204,204,204,POINT (-91.59999999999999 -0.31),-91.6,-0.31,track_0,0
205,205,205,POINT (-90.72 -0.31),-90.72,-0.31,track_0,0
206,206,206,POINT (-90.72 -1.13),-90.72,-1.13,track_0,0
207,207,207,POINT (-90.72 -1.95),-90.72,-1.95,track_0,0
208,208,208,POINT (-90.72 -2.77),-90.72,-2.77,track_0,0
209,209,209,POINT (-91.59999999999999 -2.77),-91.6,-2.77,track_0,0
210,210,210,POINT (-90.72 -2.77),-90.72,-2.77,track_0,0
211,211,211,POINT (-89.84 -2.77),-89.84,-2.77,track_0,0
212,212,212,POINT (-89.84 -2.77),-89.84,-2.77,track_0,0
213,213,213,POINT (-89.84 -2.77),-89.84,-2.77,track_0,0
214,214,214,POINT (-90.72 -2.77),-90.72,-2.77,track_0,0
215,215,215,POINT (-90.72 -1.95),-90.72,-1.95,track_0,0
216,216,216,POINT (-90.72 -2.77),-90.72,-2.77,track_0,0
217,217,217,POINT (-91.59999999999999 -2.77),-91.6,-2.77,track_0,0
218,218,218,POINT (-91.59999999999999 -1.95),-91.6,-1.95,track_0,0
219,219,219,POINT (-92.48 -1.95),-92.48,-1.95,track_0,0
220,220,220,POINT (-92.48 -1.13),-92.48,-1.13,track_0,0
221,221,221,POINT (-92.48 -0.31),-92.48,-0.31,track_0,0
222,222,222,POINT (-92.48 -1.13),-92.48,-1.13,track_0,0
223,223,223,POINT (-92.48 -1.95),-92.48,-1.95,track_0,0
224,224,224,POINT (-93.36 -1.95),-93.36,-1.95,track_0,0
225,225,225,POINT (-93.36 -1.13),-93.36,-1.13,track_0,0
226,226,226,POINT (-93.36 -1.95),-93.36,-1.95,track_0,0
227,227,227,POINT (-93.36 -1.13),-93.36,-1.13,track_0,0
228,228,228,POINT (-93.36 -0.31),-93.36,-0.31,track_0,0
229,229,229,POINT (-94.23999999999999 -0.31),-94.24,-0.31,track_0,0
230,230,230,POINT (-94.23999999999999 0.51),-94.24,0.51,track_0,0
231,231,231,POINT (-95.12 0.51),-95.12,0.51,track_0,0
232,232,232,POINT (-95.12 1.33),-95.12,1.33,track_0,0
233,233,233,POINT (-96 1.33),-96.0,1.33,track_0,0
234,234,234,POINT (-95.12 1.33),-95.12,1.33,track_0,0
235,235,235,POINT (-94.23999999999999 1.33),-94.24,1.33,track_0,0
236,236,236,POINT (-93.36 1.33),-93.36,1.33,track_0,0
237,237,237,POINT (-94.23999999999999 1.33),-94.24,1.33,track_0,0
238,238,238,POINT (-93.36 1.33),-93.36,1.33,track_0,0
239,239,239,POINT (-93.36 2.15),-93.36,2.15,track_0,0
240,240,240,POINT (-93.36 2.97),-93.36,2.97,track_0,0
241,241,241,POINT (-94.23999999999999 2.97),-94.24,2.97,track_0,0
242,242,242,POINT (-95.12 2.97),-95.12,2.97,track_0,0
243,243,243,POINT (-95.12 3.79),-95.12,3.79,track_0,0
244,244,244,POINT (-94.23999999999999 3.79),-94.24,3.79,track_0,0
245,245,245,POINT (-94.23999999999999 4.61),-94.24,4.61,track_0,0
246,246,246,POINT (-95.12 4.61),-95.12,4.61,track_0,0
247,247,247,POINT (-96 4.61),-96.0,4.61,track_0,0
248,248,248,POINT (-96.88 4.61),-96.88,4.61,track_0,0
249,249,249,POINT (-96.88 5.43),-96.88,5.43,track_0,0
250,250,250,POINT (-96.88 4.61),-96.88,4.61,track_0,0
251,251,251,POINT (-96.88 3.79),-96.88,3.79,track_0,0
252,252,252,POINT (-96.88 2.97),-96.88,2.97,track_0,0
253,253,253,POINT (-96.88 2.15),-96.88,2.15,track_0,0
254,254,254,POINT (-97.76000000000001 2.15),-97.76,2.15,track_0,0
0,0,0,POINT (-81.04000000000001 -2.77),-81.04,-2.77,track_400,400
1,1,1,POINT (-81.04000000000001 -1.95),-81.04,-1.95,track_400,400
2,2,2,POINT (-81.92 -1.95),-81.92,-1.95,track_400,400
3,3,3,POINT (-82.8 -1.95),-82.8,-1.95,track_400,400
4,4,4,POINT (-83.68000000000001 -1.95),-83.68,-1.95,track_400,400
5,5,5,POINT (-84.56 -1.95),-84.56,-1.95,track_400,400
6,6,6,POINT (-84.56 -1.13),-84.56,-1.13,track_400,400
7,7,7,POINT (-85.44 -1.13),-85.44,-1.13,track_400,400
8,8,8,POINT (-85.44 -0.31),-85.44,-0.31,track_400,400
9,9,9,POINT (-86.31999999999999 -0.31),-86.32,-0.31,track_400,400
10,10,10,POINT (-85.44 -0.31),-85.44,-0.31,track_400,400
11,11,11,POINT (-86.31999999999999 -0.31),-86.32,-0.31,track_400,400
12,12,12,POINT (-87.2 -0.31),-87.2,-0.31,track_400,400
13,13,13,POINT (-87.2 -1.13),-87.2,-1.13,track_400,400
14,14,14,POINT (-87.2 -0.31),-87.2,-0.31,track_400,400
15,15,15,POINT (-87.2 0.51),-87.2,0.51,track_400,400
16,16,16,POINT (-87.2 1.33),-87.2,1.33,track_400,400
17,17,17,POINT (-88.08 1.33),-88.08,1.33,track_400,400
18,18,18,POINT (-88.95999999999999 1.33),-88.96,1.33,track_400,400
19,19,19,POINT (-88.95999999999999 2.15),-88.96,2.15,track_400,400
20,20,20,POINT (-88.95999999999999 2.97),-88.96,2.97,track_400,400
21,21,21,POINT (-89.84 2.97),-89.84,2.97,track_400,400
22,22,22,POINT (-90.72 2.97),-90.72,2.97,track_400,400
23,23,23,POINT (-90.72 3.79),-90.72,3.79,track_400,400
24,24,24,POINT (-91.59999999999999 3.79),-91.6,3.79,track_400,400
25,25,25,POINT (-91.59999999999999 4.61),-91.6,4.61,track_400,400
26,26,26,POINT (-91.59999999999999 5.43),-91.6,5.43,track_400,400
27,27,27,POINT (-92.48 5.43),-92.48,5.43,track_400,400
28,28,28,POINT (-93.36 5.43),-93.36,5.43,track_400,400
29,29,29,POINT (-93.36 6.25),-93.36,6.25,track_400,400
30,30,30,POINT (-94.23999999999999 6.25),-94.24,6.25,track_400,400
31,31,31,POINT (-94.23999999999999 7.07),-94.24,7.07,track_400,400
32,32,32,POINT (-94.23999999999999 7.89),-94.24,7.89,track_400,400
33,33,33,POINT (-93.36 7.89),-93.36,7.89,track_400,400
34,34,34,POINT (-93.36 8.710000000000001),-93.36,8.71,track_400,400
35,35,35,POINT (-93.36 9.529999999999999),-93.36,9.53,track_400,400
36,36,36,POINT (-93.36 10.35),-93.36,10.35,track_400,400
37,37,37,POINT (-93.36 11.17),-93.36,11.17,track_400,400
38,38,38,POINT (-93.36 11.99),-93.36,11.99,track_400,400
39,39,39,POINT (-93.36 12.81),-93.36,12.81,track_400,400
40,40,40,POINT (-93.36 13.63),-93.36,13.63,track_400,400
41,41,41,POINT (-94.23999999999999 13.63),-94.24,13.63,track_400,400
42,42,42,POINT (-95.12 13.63),-95.12,13.63,track_400,400
43,43,43,POINT (-95.12 14.45),-95.12,14.45,track_400,400
44,44,44,POINT (-95.12 15.27),-95.12,15.27,track_400,400
45,45,45,POINT (-96 15.27),-96.0,15.27,track_400,400
46,46,46,POINT (-95.12 15.27),-95.12,15.27,track_400,400
47,47,47,POINT (-95.12 16.09),-95.12,16.09,track_400,400
0,0,0,POINT (-81.04000000000001 -2.77),-81.04,-2.77,track_800,800
1,1,1,POINT (-81.04000000000001 -1.95),-81.04,-1.95,track_800,800
2,2,2,POINT (-81.92 -1.95),-81.92,-1.95,track_800,800
3,3,3,POINT (-82.8 -1.95),-82.8,-1.95,track_800,800
4,4,4,POINT (-83.68000000000001 -1.95),-83.68,-1.95,track_800,800
5,5,5,POINT (-84.56 -1.95),-84.56,-1.95,track_800,800
6,6,6,POINT (-84.56 -1.13),-84.56,-1.13,track_800,800
7,7,7,POINT (-85.44 -1.13),-85.44,-1.13,track_800,800
8,8,8,POINT (-85.44 -0.31),-85.44,-0.31,track_800,800
9,9,9,POINT (-86.31999999999999 -0.31),-86.32,-0.31,track_800,800
10,10,10,POINT (-87.2 -0.31),-87.2,-0.31,track_800,800
11,11,11,POINT (-87.2 0.51),-87.2,0.51,track_800,800
12,12,12,POINT (-87.2 1.33),-87.2,1.33,track_800,800
13,13,13,POINT (-86.31999999999999 1.33),-86.32,1.33,track_800,800
14,14,14,POINT (-87.2 1.33),-87.2,1.33,track_800,800
15,15,15,POINT (-88.08 1.33),-88.08,1.33,track_800,800
16,16,16,POINT (-88.95999999999999 1.33),-88.96,1.33,track_800,800
17,17,17,POINT (-88.95999999999999 2.15),-88.96,2.15,track_800,800
18,18,18,POINT (-88.95999999999999 2.97),-88.96,2.97,track_800,800
19,19,19,POINT (-89.84 2.97),-89.84,2.97,track_800,800
20,20,20,POINT (-90.72 2.97),-90.72,2.97,track_800,800
21,21,21,POINT (-90.72 2.15),-90.72,2.15,track_800,800
22,22,22,POINT (-89.84 2.15),-89.84,2.15,track_800,800
23,23,23,POINT (-88.95999999999999 2.15),-88.96,2.15,track_800,800
24,24,24,POINT (-88.95999999999999 2.97),-88.96,2.97,track_800,800
25,25,25,POINT (-89.84 2.97),-89.84,2.97,track_800,800
26,26,26,POINT (-90.72 2.97),-90.72,2.97,track_800,800
27,27,27,POINT (-90.72 3.79),-90.72,3.79,track_800,800
28,28,28,POINT (-91.59999999999999 3.79),-91.6,3.79,track_800,800
29,29,29,POINT (-91.59999999999999 4.61),-91.6,4.61,track_800,800
30,30,30,POINT (-91.59999999999999 5.43),-91.6,5.43,track_800,800
31,31,31,POINT (-92.48 5.43),-92.48,5.43,track_800,800
32,32,32,POINT (-93.36 5.43),-93.36,5.43,track_800,800
33,33,33,POINT (-93.36 6.25),-93.36,6.25,track_800,800
34,34,34,POINT (-94.23999999999999 6.25),-94.24,6.25,track_800,800
35,35,35,POINT (-94.23999999999999 7.07),-94.24,7.07,track_800,800
36,36,36,POINT (-94.23999999999999 7.89),-94.24,7.89,track_800,800
37,37,37,POINT (-93.36 7.89),-93.36,7.89,track_800,800
38,38,38,POINT (-93.36 8.710000000000001),-93.36,8.71,track_800,800
39,39,39,POINT (-93.36 9.529999999999999),-93.36,9.53,track_800,800
40,40,40,POINT (-93.36 10.35),-93.36,10.35,track_800,800
41,41,41,POINT (-93.36 11.17),-93.36,11.17,track_800,800
42,42,42,POINT (-93.36 11.99),-93.36,11.99,track_800,800
43,43,43,POINT (-93.36 12.81),-93.36,12.81,track_800,800
44,44,44,POINT (-93.36 13.63),-93.36,13.63,track_800,800
45,45,45,POINT (-94.23999999999999 13.63),-94.24,13.63,track_800,800
46,46,46,POINT (-95.12 13.63),-95.12,13.63,track_800,800
47,47,47,POINT (-95.12 14.45),-95.12,14.45,track_800,800
48,48,48,POINT (-95.12 15.27),-95.12,15.27,track_800,800
49,49,49,POINT (-95.12 16.09),-95.12,16.09,track_800,800
0,0,0,POINT (-81.04000000000001 -2.77),-81.04,-2.77,track_1200,1200
1,1,1,POINT (-81.04000000000001 -1.95),-81.04,-1.95,track_1200,1200
2,2,2,POINT (-81.92 -1.95),-81.92,-1.95,track_1200,1200
3,3,3,POINT (-82.8 -1.95),-82.8,-1.95,track_1200,1200
4,4,4,POINT (-83.68000000000001 -1.95),-83.68,-1.95,track_1200,1200
5,5,5,POINT (-84.56 -1.95),-84.56,-1.95,track_1200,1200
6,6,6,POINT (-84.56 -1.13),-84.56,-1.13,track_1200,1200
7,7,7,POINT (-85.44 -1.13),-85.44,-1.13,track_1200,1200
8,8,8,POINT (-85.44 -0.31),-85.44,-0.31,track_1200,1200
9,9,9,POINT (-86.31999999999999 -0.31),-86.32,-0.31,track_1200,1200
10,10,10,POINT (-87.2 -0.31),-87.2,-0.31,track_1200,1200
11,11,11,POINT (-87.2 0.51),-87.2,0.51,track_1200,1200
12,12,12,POINT (-87.2 1.33),-87.2,1.33,track_1200,1200
13,13,13,POINT (-88.08 1.33),-88.08,1.33,track_1200,1200
14,14,14,POINT (-88.95999999999999 1.33),-88.96,1.33,track_1200,1200
15,15,15,POINT (-88.95999999999999 2.15),-88.96,2.15,track_1200,1200
16,16,16,POINT (-88.95999999999999 2.97),-88.96,2.97,track_1200,1200
17,17,17,POINT (-89.84 2.97),-89.84,2.97,track_1200,1200
18,18,18,POINT (-90.72 2.97),-90.72,2.97,track_1200,1200
19,19,19,POINT (-90.72 3.79),-90.72,3.79,track_1200,1200
20,20,20,POINT (-91.59999999999999 3.79),-91.6,3.79,track_1200,1200
21,21,21,POINT (-91.59999999999999 4.61),-91.6,4.61,track_1200,1200
22,22,22,POINT (-91.59999999999999 5.43),-91.6,5.43,track_1200,1200
23,23,23,POINT (-91.59999999999999 4.61),-91.6,4.61,track_1200,1200
24,24,24,POINT (-91.59999999999999 5.43),-91.6,5.43,track_1200,1200
25,25,25,POINT (-92.48 5.43),-92.48,5.43,track_1200,1200
26,26,26,POINT (-93.36 5.43),-93.36,5.43,track_1200,1200
27,27,27,POINT (-93.36 6.25),-93.36,6.25,track_1200,1200
28,28,28,POINT (-94.23999999999999 6.25),-94.24,6.25,track_1200,1200
29,29,29,POINT (-94.23999999999999 7.07),-94.24,7.07,track_1200,1200
