,time,time15,time30,Latitude,Longitude
59,15.0,14.75,15.0,14.674934272510576,-90.9273084460738
60,15.0,15.0,15.0,14.668771,-90.89246900000002
61,15.0,15.25,15.0,14.665779153681632,-90.87555683713673
62,16.0,15.5,15.5,14.665675473193126,-90.87497075713101
63,16.0,15.75,16.0,14.667119556108055,-90.8831337985598
64,16.0,16.0,16.0,14.668771,-90.892469
65,16.0,16.25,16.0,14.669572662804883,-90.89700060038149
66,16.0,16.5,16.5,14.669600443908047,-90.8971576400457
67,17.0,16.75,17.0,14.669213503057188,-90.8949703596871
68,17.0,17.0,17.0,14.668771,-90.89246900000002
69,17.0,17.25,17.0,14.668556195098825,-90.89125476133738
70,18.0,17.5,17.5,14.668548751174667,-90.89121268268616
71,18.0,17.75,18.0,14.668652431663176,-90.89179876269188
72,18.0,18.0,18.0,14.668770999999996,-90.892469
73,18.0,18.25,18.0,14.668828556799797,-90.89279435426907
74,18.0,18.5,18.5,14.668830551393262,-90.89280562920968
75,19.0,18.75,19.0,14.668802770290096,-90.89264858954543
76,19.0,19.0,19.0,14.668770999999996,-90.892469
77,19.0,19.25,19.0,14.668755577701972,-90.89238182158634
78,20.0,19.5,19.5,14.668755043252263,-90.8923788004751
79,20.0,19.75,20.0,14.668762487176421,-90.89242087912632
80,20.0,20.0,20.0,14.668770999999998,-90.89246899999999
81,20.0,20.25,20.0,14.668775132392298,-90.89249235938553
82,20.0,20.5,20.5,14.668775275597666,-90.89249316888984
83,21.0,20.75,21.0,14.6687732810042,-90.89248189394922
84,21.0,21.0,21.0,14.668771,-90.89246899999999
85,21.0,21.25,21.0,14.668769892728818,-90.89246274087151
86,22.0,21.5,21.5,14.668769854357054,-90.89246252396548
87,22.0,21.75,22.0,14.668770388806763,-90.8924655450767
88,22.0,22.0,22.0,14.668770999999998,-90.892469
89,22.0,22.25,22.0,14.668771296692414,-90.89247067712843
90,22.0,22.5,22.5,14.668771306974097,-90.89247073524822
91,23.0,22.75,23.0,14.66877116376873,-90.8924699257439
92,23.0,23.0,23.0,14.668771,-90.89246899999999
93,23.0,23.25,23.0,14.668770920501505,-90.8924685506148
94,24.0,23.5,23.5,14.668770917746537,-90.89246853504164
95,24.0,23.75,24.0,14.6687709561183,-90.89246875194766
96,24.0,24.0,24.0,14.668771,-90.89246899999999
97,24.0,24.25,24.0,14.668771021301557,-90.8924691204124
98,24.0,24.5,24.5,14.668771022039747,-90.89246912458522
99,25.0,24.75,25.0,14.668771011758064,-90.89246906646541
100,25.0,25.0,25.0,14.668770999999996,-90.89246899999999
101,25.0,25.25,25.0,14.66877099429226,-90.89246896773558
102,26.0,25.5,25.5,14.668770994094466,-90.89246896661747
103,26.0,25.75,26.0,14.668770996849432,-90.89246898219064
104,26.0,26.0,26.0,14.668770999999998,-90.89246899999998
105,26.0,26.25,26.0,14.66877100152938,-90.89246900864521
106,26.0,26.5,26.5,14.668771001582382,-90.8924690089448
107,27.0,26.75,27.0,14.66877100084419,-90.892469004772
108,27.0,27.0,27.0,14.668771,-90.89246899999999
109,27.0,27.25,27.0,14.668770999590203,-90.89246899768352
110,28.0,27.5,27.5,14.668770999576001,-90.89246899760325
111,28.0,27.75,28.0,14.668770999773798,-90.89246899872134
112,28.0,28.0,28.0,14.668771,-90.89246899999999
113,28.0,28.25,28.0,14.668771000109802,-90.8924690006207
114,28.0,28.5,28.5,14.668771000113608,-90.89246900064221
115,29.0,28.75,29.0,14.668771000060607,-90.89246900034262
116,29.0,29.0,29.0,14.668770999999998,-90.892469
117,29.0,29.25,29.0,14.668770999970576,-90.89246899983368
118,30.0,29.5,29.5,14.668770999969558,-90.89246899982793
119,30.0,29.75,30.0,14.668770999983758,-90.89246899990819
120,30.0,30.0,30.0,14.668771,-90.89246899999999
121,30.0,30.25,30.0,14.668771000007883,-90.89246900004456
122,30.0,30.5,30.5,14.668771000008155,-90.8924690000461
123,31.0,30.75,31.0,14.66877100000435,-90.89246900002459
124,31.0,31.0,31.0,14.668771,-90.89246899999999
125,31.0,31.25,31.0,14.668770999997886,-90.89246899998805
126,32.0,31.5,31.5,14.668770999997811,-90.89246899998764
127,32.0,31.75,32.0,14.668770999998832,-90.8924689999934
128,32.0,32.0,32.0,14.668770999999998,-90.892469
129,32.0,32.25,32.0,14.668771000000566,-90.89246900000319
130,32.0,32.5,32.5,14.668771000000582,-90.8924690000033
131,33.0,32.75,33.0,14.66877100000031,-90.89246900000175
132,33.0,33.0,33.0,14.668770999999998,-90.89246899999999
133,33.0,33.25,33.0,14.668770999999843,-90.89246899999914
134,34.0,33.5,33.5,14.668770999999841,-90.8924689999991
135,34.0,33.75,34.0,14.668770999999913,-90.89246899999952
136,34.0,34.0,34.0,14.668771,-90.892469
137,34.0,34.25,34.0,14.668771000000039,-90.89246900000023
138,34.0,34.5,34.5,14.668771000000039,-90.89246900000023
139,35.0,34.75,35.0,14.668771000000019,-90.89246900000012
140,35.0,35.0,35.0,14.668770999999998,-90.89246899999999
141,35.0,35.25,35.0,14.668770999999985,-90.89246899999993
142,36.0,35.5,35.5,14.668770999999987,-90.89246899999993
143,36.0,35.75,36.0,14.668770999999992,-90.89246899999995
144,36.0,36.0,36.0,14.668771,-90.892469
145,36.0,36.25,36.0,14.668771000000001,-90.892469
146,36.0,36.5,36.5,14.668771,-90.89246900000002
147,37.0,36.75,37.0,14.668771,-90.892469
148,37.0,37.0,37.0,14.668770999999998,-90.892469
149,37.0,37.25,37.0,14.668770999999998,-90.892469
150,38.0,37.5,37.5,14.668770999999996,-90.892469
151,38.0,37.75,38.0,14.668771,-90.89246899999999
152,38.0,38.0,38.0,14.668771,-90.892469
153,38.0,38.25,38.0,14.668771000000001,-90.892469
154,38.0,38.5,38.5,14.668771,-90.892469
155,39.0,38.75,39.0,14.668771,-90.89246899999999
156,39.0,39.0,39.0,14.668771,-90.892469
157,39.0,39.25,39.0,14.668770999999998,-90.892469
158,40.0,39.5,39.5,14.668770999999996,-90.892469
159,40.0,39.75,40.0,14.668771,-90.89246899999999
160,40.0,40.0,40.0,14.668770999999996,-90.892469
161,40.0,40.25,40.0,14.668771,-90.892469
162,40.0,40.5,40.5,14.668770999999996,-90.892469
163,41.0,40.75,41.0,14.668770999999998,-90.89246899999999
164,41.0,41.0,41.0,14.668770999999996,-90.892469
165,41.0,41.25,41.0,14.668770999999998,-90.892469
166,42.0,41.5,41.5,14.668770999999996,-90.892469
167,42.0,41.75,42.0,14.668771,-90.89246899999999
168,42.0,42.0,42.0,14.668770999999996,-90.892469
169,42.0,42.25,42.0,14.668771,-90.892469
170,42.0,42.5,42.5,14.668770999999996,-90.892469
171,43.0,42.75,43.0,14.668770999999998,-90.89246899999999
172,43.0,43.0,43.0,14.668770999999996,-90.892469
173,43.0,43.25,43.0,14.668770999999998,-90.892469
174,44.0,43.5,43.5,14.668770999999996,-90.892469
175,44.0,43.75,44.0,14.668771,-90.89246899999999
176,44.0,44.0,44.0,14.668770999999996,-90.892469
177,44.0,44.25,44.0,14.668771,-90.892469
178,44.0,44.5,44.5,14.668770999999996,-90.892469
179,45.0,44.75,45.0,14.668770999999998,-90.89246899999999
180,45.0,45.0,45.0,14.668770999999996,-90.892469
181,45.0,45.25,45.0,14.668770999999998,-90.892469
182,46.0,45.5,45.5,14.668770999999996,-90.892469
183,46.0,45.75,46.0,14.668771,-90.89246899999999
184,46.0,46.0,46.0,14.668770999999996,-90.892469
185,46.0,46.25,46.0,14.668771,-90.892469
186,46.0,46.5,46.5,14.668770999999996,-90.892469
187,47.0,46.75,47.0,14.668770999999998,-90.89246899999999
188,47.0,47.0,47.0,14.668770999999996,-90.892469
189,47.0,47.25,47.0,14.668770999999998,-90.892469
190,48.0,47.5,47.5,14.668770999999996,-90.892469
191,48.0,47.75,48.0,14.668771,-90.89246899999999
192,48.0,48.0,48.0,14.668770999999996,-90.892469
193,48.0,48.25,48.0,14.668771,-90.892469
194,48.0,48.5,48.5,14.668770999999996,-90.892469
195,49.0,48.75,49.0,14.668770999999998,-90.89246899999999
196,49.0,49.0,49.0,14.668770999999996,-90.892469
197,49.0,49.25,49.0,14.668770999999998,-90.892469
198,50.0,49.5,49.5,14.668770999999996,-90.892469
199,50.0,49.75,50.0,14.668771,-90.89246899999999
200,50.0,50.0,50.0,14.668770999999996,-90.892469
201,50.0,50.25,50.0,14.668771,-90.892469
202,50.0,50.5,50.5,14.668770999999996,-90.892469
203,51.0,50.75,51.0,14.668770999999998,-90.89246899999999
204,51.0,51.0,51.0,14.668770999999996,-90.892469
205,51.0,51.25,51.0,14.668770999999998,-90.892469
206,52.0,51.5,51.5,14.668770999999996,-90.892469
207,52.0,51.75,52.0,14.668771,-90.89246899999999
208,52.0,52.0,52.0,14.668770999999996,-90.892469
209,52.0,52.25,52.0,14.668771,-90.892469
210,52.0,52.5,52.5,14.668770999999996,-90.892469
211,53.0,52.75,53.0,14.668770999999998,-90.89246899999999
212,53.0,53.0,53.0,14.668770999999996,-90.892469
213,53.0,53.25,53.0,14.668770999999998,-90.892469
214,54.0,53.5,53.5,14.668770999999996,-90.892469
215,54.0,53.75,54.0,14.668771,-90.89246899999999
216,54.0,54.0,54.0,14.668770999999996,-90.892469
217,54.0,54.25,54.0,14.668771,-90.892469
218,54.0,54.5,54.5,14.668770999999996,-90.892469
219,55.0,54.75,55.0,14.668770999999998,-90.89246899999999
220,55.0,55.0,55.0,14.668770999999996,-90.892469
221,55.0,55.25,55.0,14.668770999999998,-90.892469
222,56.0,55.5,55.5,14.668770999999996,-90.892469
223,56.0,55.75,56.0,14.668771,-90.89246899999999
224,56.0,56.0,56.0,14.668770999999996,-90.892469
225,56.0,56.25,56.0,14.668771,-90.892469
226,56.0,56.5,56.5,14.668770999999996,-90.892469
227,57.0,56.75,57.0,14.668770999999998,-90.89246899999999
228,57.0,57.0,57.0,14.668770999999996,-90.892469
229,57.0,57.25,57.0,14.668770999999998,-90.892469
230,58.0,57.5,57.5,14.668770999999996,-90.892469
231,58.0,57.75,58.0,14.668771,-90.89246899999999
232,58.0,58.0,58.0,14.668770999999996,-90.892469
233,58.0,58.25,58.0,14.668771,-90.892469
234,58.0,58.5,58.5,14.668770999999996,-90.892469
235,59.0,58.75,59.0,14.668770999999998,-90.89246899999999
236,59.0,59.0,59.0,14.668770999999996,-90.892469
237,59.0,59.25,59.0,14.668770999999998,-90.892469
238,60.0,59.5,59.5,14.668770999999996,-90.892469
239,60.0,59.75,60.0,14.668771,-90.89246899999999
240,60.0,60.0,60.0,14.668770999999996,-90.892469
241,60.0,60.25,60.0,14.668771,-90.892469
242,60.0,60.5,60.5,14.668770999999996,-90.892469
243,61.0,60.75,61.0,14.668770999999998,-90.89246899999999
244,61.0,61.0,61.0,14.668770999999996,-90.892469
245,61.0,61.25,61.0,14.668770999999998,-90.892469
246,62.0,61.5,61.5,14.668770999999996,-90.892469
247,62.0,61.75,62.0,14.668771,-90.89246899999999
248,62.0,62.0,62.0,14.668770999999996,-90.892469
249,62.0,62.25,62.0,14.668771,-90.892469
250,62.0,62.5,62.5,14.668770999999996,-90.892469
251,63.0,62.75,63.0,14.668770999999998,-90.89246899999999
252,63.0,63.0,63.0,14.668770999999996,-90.892469
253,63.0,63.25,63.0,14.668770999999998,-90.892469
254,64.0,63.5,63.5,14.668770999999996,-90.892469
255,64.0,63.75,64.0,14.668771,-90.89246899999999
256,64.0,64.0,64.0,14.668770999999996,-90.892469
257,64.0,64.25,64.0,14.668771,-90.892469
258,64.0,64.5,64.5,14.668770999999996,-90.892469
259,65.0,64.75,65.0,14.668770999999998,-90.89246899999999
260,65.0,65.0,65.0,14.668770999999996,-90.892469
261,65.0,65.25,65.0,14.668770999999998,-90.892469
262,66.0,65.5,65.5,14.668770999999996,-90.892469
263,66.0,65.75,66.0,14.668771,-90.89246899999999
264,66.0,66.0,66.0,14.668770999999996,-90.892469
265,66.0,66.25,66.0,14.668771,-90.892469
266,66.0,66.5,66.5,14.668770999999996,-90.892469
267,67.0,66.75,67.0,14.668770999999998,-90.89246899999999
268,67.0,67.0,67.0,14.668770999999998,-90.892469
269,67.0,67.25,67.0,14.668770999999998,-90.89246899999999
270,68.0,67.5,67.5,14.668770999999998,-90.892469
271,68.0,67.75,68.0,14.668770999999998,-90.89246899999999
272,68.0,68.0,68.0,14.668771,-90.89246900000002
273,68.0,68.25,68.0,14.668771,-90.89246899999999
274,68.0,68.5,68.5,14.668770999999998,-90.892469
275,69.0,68.75,69.0,14.668770999999998,-90.89246899999999
276,69.0,69.0,69.0,14.668770999999998,-90.892469
277,69.0,69.25,69.0,14.668771000000001,-90.892469
278,70.0,69.5,69.5,14.668770999999998,-90.892469
279,70.0,69.75,70.0,14.668771000000001,-90.89246900000003
280,70.0,70.0,70.0,14.668771,-90.892469
281,70.0,70.25,70.0,14.668771000000001,-90.892469
282,70.0,70.5,70.5,14.668771,-90.892469
283,71.0,70.75,71.0,14.668771,-90.892469
284,71.0,71.0,71.0,14.668771,-90.892469
285,71.0,71.25,71.0,14.668771,-90.89246899999999
286,72.0,71.5,71.5,14.668770999999994,-90.89246899999998
287,72.0,71.75,72.0,14.668770999999996,-90.89246899999992
288,72.0,72.0,72.0,14.668771,-90.89246899999995
