Time,Latitude,Longitude,stationtime
57.25,5.358647745,-91.02977689,3.5
57.5,5.379295862,-91.05955378,3.5
57.75,5.39994398,-91.08933067,3.5
58,5.420592098,-91.11910756,3.5
58.25,5.441240216,-91.14888445,3.5
58.5,5.461888333,-91.17866134,3.5
58.75,5.482536451,-91.20843823,3.5
59,5.503184569,-91.23821511,3.5
59.25,5.523832686,-91.267992,3.5
59.5,5.544480804,-91.29776889,3.5
59.75,5.565128922,-91.32754578,3.5
60,5.58577704,-91.35732267,3.5
60.25,5.606425157,-91.38709956,3.5
60.5,5.627073275,-91.41687645,3.5
60.75,5.647721393,-91.44665334,3.5
61,5.668369511,-91.47643023,3.5
61.25,5.689017628,-91.50620712,3.5
61.5,5.709665746,-91.53598401,3.5
61.75,5.730313864,-91.5657609,3.5
62,5.750961981,-91.59553779,3.5
62.25,5.771610099,-91.62531468,3.5
62.5,5.792258217,-91.65509157,3.5
62.75,5.812906335,-91.68486845,3.5
63,5.833554452,-91.71464534,3.5
63.25,5.85420257,-91.74442223,3.5
63.5,5.874850688,-91.77419912,3.5
63.75,5.895498805,-91.80397601,3.5
64,5.916146923,-91.8337529,3.5
64.25,5.936795041,-91.86352979,3.5
64.5,5.957443159,-91.89330668,3.5
64.75,5.978091276,-91.92308357,3.5
65,5.998739394,-91.95286046,3.5
65.25,6.019387512,-91.98263735,3.5
65.5,6.040035629,-92.01241424,3.5
65.75,6.060683747,-92.04219113,3.5
66,6.081331865,-92.07196802,3.5
66.25,6.101979983,-92.1017449,3.5
66.5,6.1226281,-92.13152179,3.5
66.75,6.143276218,-92.16129868,3.5
67,6.163924336,-92.19107557,3.5
67.25,6.184572453,-92.22085246,3.5
67.5,6.205220571,-92.25062935,3.5
67.75,6.225868689,-92.28040624,3.5
68,6.246516807,-92.31018313,3.5
68.25,6.267164924,-92.33996002,3.5
68.5,6.287813042,-92.36973691,3.5
68.75,6.30846116,-92.3995138,3.5
69,6.329109277,-92.42929069,3.5
69.25,6.349757395,-92.45906758,3.5
69.5,6.370405513,-92.48884447,3.5
69.75,6.391053631,-92.51862136,3.5
70,6.411701748,-92.54839824,3.5
70.25,6.432349866,-92.57817513,3.5
70.5,6.452997984,-92.60795202,3.5
70.75,6.473646102,-92.63772891,3.5
71,6.494294219,-92.6675058,3.5
71.25,6.514942337,-92.69728269,3.5
71.5,6.535590455,-92.72705958,3.5
71.75,6.556238572,-92.75683647,3.5
72,6.57688669,-92.78661336,3.5
