Longitude,Latitude,,Seconds,Secondsr,
-95.04578962,6.834050768,113157.6003,114057.6003,114060,
-94.93753157,6.647941253,111856.9382,112756.9382,112740,
-94.76430205,6.430060143,110556.2761,111456.2761,111480,
-94.82408396,6.634887886,109255.6141,110155.6141,110160,
-94.60950828,6.343864168,107954.952,108854.952,108840,
-94.58339312,6.183312536,106654.2899,107554.2899,107580,
-94.43693345,6.029586637,105353.6278,106253.6278,106260,
-94.27903625,5.836848376,104052.9658,104952.9658,104940,
-94.11797722,5.640938977,102752.3037,103652.3037,103680,
-93.95687822,5.452053157,101451.6416,102351.6416,102360,
-93.79577121,5.264572052,100150.9796,101050.9796,101040,
-93.6346189,5.085051003,98850.31749,99750.31749,99780,
-93.46968821,4.902864043,97549.65541,98449.65541,98460,
-93.2943129,4.722851073,96248.99334,97148.99334,97140,
-93.11513522,4.54438634,94948.33127,95848.33127,95820,
-92.9317062,4.359073722,93647.6692,94547.6692,94560,
-92.75090594,4.245346419,92347.00713,93247.00713,93240,
-92.69080713,4.089028989,91046.34505,91946.34505,91920,
-92.51790323,4.025942564,89745.68298,90645.68298,90660,
-92.45776753,3.876108438,88445.02091,89345.02091,89340,
-92.2877877,3.821129542,87144.35884,88044.35884,88020,
-92.20368287,3.672935116,85843.69677,86743.69677,86760,
-92.03809229,3.609853978,84543.03469,85443.03469,85440,
-91.93320141,3.465328171,83242.37262,84142.37262,84120,
-91.76897116,3.404456015,81941.71055,82841.71055,82860,
-91.6640419,3.266672843,80641.04848,81541.04848,81540,
-91.49977967,3.21141955,79340.3864,80240.3864,80220,
-91.39481203,3.080379013,78039.72433,78939.72433,78960,
-91.23062848,3.024493683,76739.06226,77639.06226,77640,
-91.10745087,2.900561274,75438.40019,76338.40019,76320,
-90.94236024,2.842644252,74137.73812,75037.73812,75060,
-90.80310937,2.725975283,72837.07604,73737.07604,73740,
-90.63702662,2.667778247,71536.41397,72436.41397,72420,
-90.4977306,2.55904179,70235.7519,71135.7519,71160,
-90.32976646,2.50031927,68935.08983,69835.08983,69840,
-90.17616694,2.40087618,67634.42775,68534.42775,68520,
-90.00628646,2.347770365,66333.76568,67233.76568,67260,
-89.85267628,2.250200228,65033.10361,65933.10361,65940,
-89.6801593,2.197461059,63732.44154,64632.44154,64620,
-89.51374424,2.109438247,62431.77947,63331.77947,63360,
-89.33155438,2.047590737,61131.11739,62031.11739,62040,
-89.14321094,1.971921294,59830.45532,60730.45532,60720,
-88.95773528,1.912509806,58529.79325,59429.79325,59400,
-88.77975985,1.839400807,57229.13118,58129.13118,58140,
-88.59805103,1.789044073,55928.4691,56828.4691,56820,
-88.42003482,1.723099123,54627.80703,55527.80703,55500,
-88.23022019,1.67223507,53327.14496,54227.14496,54240,
-88.03235316,1.611477642,52026.48289,52926.48289,52920,
-87.83444688,1.557616091,50725.82082,51625.82082,51600,
-87.63654496,1.502988332,49425.15874,50325.15874,50340,
-87.43862778,1.451042302,48124.49667,49024.49667,49020,
-87.24066044,1.40790767,46823.8346,47723.8346,47700,
-87.04269746,1.364006829,45523.17253,46423.17253,46440,
-86.84475193,1.317041155,44222.51045,45122.51045,45120,
-86.64677805,1.275055836,42921.84838,43821.84838,43800,
-86.44879109,1.235369142,41621.18631,42521.18631,42540,
-86.2507954,1.197214865,40320.52424,41220.52424,41220,
-86.05280407,1.15829438,39019.86217,39919.86217,39900,
-85.85478876,1.123588042,37719.20009,38619.20009,38640,
-85.656756,1.091946538,36418.53802,37318.53802,37320,
-85.45873415,1.058389512,35117.87595,36017.87595,36000,
-85.26069703,1.027514216,33817.21388,34717.21388,34740,
-85.06264901,0.998554442,32516.5518,33416.5518,33420,
-84.86460971,0.9680622505,31215.88973,32115.88973,32100,
-84.66655732,0.9398686845,29915.22766,30815.22766,30840,
-84.46848967,0.9143568484,28614.56559,29514.56559,29520,
-84.2704133,0.8903774292,27313.90352,28213.90352,28200,
-84.07233039,0.8675473229,26013.24144,26913.24144,26940,
-83.87424747,0.8447172165,24712.57937,25612.57937,25620,
-83.67617983,0.8192053803,23411.9173,24311.9173,24300,
-83.47808819,0.797907691,22111.25523,23011.25523,23040,
-83.27999001,0.7777593144,20810.59316,21710.59316,21720,
-83.0818962,0.7568447293,19509.93108,20409.93108,20400,
-82.88378929,0.7382287697,18209.26901,19109.26901,19080,
-82.68568239,0.7196128102,16908.60694,17808.60694,17820,
-82.48757985,0.7002306421,15607.94487,16507.94487,16500,
-82.28946423,0.6831470995,14307.28279,15207.28279,15180,
-82.09134861,0.666063557,13006.62072,13906.62072,13920,
-81.89324607,0.6466813889,11705.95865,12605.95865,12600,
-81.695113,0.6326626804,10405.29658,11305.29658,11280,
-81.49699084,0.6167284507,9104.634505,10004.63451,10020,
-81.29887085,0.6004111167,7803.972433,8703.972433,8700,
-81.10074869,0.5844768869,6503.310361,7403.310361,7380,
-80.90262434,0.5689257614,5202.648289,6102.648289,6120,
-80.70449563,0.5541408444,3901.986217,4801.986217,4800,
-80.50636474,0.5397390316,2601.324144,3501.324144,3480,
-80.30737787,0.5249713752,1300.662072,2200.662072,2220,
-80.15023078,0.5230934204,0,900,900,
,,,,,
,,start,0.25,,
,,57.08461317,205504.6074,,1300.662072
