,ids,value,text3,AIS,origins,destinations,Navigation,Fog,High Elevation Clouds,Historical Trafficking Routes
230,230,2,Gameboard Index:230,0,0,0,0,0,0,43
231,231,2,Gameboard Index:231,1,0,0,0,2,0,40
232,232,2,Gameboard Index:232,0,0,0,0,0,0,38
233,233,2,Gameboard Index:233,0,0,0,0,0,1,35
234,234,2,Gameboard Index:234,0,0,0,0,0,0,55
235,235,2,Gameboard Index:235,0,0,0,1,0,0,18
236,236,2,Gameboard Index:236,1,0,0,2,4,1,3
237,237,2,Gameboard Index:237,0,0,0,1,6,2,0
238,238,2,Gameboard Index:238,0,0,0,3,7,2,0
239,239,2,Gameboard Index:239,0,0,0,1,7,3,0
240,240,2,Gameboard Index:240,0,0,0,0,4,0,0
241,241,2,Gameboard Index:241,0,0,0,0,3,0,4
242,242,2,Gameboard Index:242,0,0,0,0,6,0,0
243,243,2,Gameboard Index:243,0,0,0,1,4,0,0
244,244,2,Gameboard Index:244,0,0,0,0,6,0,0
245,245,2,Gameboard Index:245,0,0,0,0,6,0,1
246,246,2,Gameboard Index:246,0,0,0,0,6,0,30
247,247,2,Gameboard Index:247,0,0,0,0,3,0,70
248,248,2,Gameboard Index:248,0,0,0,0,8,0,59
249,249,2,Gameboard Index:249,0,0,0,0,2,0,37
250,250,2,Gameboard Index:250,1,0,0,0,5,0,29
251,251,2,Gameboard Index:251,0,0,0,0,6,0,20
252,252,2,Gameboard Index:252,0,0,0,0,7,0,30
253,253,2,Gameboard Index:253,0,0,0,0,1,0,40
254,254,2,Gameboard Index:254,0,0,0,0,2,0,27
255,255,2,Gameboard Index:255,1,0,0,0,2,0,26
256,256,2,Gameboard Index:256,0,0,0,0,0,0,19
257,257,2,Gameboard Index:257,0,0,0,0,0,0,21
258,258,2,Gameboard Index:258,0,0,0,0,0,0,5
259,259,2,Gameboard Index:259,0,0,0,1,0,0,0
260,260,2,Gameboard Index:260,0,0,0,2,5,2,0
261,261,2,Gameboard Index:261,0,0,0,1,6,2,0
262,262,2,Gameboard Index:262,0,0,0,1,6,5,0
263,263,2,Gameboard Index:263,0,0,0,1,5,2,0
264,264,2,Gameboard Index:264,0,0,0,0,1,0,0
265,265,2,Gameboard Index:265,0,0,0,0,5,0,2
266,266,2,Gameboard Index:266,0,0,0,0,8,0,0
267,267,2,Gameboard Index:267,0,0,0,0,7,0,0
268,268,2,Gameboard Index:268,0,0,0,0,6,0,0
269,269,2,Gameboard Index:269,0,0,0,0,7,0,6
270,270,2,Gameboard Index:270,0,0,0,0,5,0,57
271,271,2,Gameboard Index:271,0,0,0,0,3,0,72
272,272,2,Gameboard Index:272,0,0,0,0,8,0,44
273,273,2,Gameboard Index:273,0,0,0,0,4,0,28
274,274,2,Gameboard Index:274,0,0,0,0,2,0,29
275,275,2,Gameboard Index:275,0,0,0,0,6,0,23
276,276,2,Gameboard Index:276,0,0,0,0,6,0,12
277,277,2,Gameboard Index:277,0,0,0,0,2,0,7
278,278,2,Gameboard Index:278,2,0,0,0,5,0,18
279,279,2,Gameboard Index:279,0,0,0,0,0,0,15
280,280,2,Gameboard Index:280,0,0,0,0,0,0,4
281,281,2,Gameboard Index:281,0,0,0,0,0,0,3
282,282,2,Gameboard Index:282,0,0,0,0,0,0,14
283,283,2,Gameboard Index:283,0,0,0,1,1,0,5
284,284,2,Gameboard Index:284,0,0,0,2,4,2,0
285,285,2,Gameboard Index:285,0,0,0,1,4,2,0
286,286,2,Gameboard Index:286,0,0,0,1,1,1,0
287,287,2,Gameboard Index:287,1,0,0,2,6,3,0
288,288,2,Gameboard Index:288,0,0,0,0,5,0,0
289,289,2,Gameboard Index:289,0,0,0,0,3,0,0
290,290,2,Gameboard Index:290,0,0,0,0,1,0,0
291,291,2,Gameboard Index:291,0,0,0,0,5,0,0
292,292,2,Gameboard Index:292,0,0,0,0,5,0,0
293,293,2,Gameboard Index:293,0,0,0,0,7,0,27
294,294,2,Gameboard Index:294,0,0,0,0,7,0,67
295,295,2,Gameboard Index:295,0,0,0,0,4,0,72
296,296,2,Gameboard Index:296,0,0,0,0,5,0,47
297,297,2,Gameboard Index:297,0,0,0,0,5,0,22
298,298,2,Gameboard Index:298,0,0,0,0,5,0,8
299,299,2,Gameboard Index:299,0,0,0,0,8,1,49
300,300,2,Gameboard Index:300,0,0,0,0,7,2,23
301,301,2,Gameboard Index:301,1,0,0,0,2,0,17
302,302,2,Gameboard Index:302,0,0,0,0,4,0,3
303,303,2,Gameboard Index:303,0,0,0,0,1,0,0
304,304,2,Gameboard Index:304,1,0,0,0,0,0,0
305,305,2,Gameboard Index:305,0,0,0,0,0,0,0
306,306,2,Gameboard Index:306,0,0,0,2,2,1,0
307,307,2,Gameboard Index:307,0,0,0,0,5,3,0
308,308,2,Gameboard Index:308,1,0,0,1,6,4,0
309,309,2,Gameboard Index:309,0,0,0,2,4,1,0
310,310,2,Gameboard Index:310,0,0,0,4,5,1,0
311,311,2,Gameboard Index:311,0,0,0,0,2,2,0
312,312,2,Gameboard Index:312,0,0,0,0,2,0,0
313,313,2,Gameboard Index:313,0,0,0,0,0,0,0
314,314,2,Gameboard Index:314,0,0,0,0,0,0,5
315,315,2,Gameboard Index:315,0,0,0,0,8,0,0
316,316,2,Gameboard Index:316,0,0,0,0,7,0,1
317,317,2,Gameboard Index:317,0,0,0,0,7,0,65
318,318,2,Gameboard Index:318,0,0,0,0,7,0,64
319,319,2,Gameboard Index:319,0,0,0,0,5,0,54
320,320,2,Gameboard Index:320,0,0,0,0,3,0,37
321,321,2,Gameboard Index:321,0,0,0,0,5,0,14
322,322,2,Gameboard Index:322,0,0,0,0,4,0,28
323,323,2,Gameboard Index:323,0,0,0,0,2,0,43
324,324,2,Gameboard Index:324,1,0,0,0,10,0,34
325,325,2,Gameboard Index:325,0,0,0,0,6,0,28
326,326,2,Gameboard Index:326,1,0,0,0,1,0,7
327,327,2,Gameboard Index:327,2,0,0,1,0,0,8
328,328,2,Gameboard Index:328,0,0,0,1,3,1,9
329,329,2,Gameboard Index:329,0,0,0,1,3,3,14
330,330,2,Gameboard Index:330,0,0,0,1,5,1,0
331,331,2,Gameboard Index:331,0,0,0,1,6,2,0
332,332,2,Gameboard Index:332,0,0,0,2,6,3,0
333,333,2,Gameboard Index:333,0,0,0,1,2,0,0
334,334,2,Gameboard Index:334,0,0,0,1,6,0,0
335,335,2,Gameboard Index:335,1,0,0,3,5,5,0
336,336,2,Gameboard Index:336,0,0,0,0,0,0,0
337,337,2,Gameboard Index:337,0,0,0,0,0,0,0
338,338,2,Gameboard Index:338,0,0,0,0,4,0,2
339,339,2,Gameboard Index:339,2,0,0,0,8,0,0
340,340,2,Gameboard Index:340,0,0,0,0,10,0,20
341,341,2,Gameboard Index:341,0,0,0,0,4,0,71
342,342,2,Gameboard Index:342,0,0,0,0,7,0,72
343,343,2,Gameboard Index:343,0,0,0,0,7,0,54
344,344,2,Gameboard Index:344,2,0,0,0,5,0,28
345,345,2,Gameboard Index:345,0,0,0,0,1,0,43
346,346,2,Gameboard Index:346,0,0,0,0,1,0,57
347,347,2,Gameboard Index:347,0,0,0,0,5,0,33
348,348,2,Gameboard Index:348,0,0,0,0,5,2,13
349,349,2,Gameboard Index:349,1,0,0,0,7,0,8
350,350,2,Gameboard Index:350,0,0,0,1,5,0,11
351,351,2,Gameboard Index:351,0,0,0,0,2,0,22
352,352,2,Gameboard Index:352,0,0,0,2,6,4,5
353,353,2,Gameboard Index:353,0,0,0,2,5,2,2
354,354,2,Gameboard Index:354,0,0,0,2,5,0,0
355,355,2,Gameboard Index:355,0,0,0,2,5,4,0
356,356,2,Gameboard Index:356,0,0,0,2,5,1,0
357,357,2,Gameboard Index:357,0,0,0,2,6,3,0
358,358,2,Gameboard Index:358,0,0,0,1,5,0,0
359,359,2,Gameboard Index:359,0,0,0,0,4,3,0
360,360,2,Gameboard Index:360,0,0,0,0,0,0,0
361,361,2,Gameboard Index:361,0,0,0,0,0,0,0
362,362,2,Gameboard Index:362,0,0,0,0,6,0,7
363,363,2,Gameboard Index:363,0,0,0,0,8,0,4
364,364,2,Gameboard Index:364,0,0,0,0,1,0,49
365,365,2,Gameboard Index:365,1,0,0,0,2,0,60
366,366,2,Gameboard Index:366,0,0,0,0,7,0,70
367,367,2,Gameboard Index:367,0,0,0,0,8,0,41
368,368,2,Gameboard Index:368,0,0,0,0,3,0,55
369,369,2,Gameboard Index:369,0,0,0,0,2,0,53
370,370,2,Gameboard Index:370,0,0,0,0,3,0,15
371,371,2,Gameboard Index:371,0,0,0,0,7,0,6
372,372,2,Gameboard Index:372,0,0,0,0,2,2,10
373,373,2,Gameboard Index:373,1,0,0,0,8,0,22
374,374,2,Gameboard Index:374,0,0,0,1,6,0,52
375,375,2,Gameboard Index:375,0,0,1,4,5,1,40
376,376,2,Gameboard Index:376,0,0,0,1,4,2,0
377,377,2,Gameboard Index:377,0,0,0,1,7,2,0
378,378,2,Gameboard Index:378,0,0,0,2,6,4,0
379,379,2,Gameboard Index:379,0,0,0,0,5,3,0
380,380,2,Gameboard Index:380,0,0,0,1,6,1,0
381,381,2,Gameboard Index:381,0,0,0,2,9,2,0
382,382,2,Gameboard Index:382,0,0,0,2,3,3,4
383,383,2,Gameboard Index:383,0,0,0,0,3,1,2
384,384,2,Gameboard Index:384,0,0,0,0,2,0,0
385,385,2,Gameboard Index:385,0,0,0,0,0,0,0
386,386,2,Gameboard Index:386,0,0,0,0,3,0,1
387,387,2,Gameboard Index:387,0,0,0,0,3,0,30
388,388,2,Gameboard Index:388,0,0,0,0,1,0,54
389,389,2,Gameboard Index:389,1,0,0,0,2,0,56
390,390,2,Gameboard Index:390,0,0,0,0,5,2,65
391,391,2,Gameboard Index:391,0,0,0,0,3,0,65
392,392,2,Gameboard Index:392,0,0,0,0,1,0,70
393,393,2,Gameboard Index:393,2,0,0,0,1,0,53
394,394,2,Gameboard Index:394,0,0,0,0,1,0,61
395,395,2,Gameboard Index:395,0,0,0,0,5,2,66
396,396,2,Gameboard Index:396,0,0,0,0,4,1,65
397,397,2,Gameboard Index:397,0,0,0,1,8,1,66
398,398,2,Gameboard Index:398,0,0,0,2,5,3,44
399,399,2,Gameboard Index:399,0,0,0,3,7,2,3
400,400,2,Gameboard Index:400,0,0,0,1,4,2,14
401,401,2,Gameboard Index:401,0,0,0,1,3,2,26
402,402,2,Gameboard Index:402,0,0,0,2,7,1,33
403,403,2,Gameboard Index:403,0,0,0,1,3,4,23
404,404,2,Gameboard Index:404,0,0,0,2,8,2,16
405,405,2,Gameboard Index:405,0,0,0,1,4,3,27
406,406,2,Gameboard Index:406,0,0,0,1,6,4,55
407,407,2,Gameboard Index:407,0,0,0,0,2,0,34
408,408,2,Gameboard Index:408,0,0,0,0,3,0,0
409,409,2,Gameboard Index:409,0,0,0,0,4,0,0
410,410,2,Gameboard Index:410,1,0,0,0,3,0,10
411,411,2,Gameboard Index:411,0,0,0,0,3,0,38
412,412,2,Gameboard Index:412,0,0,0,0,3,0,71
413,413,2,Gameboard Index:413,2,0,0,0,6,0,61
414,414,2,Gameboard Index:414,0,0,0,0,7,0,63
415,415,2,Gameboard Index:415,0,0,0,0,0,0,65
416,416,2,Gameboard Index:416,0,0,0,0,1,0,59
417,417,2,Gameboard Index:417,0,0,0,0,3,0,60
418,418,2,Gameboard Index:418,0,0,0,0,0,0,65
419,419,2,Gameboard Index:419,0,0,0,0,6,0,72
420,420,2,Gameboard Index:420,1,0,0,1,3,2,69
421,421,2,Gameboard Index:421,2,0,0,3,6,1,53
422,422,2,Gameboard Index:422,0,0,0,1,6,2,0
423,423,2,Gameboard Index:423,1,0,0,1,6,1,7
424,424,2,Gameboard Index:424,0,0,0,0,6,2,34
425,425,2,Gameboard Index:425,0,0,0,0,7,2,49
426,426,2,Gameboard Index:426,0,0,0,1,5,0,24
427,427,2,Gameboard Index:427,1,0,0,0,6,0,13
428,428,2,Gameboard Index:428,0,0,0,0,7,0,23
429,429,2,Gameboard Index:429,0,0,0,1,5,0,58
430,430,2,Gameboard Index:430,1,0,0,1,8,0,47
431,431,2,Gameboard Index:431,0,0,0,0,5,0,12
432,432,2,Gameboard Index:432,0,0,0,1,4,3,0
433,433,2,Gameboard Index:433,1,0,0,1,4,1,7
434,434,2,Gameboard Index:434,1,0,0,1,6,1,10
435,435,2,Gameboard Index:435,0,0,0,0,7,1,35
436,436,2,Gameboard Index:436,1,0,0,0,4,1,67
437,437,2,Gameboard Index:437,0,0,0,0,3,3,59
438,438,2,Gameboard Index:438,1,0,0,0,3,0,71
439,439,2,Gameboard Index:439,1,0,0,0,5,0,62
440,440,2,Gameboard Index:440,0,0,0,0,1,0,53
441,441,2,Gameboard Index:441,0,0,0,0,0,0,59
442,442,2,Gameboard Index:442,0,0,0,0,0,0,60
443,443,2,Gameboard Index:443,0,0,0,0,4,0,59
444,444,2,Gameboard Index:444,0,0,0,1,5,0,51
445,445,2,Gameboard Index:445,0,0,0,1,4,3,20
446,446,2,Gameboard Index:446,0,0,0,1,5,1,0
447,447,2,Gameboard Index:447,0,0,0,0,5,3,21
448,448,2,Gameboard Index:448,0,0,0,0,5,0,30
449,449,2,Gameboard Index:449,0,0,0,0,8,0,13
450,450,2,Gameboard Index:450,0,0,0,0,3,0,43
451,451,2,Gameboard Index:451,0,0,0,1,3,1,62
452,452,2,Gameboard Index:452,0,0,0,1,2,1,54
453,453,2,Gameboard Index:453,0,0,0,0,6,0,18
454,454,2,Gameboard Index:454,0,0,0,0,3,0,22
455,455,2,Gameboard Index:455,0,0,0,0,1,0,15
456,456,2,Gameboard Index:456,0,0,0,1,5,4,0
457,457,2,Gameboard Index:457,0,1,0,1,5,3,0
458,458,2,Gameboard Index:458,1,0,0,1,6,3,0
459,459,2,Gameboard Index:459,0,0,0,1,5,3,2
460,460,2,Gameboard Index:460,1,1,0,1,5,3,4
461,461,2,Gameboard Index:461,0,0,0,1,6,3,18
462,462,2,Gameboard Index:462,2,0,0,0,4,0,63
