,ids,value,text3,Origin,Destination,AIS,Navigation,Fog,Historical Trafficking Routes,High Elevation Clouds
54,54,2,Gameboard Index:54,0,0,0,0,4,0,0
55,55,2,Gameboard Index:55,0,0,2,0,7,0,2
56,56,2,Gameboard Index:56,0,0,1,0,0,0,0
57,57,2,Gameboard Index:57,0,0,0,1,0,0,0
58,58,2,Gameboard Index:58,0,0,1,1,4,0,3
59,59,2,Gameboard Index:59,0,0,0,2,4,0,1
60,60,2,Gameboard Index:60,0,0,0,0,1,0,0
61,61,2,Gameboard Index:61,0,0,0,0,0,0,0
62,62,2,Gameboard Index:62,0,0,1,0,2,0,0
63,63,2,Gameboard Index:63,0,0,0,0,9,0,1
64,64,2,Gameboard Index:64,0,0,0,0,14,0,3
65,65,2,Gameboard Index:65,0,0,2,0,7,0,4
66,66,2,Gameboard Index:66,0,0,0,0,13,0,4
67,67,2,Gameboard Index:67,0,0,1,0,12,0,0
68,68,2,Gameboard Index:68,0,0,0,0,11,0,0
69,69,2,Gameboard Index:69,0,0,0,0,10,0,2
70,70,2,Gameboard Index:70,0,0,0,0,11,0,3
71,71,2,Gameboard Index:71,0,0,0,0,3,0,4
72,72,2,Gameboard Index:72,0,0,2,0,9,0,0
73,73,2,Gameboard Index:73,0,0,0,0,2,0,0
74,74,2,Gameboard Index:74,0,0,2,0,3,0,0
75,75,2,Gameboard Index:75,0,0,2,0,1,0,0
76,76,2,Gameboard Index:76,0,0,0,0,3,0,0
77,77,2,Gameboard Index:77,0,0,0,2,0,0,0
78,78,2,Gameboard Index:78,0,0,0,2,8,0,2
79,79,2,Gameboard Index:79,0,0,0,4,7,0,2
80,80,2,Gameboard Index:80,0,0,0,0,1,0,0
81,81,2,Gameboard Index:81,0,0,0,0,2,0,0
82,82,2,Gameboard Index:82,0,0,1,0,0,0,0
83,83,2,Gameboard Index:83,0,0,0,0,2,0,0
84,84,2,Gameboard Index:84,0,0,0,0,7,0,0
85,85,2,Gameboard Index:85,0,0,0,0,5,0,0
86,86,2,Gameboard Index:86,0,0,0,0,6,0,5
87,87,2,Gameboard Index:87,0,0,0,0,12,0,1
88,88,2,Gameboard Index:88,0,0,0,0,3,0,0
89,89,2,Gameboard Index:89,0,0,0,0,9,0,0
90,90,2,Gameboard Index:90,0,0,0,0,8,0,3
91,91,2,Gameboard Index:91,0,0,0,0,7,0,5
92,92,2,Gameboard Index:92,0,0,1,0,10,0,1
93,93,2,Gameboard Index:93,0,0,1,0,4,0,0
94,94,2,Gameboard Index:94,0,0,0,0,0,0,0
95,95,2,Gameboard Index:95,0,0,0,0,0,0,0
96,96,2,Gameboard Index:96,0,0,0,0,0,0,0
97,97,2,Gameboard Index:97,0,0,0,1,2,7,1
98,98,2,Gameboard Index:98,0,0,0,3,7,0,2
99,99,2,Gameboard Index:99,0,0,0,2,6,0,0
100,100,2,Gameboard Index:100,0,0,0,0,2,0,0
101,101,2,Gameboard Index:101,0,0,0,0,1,0,0
102,102,2,Gameboard Index:102,0,0,0,0,0,0,0
103,103,2,Gameboard Index:103,0,0,0,0,0,0,0
104,104,2,Gameboard Index:104,0,0,0,0,0,0,0
105,105,2,Gameboard Index:105,0,0,0,0,7,0,0
106,106,2,Gameboard Index:106,0,0,1,0,2,0,2
107,107,2,Gameboard Index:107,0,0,0,0,12,0,0
108,108,2,Gameboard Index:108,0,0,0,0,10,0,0
109,109,2,Gameboard Index:109,0,0,0,0,12,3,0
110,110,2,Gameboard Index:110,0,0,0,0,5,10,3
111,111,2,Gameboard Index:111,0,0,0,0,10,0,5
112,112,2,Gameboard Index:112,0,0,1,0,5,0,0
113,113,2,Gameboard Index:113,0,0,1,0,5,2,0
114,114,2,Gameboard Index:114,0,0,1,0,5,17,2
115,115,2,Gameboard Index:115,0,0,0,0,2,1,0
116,116,2,Gameboard Index:116,0,0,0,0,0,4,0
117,117,2,Gameboard Index:117,0,1,0,0,0,16,0
118,118,2,Gameboard Index:118,0,0,0,2,5,19,2
119,119,2,Gameboard Index:119,0,0,0,2,11,0,2
120,120,2,Gameboard Index:120,0,0,0,0,3,0,0
121,121,2,Gameboard Index:121,0,0,0,0,0,0,0
122,122,2,Gameboard Index:122,0,0,0,0,0,0,0
123,123,2,Gameboard Index:123,0,0,0,0,0,0,0
124,124,2,Gameboard Index:124,0,0,0,0,0,0,0
125,125,2,Gameboard Index:125,0,0,0,0,8,0,0
126,126,2,Gameboard Index:126,0,0,1,0,8,2,0
127,127,2,Gameboard Index:127,0,0,0,0,14,5,0
128,128,2,Gameboard Index:128,0,0,0,0,11,28,0
129,129,2,Gameboard Index:129,0,0,0,0,11,18,1
130,130,2,Gameboard Index:130,0,0,0,0,10,31,0
131,131,2,Gameboard Index:131,0,0,1,0,5,15,0
132,132,2,Gameboard Index:132,0,0,0,0,3,25,0
133,133,2,Gameboard Index:133,0,0,3,0,4,30,0
134,134,2,Gameboard Index:134,0,0,1,0,7,35,1
135,135,2,Gameboard Index:135,0,0,0,0,4,42,0
136,136,2,Gameboard Index:136,0,0,0,0,0,27,0
137,137,2,Gameboard Index:137,0,0,0,3,2,30,2
138,138,2,Gameboard Index:138,0,0,0,1,8,0,3
139,139,2,Gameboard Index:139,0,0,0,2,8,0,2
140,140,2,Gameboard Index:140,0,0,0,0,10,0,0
141,141,2,Gameboard Index:141,0,0,0,0,4,0,0
142,142,2,Gameboard Index:142,0,0,0,0,0,6,0
143,143,2,Gameboard Index:143,0,0,0,0,0,4,0
144,144,2,Gameboard Index:144,0,0,0,2,2,3,0
145,145,2,Gameboard Index:145,0,0,0,1,7,4,1
146,146,2,Gameboard Index:146,0,0,0,0,14,4,0
147,147,2,Gameboard Index:147,0,0,2,0,10,63,0
148,148,2,Gameboard Index:148,0,0,0,0,9,79,0
149,149,2,Gameboard Index:149,0,0,0,0,11,95,3
150,150,2,Gameboard Index:150,0,0,0,0,7,100,0
151,151,2,Gameboard Index:151,0,0,0,0,6,116,0
152,152,2,Gameboard Index:152,0,0,3,0,0,116,0
153,153,2,Gameboard Index:153,0,0,0,0,1,96,0
154,154,2,Gameboard Index:154,0,0,0,0,6,112,1
155,155,2,Gameboard Index:155,0,0,0,0,0,121,0
156,156,2,Gameboard Index:156,0,1,0,0,2,101,1
157,157,2,Gameboard Index:157,0,0,0,2,9,17,5
158,158,2,Gameboard Index:158,0,0,0,4,9,0,0
159,159,2,Gameboard Index:159,0,0,0,3,8,0,2
160,160,2,Gameboard Index:160,0,0,0,0,7,0,0
161,161,2,Gameboard Index:161,0,0,0,0,5,0,0
162,162,2,Gameboard Index:162,0,0,0,0,9,12,0
163,163,2,Gameboard Index:163,0,0,0,3,12,0,2
164,164,2,Gameboard Index:164,0,0,2,4,8,0,1
165,165,2,Gameboard Index:165,0,0,0,1,6,0,0
166,166,2,Gameboard Index:166,0,0,0,0,5,55,0
167,167,2,Gameboard Index:167,0,0,2,0,9,121,0
168,168,2,Gameboard Index:168,0,0,0,0,12,111,0
169,169,2,Gameboard Index:169,0,0,0,0,9,119,3
170,170,2,Gameboard Index:170,0,0,0,0,7,132,1
171,171,2,Gameboard Index:171,0,0,0,0,2,124,0
172,172,2,Gameboard Index:172,0,0,0,0,0,114,0
173,173,2,Gameboard Index:173,0,0,1,0,0,121,0
174,174,2,Gameboard Index:174,0,0,1,0,0,125,0
175,175,2,Gameboard Index:175,0,1,0,0,0,111,0
176,176,2,Gameboard Index:176,0,0,0,3,7,55,4
177,177,2,Gameboard Index:177,0,0,0,3,11,0,2
178,178,2,Gameboard Index:178,0,0,0,2,10,0,5
179,179,2,Gameboard Index:179,0,0,0,3,7,0,4
180,180,2,Gameboard Index:180,0,0,0,0,5,0,0
181,181,2,Gameboard Index:181,0,0,0,0,6,0,0
182,182,2,Gameboard Index:182,0,0,2,0,11,16,0
183,183,2,Gameboard Index:183,0,0,0,4,11,0,1
184,184,2,Gameboard Index:184,0,0,0,1,7,0,1
185,185,2,Gameboard Index:185,0,0,0,0,11,13,0
186,186,2,Gameboard Index:186,0,0,2,0,13,104,0
187,187,2,Gameboard Index:187,0,0,1,0,11,112,0
188,188,2,Gameboard Index:188,0,0,1,0,9,104,0
189,189,2,Gameboard Index:189,0,0,0,0,10,102,1
190,190,2,Gameboard Index:190,0,0,0,0,7,85,0
191,191,2,Gameboard Index:191,0,0,0,0,0,82,0
192,192,2,Gameboard Index:192,0,0,2,0,2,73,0
193,193,2,Gameboard Index:193,0,0,0,0,0,45,1
194,194,2,Gameboard Index:194,0,0,0,0,0,65,0
195,195,2,Gameboard Index:195,0,0,0,2,0,14,0
196,196,2,Gameboard Index:196,0,0,1,1,7,0,5
197,197,2,Gameboard Index:197,0,0,0,3,12,0,4
198,198,2,Gameboard Index:198,0,0,0,2,11,0,4
199,199,2,Gameboard Index:199,0,0,0,3,10,0,4
200,200,2,Gameboard Index:200,0,0,0,0,6,0,0
201,201,2,Gameboard Index:201,0,0,0,0,4,0,0
202,202,2,Gameboard Index:202,0,0,0,0,15,3,0
203,203,2,Gameboard Index:203,0,0,0,0,9,0,0
204,204,2,Gameboard Index:204,0,0,0,0,14,0,0
205,205,2,Gameboard Index:205,0,0,0,0,10,60,0
206,206,2,Gameboard Index:206,0,0,0,0,7,128,0
207,207,2,Gameboard Index:207,0,0,0,0,10,68,0
208,208,2,Gameboard Index:208,0,0,0,0,4,42,0
209,209,2,Gameboard Index:209,0,0,0,0,12,35,0
210,210,2,Gameboard Index:210,0,0,0,0,7,33,0
211,211,2,Gameboard Index:211,0,0,2,0,7,32,0
212,212,2,Gameboard Index:212,0,0,0,0,2,34,0
213,213,2,Gameboard Index:213,0,0,0,0,0,15,0
214,214,2,Gameboard Index:214,0,0,0,0,0,24,0
215,215,2,Gameboard Index:215,0,0,0,3,4,5,3
216,216,2,Gameboard Index:216,0,0,0,3,10,0,3
217,217,2,Gameboard Index:217,0,0,0,3,7,0,4
218,218,2,Gameboard Index:218,0,0,1,2,10,0,6
219,219,2,Gameboard Index:219,0,0,0,3,8,0,5
220,220,2,Gameboard Index:220,0,0,0,0,5,0,0
221,221,2,Gameboard Index:221,0,0,0,0,4,0,0
222,222,2,Gameboard Index:222,0,0,0,0,6,1,0
223,223,2,Gameboard Index:223,0,0,0,0,9,0,0
224,224,2,Gameboard Index:224,0,0,0,0,9,10,0
225,225,2,Gameboard Index:225,0,0,0,0,12,109,0
226,226,2,Gameboard Index:226,0,0,0,0,9,129,0
227,227,2,Gameboard Index:227,0,0,0,0,11,54,0
228,228,2,Gameboard Index:228,0,0,0,0,9,25,0
229,229,2,Gameboard Index:229,0,0,0,0,10,70,3
230,230,2,Gameboard Index:230,0,0,1,0,12,33,0
231,231,2,Gameboard Index:231,0,0,0,0,5,9,0
232,232,2,Gameboard Index:232,0,0,0,0,1,0,0
233,233,2,Gameboard Index:233,0,0,1,0,0,0,0
234,234,2,Gameboard Index:234,0,0,0,2,3,0,2
235,235,2,Gameboard Index:235,0,0,1,1,8,0,5
236,236,2,Gameboard Index:236,0,0,0,2,9,0,3
237,237,2,Gameboard Index:237,0,0,0,4,6,0,1
238,238,2,Gameboard Index:238,0,0,0,1,6,0,3
239,239,2,Gameboard Index:239,0,0,0,1,3,0,2
240,240,2,Gameboard Index:240,0,0,0,0,6,0,0
241,241,2,Gameboard Index:241,0,0,0,0,2,0,0
242,242,2,Gameboard Index:242,0,0,0,0,2,5,0
243,243,2,Gameboard Index:243,0,0,1,0,12,0,0
244,244,2,Gameboard Index:244,0,0,0,0,15,52,0
245,245,2,Gameboard Index:245,0,0,0,0,13,129,0
246,246,2,Gameboard Index:246,0,0,0,0,12,93,0
247,247,2,Gameboard Index:247,0,0,0,0,7,42,0
248,248,2,Gameboard Index:248,0,0,0,0,5,70,0
249,249,2,Gameboard Index:249,0,0,0,0,8,75,0
250,250,2,Gameboard Index:250,0,0,1,0,13,36,1
251,251,2,Gameboard Index:251,0,0,1,0,8,25,0
252,252,2,Gameboard Index:252,0,1,2,0,2,18,0
253,253,2,Gameboard Index:253,0,0,0,3,8,24,6
254,254,2,Gameboard Index:254,0,0,0,3,7,0,1
255,255,2,Gameboard Index:255,0,0,0,2,13,0,3
256,256,2,Gameboard Index:256,0,0,0,3,10,0,5
257,257,2,Gameboard Index:257,0,0,0,6,8,0,0
258,258,2,Gameboard Index:258,0,0,1,1,10,0,5
259,259,2,Gameboard Index:259,0,0,0,0,8,0,3
260,260,2,Gameboard Index:260,0,0,0,0,3,0,0
261,261,2,Gameboard Index:261,0,0,0,0,0,0,0
262,262,2,Gameboard Index:262,0,0,0,0,5,3,0
263,263,2,Gameboard Index:263,0,0,1,0,13,14,0
264,264,2,Gameboard Index:264,0,0,0,0,5,101,0
265,265,2,Gameboard Index:265,0,0,0,0,12,123,0
266,266,2,Gameboard Index:266,0,0,1,0,15,89,0
267,267,2,Gameboard Index:267,0,0,1,0,1,89,0
268,268,2,Gameboard Index:268,0,0,0,0,4,67,0
269,269,2,Gameboard Index:269,0,0,0,0,14,22,0
270,270,2,Gameboard Index:270,0,0,2,0,8,19,3
271,271,2,Gameboard Index:271,0,0,0,2,11,60,0
272,272,2,Gameboard Index:272,0,0,0,5,9,56,2
273,273,2,Gameboard Index:273,0,0,0,3,11,0,6
274,274,2,Gameboard Index:274,0,0,0,4,9,0,3
275,275,2,Gameboard Index:275,0,0,0,2,9,0,4
276,276,2,Gameboard Index:276,0,0,0,3,7,0,2
277,277,2,Gameboard Index:277,0,0,0,1,9,1,6
278,278,2,Gameboard Index:278,0,0,0,1,2,0,3
279,279,2,Gameboard Index:279,0,0,0,0,5,0,0
280,280,2,Gameboard Index:280,0,0,0,0,2,0,0
281,281,2,Gameboard Index:281,0,0,0,0,1,0,0
282,282,2,Gameboard Index:282,0,0,0,0,4,0,0
283,283,2,Gameboard Index:283,0,0,0,0,7,59,0
284,284,2,Gameboard Index:284,0,0,3,0,1,110,0
285,285,2,Gameboard Index:285,0,0,0,0,9,117,2
286,286,2,Gameboard Index:286,0,0,0,0,4,115,0
287,287,2,Gameboard Index:287,0,0,2,0,3,114,0
288,288,2,Gameboard Index:288,0,0,0,0,3,97,0
289,289,2,Gameboard Index:289,0,0,0,0,8,112,2
290,290,2,Gameboard Index:290,0,0,1,1,9,119,2
291,291,2,Gameboard Index:291,0,0,0,3,12,82,3
292,292,2,Gameboard Index:292,0,0,0,4,11,6,2
293,293,2,Gameboard Index:293,0,0,0,1,8,44,5
294,294,2,Gameboard Index:294,0,0,0,3,11,42,4
295,295,2,Gameboard Index:295,0,0,0,2,9,28,5
296,296,2,Gameboard Index:296,0,0,0,3,15,36,4
297,297,2,Gameboard Index:297,0,0,0,3,11,92,4
298,298,2,Gameboard Index:298,0,0,0,0,3,32,0
299,299,2,Gameboard Index:299,0,0,0,0,0,0,0
300,300,2,Gameboard Index:300,0,0,0,1,11,0,1
301,301,2,Gameboard Index:301,0,0,1,0,6,0,0
302,302,2,Gameboard Index:302,0,0,2,0,8,22,0
303,303,2,Gameboard Index:303,0,0,0,0,6,69,0
304,304,2,Gameboard Index:304,0,0,0,0,9,116,2
305,305,2,Gameboard Index:305,0,0,2,0,11,125,0
306,306,2,Gameboard Index:306,0,0,0,0,2,113,0
307,307,2,Gameboard Index:307,0,0,0,0,1,97,0
308,308,2,Gameboard Index:308,0,0,0,0,1,119,0
309,309,2,Gameboard Index:309,0,0,0,0,7,119,2
310,310,2,Gameboard Index:310,0,0,1,2,10,101,1
311,311,2,Gameboard Index:311,0,0,1,3,7,8,4
312,312,2,Gameboard Index:312,0,0,1,0,10,32,3
313,313,2,Gameboard Index:313,0,0,0,0,12,62,2
314,314,2,Gameboard Index:314,0,0,0,1,9,73,0
315,315,2,Gameboard Index:315,0,0,1,1,9,58,2
316,316,2,Gameboard Index:316,0,0,0,1,10,86,0
317,317,2,Gameboard Index:317,0,0,1,0,8,67,0
318,318,2,Gameboard Index:318,0,0,0,0,4,21,0
319,319,2,Gameboard Index:319,0,0,1,0,1,0,0
320,320,2,Gameboard Index:320,0,0,0,1,8,0,2
321,321,2,Gameboard Index:321,1,0,0,0,10,0,7
322,322,2,Gameboard Index:322,0,0,1,3,9,4,6
323,323,2,Gameboard Index:323,0,0,0,1,12,23,4
324,324,2,Gameboard Index:324,1,0,2,0,8,47,6
325,325,2,Gameboard Index:325,0,0,2,0,8,106,1
326,326,2,Gameboard Index:326,0,0,1,0,6,118,0
327,327,2,Gameboard Index:327,0,0,1,0,1,107,0
328,328,2,Gameboard Index:328,0,0,0,0,1,105,0
329,329,2,Gameboard Index:329,0,0,0,0,11,84,0
330,330,2,Gameboard Index:330,0,0,0,4,11,81,2
331,331,2,Gameboard Index:331,0,0,0,2,9,0,1
332,332,2,Gameboard Index:332,0,0,2,0,10,53,4
333,333,2,Gameboard Index:333,0,0,0,0,11,31,0
334,334,2,Gameboard Index:334,0,0,1,0,6,45,0
335,335,2,Gameboard Index:335,0,0,0,1,3,113,0
336,336,2,Gameboard Index:336,0,0,0,1,3,88,0
337,337,2,Gameboard Index:337,0,0,1,1,4,32,0
338,338,2,Gameboard Index:338,0,0,0,0,3,19,0
339,339,2,Gameboard Index:339,0,0,0,0,4,0,0
340,340,2,Gameboard Index:340,0,0,0,1,13,0,5
341,341,2,Gameboard Index:341,0,0,0,4,11,0,6
342,342,2,Gameboard Index:342,0,0,0,2,15,0,2
343,343,2,Gameboard Index:343,0,0,0,3,13,0,4
344,344,2,Gameboard Index:344,0,0,0,2,12,0,7
345,345,2,Gameboard Index:345,1,0,1,0,9,38,4
346,346,2,Gameboard Index:346,0,0,1,0,9,85,0
347,347,2,Gameboard Index:347,0,0,0,0,6,109,0
348,348,2,Gameboard Index:348,0,0,0,0,5,109,0
349,349,2,Gameboard Index:349,0,0,1,0,7,68,0
350,350,2,Gameboard Index:350,0,0,2,1,9,112,0
351,351,2,Gameboard Index:351,0,0,1,3,7,11,4
352,352,2,Gameboard Index:352,0,0,0,2,8,36,4
353,353,2,Gameboard Index:353,0,0,3,0,8,76,3
354,354,2,Gameboard Index:354,0,0,1,0,4,86,0
355,355,2,Gameboard Index:355,0,0,1,0,4,73,0
356,356,2,Gameboard Index:356,0,0,0,0,3,32,0
357,357,2,Gameboard Index:357,0,0,1,1,7,64,0
358,358,2,Gameboard Index:358,0,0,2,0,0,62,0
359,359,2,Gameboard Index:359,0,0,0,0,8,8,0
360,360,2,Gameboard Index:360,0,0,0,3,10,0,0
361,361,2,Gameboard Index:361,0,0,0,3,8,0,4
362,362,2,Gameboard Index:362,0,0,0,2,7,0,3
363,363,2,Gameboard Index:363,0,0,0,4,3,0,5
364,364,2,Gameboard Index:364,0,0,0,2,6,0,1
365,365,2,Gameboard Index:365,0,0,0,1,11,0,5
366,366,2,Gameboard Index:366,0,0,0,2,10,0,5
367,367,2,Gameboard Index:367,1,0,0,0,6,52,1
368,368,2,Gameboard Index:368,0,0,0,1,6,51,0
369,369,2,Gameboard Index:369,0,0,0,1,9,57,1
370,370,2,Gameboard Index:370,0,0,0,3,7,84,1
371,371,2,Gameboard Index:371,0,0,0,3,10,6,3
372,372,2,Gameboard Index:372,0,0,0,0,6,73,0
373,373,2,Gameboard Index:373,0,0,1,0,13,93,0
374,374,2,Gameboard Index:374,0,0,0,0,7,55,0
375,375,2,Gameboard Index:375,0,0,0,0,4,55,0
376,376,2,Gameboard Index:376,0,0,2,0,1,31,0
377,377,2,Gameboard Index:377,0,0,0,0,3,7,1
378,378,2,Gameboard Index:378,0,0,1,3,2,22,1
379,379,2,Gameboard Index:379,0,0,1,5,1,62,1
380,380,2,Gameboard Index:380,0,0,0,2,6,0,3
381,381,2,Gameboard Index:381,0,0,0,3,10,0,5
382,382,2,Gameboard Index:382,0,0,0,3,11,0,2
383,383,2,Gameboard Index:383,0,0,0,2,8,0,3
384,384,2,Gameboard Index:384,0,0,0,2,3,0,3
385,385,2,Gameboard Index:385,0,0,0,3,6,0,5
386,386,2,Gameboard Index:386,0,0,0,2,14,0,5
387,387,2,Gameboard Index:387,0,0,1,3,10,0,1
388,388,2,Gameboard Index:388,0,0,0,3,12,0,0
389,389,2,Gameboard Index:389,0,0,0,2,11,0,1
390,390,2,Gameboard Index:390,0,0,0,2,8,0,0
391,391,2,Gameboard Index:391,0,0,1,3,8,16,2
392,392,2,Gameboard Index:392,0,0,1,0,1,62,1
393,393,2,Gameboard Index:393,0,0,1,0,2,98,0
394,394,2,Gameboard Index:394,0,0,1,0,3,76,0
395,395,2,Gameboard Index:395,0,0,0,0,0,20,0
396,396,2,Gameboard Index:396,0,0,2,0,1,1,0
397,397,2,Gameboard Index:397,0,0,1,0,9,2,3
398,398,2,Gameboard Index:398,0,0,2,2,0,2,0
399,399,2,Gameboard Index:399,0,0,2,3,5,33,1
